League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Ukrainian Premier League,2024-04-17,09:30:00,FC Minaj,Dynamo Kiev,7.2,1000.0,1.12,1.41,6.6,950.0,1.83,3.85,1.35,2.2,1.12,1000.0,1.12,1000.0,1.01,1000.0,1.01,1000.0,2.76,1000.0,1.03,1000.0,2.64,1000.0,1.01,1000.0,1.01,1000.0,7.8,1000.0,4.0,1000.0,3.75,1000.0,7.4,1000.0,8.8,1000.0,4.6,1000.0,5.8,1000.0,7.2,1000.0,22.0,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33198265,20830749.0,238549.0,58805.0,1.227715245,1.227715248,1.227715292,1.227715293
Egyptian Premier,2024-04-17,11:00:00,El Gounah,Smouha,3.0,3.5,2.5,2.74,2.86,3.3,1.64,1.82,2.2,2.58,1.85,2.14,1.88,2.18,8.6,980.0,7.6,980.0,12.5,980.0,4.5,980.0,8.8,980.0,6.2,980.0,9.8,980.0,4.6,980.0,16.5,980.0,11.5,980.0,4.1,980.0,4.4,980.0,4.5,980.0,4.8,980.0,4.5,980.0,4.6,980.0,4.3,980.0,4.2,980.0,4.7,1000.0,33190669,5202561.0,5170871.0,58805.0,1.227569624,1.227569669,1.227569708,1.227569633
Croatian 1 HNL,2024-04-17,12:00:00,Dinamo Zagreb,Varazdin,1.19,1.21,17.5,27.0,7.0,8.8,2.46,2.86,1.54,1.68,2.32,2.66,1.6,1.76,5.2,980.0,5.3,980.0,5.6,980.0,5.7,1000.0,7.8,11.5,14.0,980.0,5.4,980.0,5.6,1000.0,6.4,8.0,10.0,15.0,5.2,980.0,5.6,1000.0,7.2,9.4,11.5,980.0,5.3,980.0,5.6,1000.0,2.42,4.2,5.6,1000.0,5.7,1000.0,33190957,52628041.0,5611653.0,58805.0,1.227573964,1.227574009,1.227574048,1.227573973
Ukrainian Premier League,2024-04-17,12:00:00,Oleksandria,Obolon-Brovar Kiev,1.88,2.04,5.0,5.7,3.15,3.45,1.51,1.64,2.56,2.98,2.2,2.6,1.63,1.84,6.8,9.0,5.1,980.0,6.6,980.0,7.4,1000.0,5.4,6.8,6.4,8.4,6.0,980.0,7.2,980.0,7.8,10.5,9.4,980.0,6.2,980.0,7.4,980.0,6.0,980.0,6.2,980.0,7.0,980.0,7.6,1000.0,6.0,980.0,7.4,980.0,7.8,1000.0,33195824,5618507.0,9460511.0,58805.0,1.227677794,1.227677839,1.227677878,1.227677803
Armenian Premier League,2024-04-17,12:00:00,Ararat Armenia,FC Urartu,1.64,1.87,4.5,7.2,3.55,5.0,1.83,2.12,1.89,2.22,1.86,2.2,1.83,2.16,3.45,980.0,1.5,980.0,4.0,1000.0,4.2,1000.0,3.05,980.0,3.1,980.0,1.16,980.0,4.2,1000.0,3.2,980.0,3.25,980.0,1.11,980.0,4.2,1000.0,1.64,980.0,1.16,980.0,4.0,1000.0,4.2,1000.0,1.55,980.0,1.55,1000.0,2.26,1000.0,33196607,20740727.0,25800263.0,58805.0,1.227686400,1.227686445,1.227686484,1.227686409
Norwegian Eliteserien,2024-04-17,13:00:00,Brann,Ham-Kam,1.32,1.35,9.8,12.0,6.0,6.6,2.66,2.94,1.52,1.61,1.94,2.04,1.97,2.06,23.0,28.0,36.0,46.0,14.5,110.0,16.0,500.0,10.0,11.0,13.0,14.5,32.0,40.0,15.5,160.0,8.2,9.2,9.8,10.5,24.0,28.0,15.0,130.0,10.0,11.0,12.0,13.5,25.0,32.0,28.0,140.0,3.55,4.5,15.0,980.0,15.5,1000.0,33192456,31317.0,163203.0,58805.0,1.227598814,1.227598859,1.227598898,1.227598823
Norwegian Eliteserien,2024-04-17,13:00:00,Molde,Odds BK,1.33,1.36,10.0,11.5,6.0,6.6,2.7,3.15,1.47,1.59,1.88,2.0,2.0,2.14,24.0,30.0,36.0,42.0,14.5,100.0,16.5,700.0,10.0,11.5,13.0,14.5,32.0,38.0,15.5,140.0,8.4,9.4,9.6,10.5,19.5,27.0,15.0,110.0,10.0,11.5,12.0,13.5,22.0,32.0,15.0,130.0,3.5,4.4,15.5,400.0,17.0,980.0,33192457,31321.0,10833201.0,58805.0,1.227598724,1.227598769,1.227598808,1.227598733
Estonian Premier League,2024-04-17,13:00:00,Tallinna FC Flora,Paide Linnameeskond,1.26,980.0,1.29,980.0,3.5,330.0,1.27,110.0,1.03,4.6,1.12,1000.0,1.12,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,15.0,1000.0,33195401,10748720.0,5407316.0,58805.0,1.227657737,1.227657782,1.227657821,1.227657746
Slovenian Premier League,2024-04-17,13:30:00,Olimpija,NK Maribor,2.3,3.25,2.6,3.85,3.3,5.6,1.77,2.4,1.71,2.3,1.12,1000.0,1.12,1000.0,1.48,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.55,1000.0,1.55,1000.0,1.01,1000.0,33195282,489147.0,44625.0,58805.0,1.227657422,1.227657467,1.227657506,1.227657431
Egyptian Premier,2024-04-17,14:00:00,ENPPI,El Daklyeh,1.79,1.91,6.2,7.2,3.05,3.4,1.42,1.46,3.0,3.4,2.66,2.92,1.52,1.61,5.8,7.2,11.5,16.0,6.4,980.0,7.2,980.0,4.8,5.8,7.0,9.2,6.0,980.0,7.0,980.0,4.3,10.5,10.0,13.5,6.2,980.0,7.2,980.0,5.5,22.0,6.0,980.0,6.8,980.0,7.2,1000.0,5.8,980.0,7.2,1000.0,7.4,1000.0,33188348,5259327.0,5907009.0,58805.0,1.227523635,1.227523680,1.227523719,1.227523644
Egyptian Premier,2024-04-17,14:00:00,National Bank,El Geish,2.64,2.9,3.1,3.45,2.8,3.1,1.51,1.63,2.58,2.98,2.04,2.42,1.7,1.96,7.0,8.8,8.0,10.5,16.0,980.0,6.8,980.0,6.8,8.6,6.2,7.4,12.5,16.5,6.6,980.0,13.0,17.5,11.5,15.0,19.0,980.0,6.8,980.0,6.6,980.0,6.8,980.0,6.8,980.0,7.2,980.0,6.4,980.0,6.6,980.0,7.4,1000.0,33183061,10492935.0,7024303.0,58805.0,1.227439534,1.227439579,1.227439618,1.227439543
South African Premier Division,2024-04-17,14:30:00,Sekhukhune United,Stellenbosch FC,2.8,3.35,2.76,3.3,2.8,3.1,1.43,1.6,2.68,3.35,2.08,2.52,1.66,1.91,2.94,980.0,3.05,980.0,3.65,980.0,4.1,1000.0,3.1,980.0,2.88,980.0,3.5,980.0,4.1,980.0,3.65,980.0,3.5,980.0,3.85,980.0,2.14,1000.0,4.1,1000.0,4.1,1000.0,2.14,1000.0,4.3,1000.0,1.55,1000.0,1.55,1000.0,4.3,1000.0,33181274,38281353.0,12678248.0,58805.0,1.227416319,1.227416364,1.227416403,1.227416328
