League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Ukrainian Premier League,2024-04-09,07:00:00,Dnipro-1,Zorya,1.66,1.76,5.5,7.0,3.75,4.5,1.76,1.95,2.06,2.32,2.06,2.22,1.82,1.94,10.0,15.0,13.0,980.0,4.0,60.0,4.2,220.0,5.6,9.0,7.8,11.0,3.75,980.0,4.1,120.0,7.8,11.5,8.6,12.5,3.75,980.0,4.1,130.0,3.55,21.0,3.65,24.0,3.95,55.0,4.2,210.0,3.3,15.0,4.1,170.0,4.3,1000.0,33165791,14997146.0,2017903.0,58805.0,1.227145781,1.227145826,0.0,0.0
Chinese Super League,2024-04-09,07:00:00,Nantong Zhiyun F.C,Shanghai Port FC,6.4,8.4,1.52,1.64,4.1,5.2,1.98,2.2,1.83,2.04,1.91,2.24,1.81,2.1,14.0,17.5,7.2,9.2,7.6,9.8,12.0,15.5,18.5,25.0,8.4,11.5,8.4,11.0,14.0,18.5,6.2,65.0,22.0,980.0,21.0,28.0,6.0,42.0,6.8,230.0,6.6,120.0,6.6,120.0,6.6,160.0,6.6,150.0,3.9,9.0,7.0,1000.0,33173528,13107045.0,51006167.0,58805.0,1.227282322,1.227282442,1.22728249,1.227282365
Chinese Super League,2024-04-09,08:35:00,Shandong Taishan,Henan Songshan Longmen,1.49,1.59,6.6,7.6,4.5,5.2,2.08,2.36,1.74,1.92,1.92,2.08,1.92,2.1,15.5,20.0,19.5,27.0,6.2,65.0,6.6,220.0,7.8,9.8,9.6,12.0,5.6,29.0,6.4,110.0,8.0,10.0,8.8,11.0,5.5,27.0,6.4,110.0,12.0,15.5,13.5,17.5,5.9,38.0,6.6,150.0,3.75,8.2,6.6,130.0,7.0,1000.0,33173526,50443279.0,50443412.0,58805.0,1.227282499,1.227282544,1.227282583,1.227282508
Chinese Super League,2024-04-09,08:35:00,Beijing Guoan,Sichuan Jiuniu FC,1.47,1.52,8.0,9.6,4.5,5.1,1.83,1.97,2.04,2.2,2.22,2.48,1.67,1.82,12.0,15.5,5.9,25.0,6.2,80.0,6.6,370.0,6.2,7.8,9.4,12.0,5.8,38.0,6.4,180.0,6.8,8.6,9.2,12.0,5.7,36.0,6.4,170.0,10.5,13.5,15.0,19.5,6.0,55.0,6.6,260.0,3.95,9.4,6.6,300.0,6.8,1000.0,33173525,2955487.0,17714225.0,58805.0,1.227282589,1.227282634,1.227282673,1.227282598
Chinese Super League,2024-04-09,09:00:00,Shanghai Shenhua,Wuhan Three Towns,1.48,1.56,6.8,8.2,4.4,5.2,2.12,2.38,1.73,1.89,1.9,2.1,1.92,2.12,15.5,23.0,21.0,32.0,4.6,75.0,4.8,260.0,7.8,9.4,9.4,13.5,23.0,34.0,4.8,130.0,8.0,9.6,8.6,12.5,20.0,30.0,4.7,120.0,11.5,17.0,13.5,19.5,4.7,42.0,4.8,160.0,3.15,8.6,4.8,150.0,4.9,1000.0,33167578,1550828.0,23228754.0,58805.0,1.22716463,1.22716464,0.0,0.0
Bulgarian A League,2024-04-09,12:30:00,Lokomotiv Sofia,Beroe Stara Za,2.56,3.15,2.72,3.65,3.05,3.9,1.6,1.86,2.16,4.1,1.98,2.82,1.84,2.48,3.15,11.5,3.1,12.0,3.55,23.0,3.45,1000.0,3.15,11.5,3.0,8.8,3.4,17.0,3.9,1000.0,3.5,21.0,3.35,16.5,3.65,26.0,3.5,1000.0,3.95,1000.0,3.85,46.0,4.0,1000.0,2.3,1000.0,3.4,48.0,3.4,1000.0,2.04,1000.0,33154664,1255223.0,4127866.0,58805.0,1.226931895,0.0,0.0,0.0
Slovenian Premier League,2024-04-09,13:45:00,NK Maribor,Mura,1.4,8.2,2.22,1000.0,2.22,1000.0,1.27,36.0,1.03,4.6,1.15,8.2,1.15,7.8,1.48,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.01,1000.0,1.01,1000.0,1.1,1000.0,33173917,44625.0,503236.0,58805.0,1.227302444,1.227302489,1.227302528,1.227302453
Swedish Superettan,2024-04-09,14:00:00,Helsingborgs,IK Brage,2.4,2.54,3.0,3.35,3.4,3.7,1.85,2.0,2.0,2.18,1.79,1.91,2.1,2.26,11.5,13.5,11.0,12.5,19.0,24.0,9.0,60.0,9.2,10.5,7.2,8.2,12.0,14.0,8.4,40.0,13.5,16.0,10.5,12.0,16.0,18.5,9.0,55.0,8.4,38.0,22.0,30.0,8.6,46.0,9.8,120.0,7.2,23.0,8.2,38.0,10.0,1000.0,33160707,764222.0,502308.0,58805.0,1.227047266,0.0,0.0,0.0
South African Premier Division,2024-04-09,14:30:00,Ajax Cape Town,Mamelodi Sundowns,2.9,1000.0,1.26,1.53,2.9,1000.0,1.35,11.0,1.1,3.9,1.15,8.2,1.15,7.8,1.49,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,980.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.03,1000.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.1,1000.0,33163439,370196.0,6772440.0,58805.0,1.227089991,1.227090039,0.0,0.0
English League 2,2024-04-09,15:45:00,Mansfield,Forest Green,1.35,1.37,11.0,11.5,5.5,6.2,2.44,2.9,1.53,1.69,1.81,2.1,1.91,2.24,4.6,32.0,29.0,980.0,4.3,110.0,4.4,370.0,8.8,13.0,11.0,16.5,28.0,980.0,4.3,160.0,8.0,11.5,9.2,13.0,21.0,32.0,4.3,140.0,9.8,14.5,11.0,17.0,24.0,40.0,4.3,150.0,2.5,5.7,4.3,180.0,4.4,1000.0,33168206,69716.0,36033.0,58805.0,1.227168499,0.0,0.0,0.0
