League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Japanese J League,2024-04-03,07:00:00,Tosu,Kobe,5.4,5.9,1.67,1.71,4.0,4.4,1.93,2.22,1.83,2.08,1.87,2.06,1.96,2.16,11.5,19.0,7.8,9.4,8.4,11.5,14.0,21.0,15.5,24.0,8.2,9.8,8.2,11.0,13.0,22.0,5.0,55.0,17.0,26.0,17.0,26.0,5.0,44.0,5.3,160.0,5.2,90.0,5.2,95.0,5.3,150.0,5.2,100.0,3.8,12.0,5.5,1000.0,33151865,3455676.0,441082.0,58805.0,1.226879371,1.226879416,0.0,0.0
Japanese J League 2,2024-04-03,07:00:00,Sendai,Ehime,2.06,2.2,3.8,4.2,3.25,3.95,1.8,1.91,2.1,2.26,1.9,2.02,1.98,2.12,5.2,13.5,5.4,15.0,6.2,32.0,3.8,90.0,4.1,9.0,4.0,8.2,5.5,18.5,3.75,60.0,10.0,13.5,9.0,12.0,5.7,22.0,6.6,70.0,6.0,28.0,3.45,26.0,6.6,48.0,3.9,1000.0,3.3,19.5,2.68,65.0,4.0,1000.0,33157527,442179.0,3455675.0,58805.0,1.226994487,1.226994532,1.226994571,1.226994496
Japanese J League 2,2024-04-03,07:00:00,Renofa Yamaguchi,Kumamoto,2.7,3.3,2.52,3.0,3.1,3.8,1.68,1.93,2.06,2.46,1.81,2.1,1.91,2.24,8.2,980.0,8.2,980.0,12.5,21.0,5.6,50.0,4.3,980.0,3.8,980.0,9.4,980.0,5.7,40.0,13.5,23.0,9.8,980.0,14.0,980.0,3.65,65.0,3.65,60.0,5.5,44.0,3.65,65.0,3.75,150.0,3.55,44.0,3.5,38.0,3.85,1000.0,33157523,4233875.0,5021204.0,58805.0,1.226994667,1.226994712,1.226994751,1.226994676
Japanese J League 2,2024-04-03,07:00:00,Kagoshima Utd,Kofu,3.15,3.75,2.34,2.64,3.2,3.9,1.75,1.94,2.06,2.32,1.87,1.98,2.02,2.16,4.5,980.0,7.8,980.0,12.0,16.0,5.9,36.0,9.8,980.0,6.4,8.6,9.6,980.0,5.7,30.0,5.9,24.0,11.5,980.0,15.5,980.0,6.2,50.0,6.2,65.0,6.0,46.0,6.2,60.0,6.6,1000.0,6.0,46.0,5.5,25.0,7.0,1000.0,33157528,10428848.0,1405179.0,58805.0,1.226994397,1.226994442,1.226994481,1.226994406
Japanese J League 2,2024-04-03,07:00:00,Blaublitz Akita,Mito,2.1,2.22,4.4,4.9,3.0,3.2,1.48,1.55,2.82,3.1,2.32,2.5,1.66,1.76,6.8,7.8,9.4,12.5,7.0,36.0,8.2,140.0,5.9,6.6,6.6,7.4,17.0,23.0,8.0,100.0,9.2,12.5,10.0,13.5,22.0,32.0,8.2,140.0,22.0,32.0,7.0,36.0,7.8,80.0,8.4,280.0,6.8,34.0,8.2,160.0,8.8,1000.0,33151909,5852914.0,3455677.0,58805.0,1.226879461,1.226879506,0.0,0.0
Japanese J League 2,2024-04-03,07:00:00,Jef Utd Chiba,Tochigi SC,1.6,1.72,6.2,8.0,3.75,4.4,1.68,1.85,2.18,2.48,2.2,2.46,1.69,1.84,8.2,13.0,13.5,23.0,4.1,70.0,4.3,300.0,5.6,8.0,7.4,11.0,21.0,36.0,4.2,170.0,6.8,10.5,7.8,13.0,21.0,36.0,4.3,180.0,11.5,19.0,15.0,25.0,4.1,65.0,4.3,270.0,3.4,15.5,4.3,270.0,4.4,1000.0,33151985,5021203.0,5945153.0,58805.0,1.226881669,1.226881714,0.0,0.0
Japanese J League 2,2024-04-03,07:00:00,Nagasaki,Yamagata,2.16,2.38,3.25,4.1,3.2,3.75,1.81,2.02,1.99,2.24,1.84,1.96,2.04,2.2,4.8,14.0,4.8,14.5,5.4,28.0,6.2,75.0,4.3,10.5,6.6,8.8,4.8,17.0,5.9,48.0,4.7,15.0,4.5,12.5,5.1,21.0,6.0,65.0,5.6,32.0,5.4,27.0,5.9,46.0,6.4,1000.0,5.1,21.0,5.9,50.0,6.8,1000.0,33152270,7081211.0,3718961.0,58805.0,1.226885288,1.226885333,0.0,0.0
Japanese J League 2,2024-04-03,07:00:00,Iwaki SC,Fujieda Myfc,2.04,2.18,3.65,4.0,3.6,3.95,1.91,2.18,1.86,2.1,1.71,1.97,2.02,2.42,12.0,980.0,12.0,980.0,5.6,30.0,6.4,80.0,8.2,11.0,7.0,9.2,12.5,980.0,6.0,50.0,10.5,14.5,8.8,12.0,5.6,980.0,6.2,60.0,6.0,28.0,5.8,24.0,5.9,40.0,6.4,110.0,4.8,16.5,6.0,48.0,6.8,1000.0,33152268,13432059.0,14196415.0,58805.0,1.226885378,1.226885423,0.0,0.0
Japanese J League 2,2024-04-03,07:00:00,Thespakusatsu Gunma,Oita,3.75,4.3,2.12,2.22,3.25,3.95,1.7,1.78,2.28,2.44,1.99,2.12,1.9,2.02,8.4,10.5,7.4,10.0,10.5,12.5,4.6,32.0,11.0,13.5,7.0,7.8,5.1,11.0,22.0,27.0,7.0,27.0,8.8,17.0,19.0,22.0,8.0,50.0,5.1,100.0,8.2,60.0,5.0,85.0,5.2,150.0,8.4,80.0,17.5,25.0,5.4,1000.0,33157526,7078090.0,441089.0,58805.0,1.226994577,1.226994622,1.226994661,1.226994586
Japanese J League,2024-04-03,07:00:00,Kashiwa,C-Osaka,2.5,2.56,3.25,3.4,3.25,3.4,1.62,1.8,2.26,2.62,1.99,2.2,1.84,2.02,8.2,10.0,9.4,11.5,17.5,24.0,7.6,70.0,7.4,9.0,6.6,7.6,13.0,16.5,7.2,50.0,12.5,16.0,11.0,13.5,17.5,23.0,7.6,75.0,7.0,40.0,7.2,36.0,7.4,60.0,8.0,160.0,6.6,32.0,7.4,60.0,8.4,1000.0,33151878,441080.0,361742.0,58805.0,1.226879281,1.226879326,0.0,0.0
Japanese J League,2024-04-03,07:00:00,FC Machida,Hiroshima,3.15,3.35,2.54,2.64,3.25,3.3,1.62,1.71,2.42,2.6,2.02,2.14,1.88,1.98,8.6,9.6,7.8,8.6,13.0,15.0,10.0,42.0,9.2,10.5,6.6,7.4,11.0,12.5,10.5,36.0,17.5,21.0,13.0,15.0,19.0,22.0,11.0,65.0,11.0,65.0,10.5,48.0,11.5,70.0,12.5,170.0,11.0,55.0,9.8,34.0,13.5,1000.0,33153940,6207339.0,744103.0,58805.0,1.226922121,1.226922166,0.0,0.0
Japanese J League,2024-04-03,07:00:00,Shonan,Tokyo-V,2.48,2.64,3.25,3.4,3.15,3.35,1.59,1.74,2.34,2.68,2.02,2.16,1.86,1.98,4.2,10.5,4.3,11.5,17.5,24.0,6.4,70.0,4.0,9.4,3.75,8.0,4.9,16.5,6.2,55.0,4.8,16.0,4.6,13.5,17.5,24.0,6.4,75.0,6.0,40.0,6.2,36.0,6.2,65.0,6.6,170.0,5.9,36.0,6.2,60.0,7.0,1000.0,33153941,4546954.0,263080.0,58805.0,1.226921985,1.22692203,0.0,0.0
Japanese J League,2024-04-03,07:00:00,Fukuoka,Kashima,3.35,3.65,2.56,2.68,2.9,3.1,1.46,1.59,2.7,3.2,2.12,2.52,1.66,1.88,6.2,8.2,6.2,8.4,12.0,16.5,6.2,46.0,7.6,10.0,5.8,7.6,11.0,15.0,6.2,44.0,17.5,24.0,13.0,18.0,6.2,28.0,6.6,85.0,6.6,80.0,6.4,65.0,6.6,100.0,7.0,250.0,6.6,85.0,6.2,50.0,7.2,1000.0,33151890,1405180.0,441079.0,58805.0,1.22687901,1.226879055,0.0,0.0
Japanese J League,2024-04-03,07:00:00,Iwata,Albirex Niigata,3.15,3.35,2.52,2.62,3.25,3.3,1.66,1.81,2.22,2.52,1.92,2.12,1.9,2.1,8.8,10.5,7.8,9.6,13.0,16.0,6.8,46.0,9.2,11.0,6.6,7.8,11.0,13.5,25.0,40.0,17.0,23.0,12.5,15.0,16.5,21.0,7.0,65.0,7.0,70.0,7.0,55.0,7.0,75.0,7.4,170.0,6.8,55.0,6.4,36.0,7.8,1000.0,33153938,263079.0,5712145.0,58805.0,1.226922211,1.226922256,0.0,0.0
Japanese J League,2024-04-03,07:00:00,G-Osaka,Kyoto,2.46,2.52,3.3,3.45,3.25,3.3,1.59,1.77,2.3,2.7,1.98,2.22,1.82,2.04,8.0,9.8,9.2,11.0,17.5,22.0,7.4,80.0,7.0,8.8,6.2,7.4,13.5,16.5,7.2,60.0,12.5,15.5,11.0,13.0,18.0,24.0,7.6,85.0,7.0,44.0,7.0,36.0,7.4,70.0,8.0,200.0,6.8,40.0,7.4,70.0,8.2,1000.0,33153936,441083.0,441085.0,58805.0,1.226930048,1.226930093,0.0,0.0
Japanese J League,2024-04-03,07:00:00,Yokohama FM,Kawasaki,2.34,2.42,2.9,3.1,3.85,4.1,2.32,2.64,1.61,1.76,1.58,1.66,2.5,2.72,16.5,23.0,13.5,18.0,19.0,26.0,6.0,55.0,11.5,15.5,7.6,10.5,10.5,14.5,6.0,32.0,14.5,19.5,9.4,13.0,12.5,17.5,5.9,38.0,5.9,36.0,18.0,25.0,6.0,34.0,6.2,70.0,4.7,15.0,5.1,21.0,6.8,1000.0,33151882,441087.0,1080507.0,58805.0,1.226879101,1.226879146,0.0,0.0
Japanese J League 2,2024-04-03,07:00:00,Shimizu,Tokushima,1.37,1.45,7.8,13.0,4.3,6.2,2.1,2.38,1.73,1.91,2.1,2.26,1.8,1.91,13.5,980.0,4.9,980.0,4.1,110.0,4.2,1000.0,6.2,10.5,9.0,15.0,4.3,980.0,4.2,200.0,6.0,9.8,7.8,13.0,21.0,980.0,4.1,170.0,8.4,14.0,11.0,18.5,3.95,50.0,4.2,220.0,2.74,7.6,4.2,1000.0,4.2,1000.0,33152267,441086.0,5026012.0,58805.0,1.226885468,1.226885513,0.0,0.0
South Korean K League 1,2024-04-03,07:30:00,FC Seoul,Gimcheon Sangmu,2.04,2.44,3.3,4.2,3.35,3.95,1.4,3.15,1.47,4.6,1.12,9.4,1.13,20.0,10.0,1000.0,10.5,1000.0,2.66,1000.0,4.5,1000.0,7.6,1000.0,6.6,1000.0,12.5,1000.0,5.5,1000.0,10.5,1000.0,9.2,1000.0,4.0,1000.0,6.0,1000.0,4.5,1000.0,4.4,1000.0,7.0,1000.0,13.5,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33157649,2479786.0,41053763.0,58805.0,1.226997360,1.226997405,1.226997444,1.226997369
South Korean K League 1,2024-04-03,07:30:00,Jeju Utd,Jeonbuk Motors,3.05,3.45,2.42,2.64,3.3,3.6,1.77,1.88,2.14,2.3,1.87,2.0,2.0,2.14,10.0,14.0,7.2,12.0,3.7,19.0,3.9,44.0,8.4,14.0,5.8,9.4,10.5,14.5,21.0,36.0,3.8,26.0,10.5,17.5,14.0,24.0,4.0,60.0,4.0,70.0,4.0,50.0,4.0,70.0,4.1,150.0,3.9,50.0,3.75,32.0,4.2,1000.0,33152361,5342583.0,2224159.0,58805.0,0.0,1.226889445,0.0,0.0
South Korean K League 1,2024-04-03,07:30:00,Gangwon,Daegu FC,2.78,3.05,2.78,3.05,3.1,3.4,1.64,1.74,2.34,2.54,1.98,2.1,1.92,2.02,7.2,12.0,7.2,11.5,13.0,22.0,4.2,60.0,7.2,11.5,5.6,8.8,10.0,16.5,4.2,46.0,13.0,22.0,10.0,16.5,15.5,26.0,4.1,75.0,4.1,60.0,4.2,46.0,4.1,75.0,4.3,180.0,4.0,48.0,4.0,48.0,4.3,1000.0,33155034,5348606.0,13712494.0,58805.0,0.0,1.226943358,0.0,0.0
Japanese J League,2024-04-03,07:30:00,FC Tokyo,Urawa,3.15,3.4,2.44,2.58,3.2,3.45,1.71,1.81,2.24,2.42,1.93,2.06,1.95,2.08,9.4,10.5,8.2,9.4,13.0,15.5,8.0,44.0,9.8,11.5,6.8,7.6,11.0,12.5,24.0,38.0,18.5,22.0,12.5,14.5,18.0,21.0,8.4,65.0,8.6,75.0,8.2,55.0,8.6,75.0,9.2,160.0,8.2,55.0,7.4,34.0,9.4,1000.0,33151881,350849.0,441088.0,58805.0,1.226879191,1.226879236,0.0,0.0
Japanese J League,2024-04-03,07:30:00,Sapporo,Nagoya,2.92,3.35,2.48,2.72,3.2,3.8,1.72,1.94,2.06,2.4,1.82,2.08,1.93,2.22,9.4,11.5,8.4,10.0,13.0,17.0,6.4,40.0,9.4,12.0,6.6,8.4,9.8,13.5,6.6,34.0,17.0,23.0,12.0,15.0,16.0,22.0,6.6,55.0,6.8,65.0,6.4,44.0,6.8,65.0,7.2,140.0,6.4,46.0,5.9,28.0,7.6,1000.0,33153942,2245760.0,441084.0,58805.0,1.226921895,1.22692194,0.0,0.0
Australian A-League Men,2024-04-03,07:45:00,Perth Glory,Sydney FC,4.0,4.1,1.87,1.88,4.6,4.7,3.0,3.2,1.46,1.5,1.5,1.55,2.82,3.0,26.0,32.0,15.0,16.5,14.5,16.0,21.0,23.0,24.0,26.0,10.5,11.0,10.0,10.5,15.0,16.5,32.0,36.0,15.5,16.5,14.5,16.0,21.0,23.0,16.5,75.0,32.0,38.0,32.0,36.0,46.0,55.0,19.5,23.0,6.2,7.0,19.5,980.0,33135916,370132.0,1205121.0,58805.0,1.226693001,1.226693005,1.22669308,1.226693002
Turkish 1 Lig,2024-04-03,08:00:00,Tuzlaspor,Umraniyespor,2.46,4.2,2.52,4.5,2.98,5.1,1.59,2.54,1.65,2.68,1.13,9.4,1.13,9.4,1.49,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33143675,8859740.0,6250160.0,58805.0,1.226755599,1.226755644,0.0,0.0
Bulgarian A League,2024-04-03,08:30:00,Levski Krumovgrad,Hebar,1.63,2.86,3.65,410.0,2.54,4.5,1.48,1.81,2.22,4.6,1.13,20.0,1.13,8.8,1.49,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,33136163,41731605.0,20716789.0,58805.0,1.226629135,1.22662918,0.0,0.0
Italian Serie C,2024-04-03,09:30:00,Juventus B,Entella,1.05,480.0,1.05,870.0,1.21,950.0,1.27,13.0,1.09,4.6,1.13,20.0,1.13,9.4,1.49,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,33157569,5470963.0,4893589.0,58805.0,1.226985237,1.226985288,1.226985345,1.226985246
