League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Romanian Liga I,2024-03-18,15:30:00,ACS Petrolul 52,FC U Craiova 1948,1.04,980.0,1.04,980.0,1.33,980.0,1.66,1.98,2.02,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33104519,14299496.0,20135214.0,58805.0,1.226100145,1.226100190,0,0
Italian Serie C,2024-03-18,16:30:00,Potenza,AZ Picerno ASD,1.11,480.0,2.52,870.0,1.38,350.0,1.28,2.0,2.0,4.6,1.02,990.0,1.02,990.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33103273,2519556.0,10647603.0,58805.0,1.226086683,1.226086728,1.226086767,1.226086692
Spanish Segunda Division,2024-03-18,16:30:00,Andorra CF,Amorebieta,1.88,1.91,5.3,6.4,3.25,3.5,1.54,1.7,2.44,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33098237,5759757.0,5756673.0,58805.0,1.226007212,1.226007222,0,0
Uruguayan Primera Division,2024-03-18,16:30:00,Cerro,Cerro Largo FC,2.84,3.55,2.54,3.15,2.9,3.95,1.49,1.67,2.48,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33100603,2329297.0,10573041.0,58805.0,1.226061417,1.226061462,0,0
English League 2,2024-03-18,16:45:00,Crawley Town,Stockport,4.0,4.6,1.9,1.98,3.6,4.1,1.9,2.14,1.89,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33095363,266068.0,47997.0,58805.0,1.225952007,1.225952017,0,0
Portuguese Segunda Liga,2024-03-18,17:15:00,Vilaverdense,CF Os Belenenses,0.0,0.0,0.0,0.0,0.0,0.0,1.07,1000.0,1.01,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33101797,0.0,0.0,0.0,0,1.226078945,0,0
Argentinian Copa de la Liga Profesional,2024-03-18,21:15:00,Union Santa Fe,Central Cordoba (SdE),1.89,1.98,5.0,6.2,3.2,3.5,1.52,1.67,2.5,2.94,0.0,0.0,0.0,0.0,7.2,9.4,4.9,980.0,6.2,980.0,6.8,1000.0,5.4,7.0,6.6,8.6,5.6,980.0,6.6,980.0,7.8,980.0,9.2,980.0,5.8,980.0,6.8,980.0,5.4,980.0,5.7,980.0,6.4,980.0,6.8,1000.0,5.4,980.0,6.8,1000.0,7.0,1000.0,33100549,194516.0,19641049.0,58805.0,1.226056148,1.226056158,0,1.226056157
