League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Thai League 1,2024-08-28,08:00:00,Air Force Central,Nakhon Ratchasima,1.34,3.05,1.04,110.0,1.69,950.0,1.53,2.7,1.58,3.95,1.01,1000.0,1.01,1000.0,1.49,1000.0,2.32,1000.0,2.54,1000.0,1.01,1000.0,2.86,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33531102,10592325.0,9645518.0,58805.0,1.232336557,1.232336602,1.232336641,1.232336566,1.01,1000.0,1.01,1000.0,12.0,26.0,1.04,1.1,3.1,26.0,1.04,1.47,1.09,26.0,1.48,26.0,1.01,2.44,1.232336558,1.232336560,1.232336561,1.232336605
Thai League 1,2024-08-28,08:30:00,Muangthong Utd,Ratchaburi,1.64,1000.0,3.25,5.0,3.05,1000.0,1.83,2.72,1.58,2.2,1.01,1000.0,1.01,1000.0,1.49,1000.0,2.3,1000.0,2.58,1000.0,1.01,1000.0,2.34,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33525810,5394931.0,7583019.0,58805.0,1.232264378,1.232264423,1.232264462,1.232264387,1.01,1000.0,1.01,1000.0,13.0,110.0,1.04,1.09,3.1,110.0,1.03,1.47,1.25,1.44,1.02,2.58,1.09,1.45,1.232264379,1.232264381,1.232264382,1.232264426
Thai League 1,2024-08-28,08:30:00,Prachuap,Rayong FC,1.24,1.93,1.04,110.0,2.26,950.0,2.18,3.2,1.46,1.84,1.01,1000.0,1.01,1000.0,1.44,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33531103,11386388.0,7906034.0,58805.0,1.232336647,1.232336692,1.232336731,1.232336656,1.01,1000.0,1.01,1000.0,17.0,1000.0,1.02,1.07,4.1,55.0,1.07,1.32,1.05,1.5,2.06,26.0,1.01,1.8,1.232336648,1.232336650,1.232336651,1.232336695
Thai League 1,2024-08-28,09:00:00,BG Pathumthani United,Chiangrai Utd,1.04,1.75,1.04,1000.0,1.23,1000.0,1.83,4.0,1.33,2.2,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,2.88,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33525822,23353035.0,9306470.0,58805.0,1.232264288,1.232264333,1.232264372,1.232264297,1.01,1000.0,1.01,1000.0,18.5,1000.0,1.02,1.06,1.83,990.0,1.02,2.2,1.01,1.49,2.32,36.0,1.01,1.69,1.232264289,1.232264291,1.232264292,1.232264336
Saudi Professional League,2024-08-28,12:45:00,Al-Ettifaq,Al-Akhdoud,1.42,1.48,7.0,10.0,4.9,5.5,2.2,2.4,1.72,1.84,1.96,2.1,1.91,2.04,4.0,24.0,4.3,34.0,4.5,980.0,4.6,980.0,7.8,11.0,3.9,14.5,4.2,980.0,4.5,980.0,7.8,10.5,8.4,10.5,4.2,34.0,4.6,980.0,10.5,15.5,12.0,18.5,4.2,980.0,4.5,980.0,2.98,8.0,4.5,980.0,4.6,1000.0,33524228,6160611.0,21666423.0,58805.0,1.232241217,1.232241227,1.232241216,1.232241226,2.94,4.3,1.3,1.52,12.0,26.0,1.04,1.07,4.4,5.9,1.2,1.29,1.12,1.15,3.05,3.4,1.22,1.26,1.232241208,1.232241220,1.232241221,1.232241231
Czech 1 Liga,2024-08-28,13:00:00,MFK Karvina,Banik Ostrava,3.1,3.4,2.32,2.54,3.4,3.85,1.96,2.18,1.86,2.06,1.66,1.91,2.08,2.5,10.5,18.0,8.4,14.0,13.0,19.5,4.4,980.0,11.0,16.5,6.8,9.0,8.4,14.0,18.0,32.0,16.0,28.0,11.0,16.5,12.5,21.0,4.4,980.0,4.2,980.0,4.4,980.0,4.3,980.0,4.3,980.0,4.0,38.0,3.75,23.0,4.5,1000.0,33525954,3358864.0,367581.0,58805.0,1.232266835,1.232266880,1.232266919,1.232266844,3.1,3.9,1.38,1.59,11.5,18.0,1.06,1.09,3.75,4.6,1.27,1.36,1.65,1.76,1.41,1.47,1.35,1.42,1.232266836,1.232266838,1.232266839,1.232266883
Norwegian 2nd Division,2024-08-28,13:00:00,Jerv,Kvik Halden,1.04,500.0,1.04,1000.0,1.01,950.0,2.06,7.0,1.16,1.93,1.01,1000.0,1.01,1000.0,1.48,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,2.98,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33530501,398186.0,398320.0,58805.0,1.232337507,1.232337552,1.232337591,1.232337516,4.0,5.6,1.22,1.34,28.0,1000.0,1.01,1.04,2.06,1000.0,1.01,1.93,1.01,26.0,1.13,36.0,1.01,110.0,1.232337508,1.232337510,1.232337511,1.232337555
Spanish La Liga,2024-08-28,14:00:00,Valladolid,Leganes,2.38,2.4,3.95,4.0,3.05,3.1,1.53,1.57,2.78,2.9,2.22,2.32,1.76,1.82,7.4,8.0,9.6,10.5,22.0,25.0,75.0,85.0,6.8,7.2,6.6,6.8,16.5,17.5,55.0,65.0,11.5,12.5,11.5,12.5,23.0,25.0,42.0,95.0,30.0,32.0,30.0,34.0,60.0,70.0,50.0,200.0,29.0,34.0,36.0,90.0,26.0,1000.0,33508139,13362.0,309109.0,58805.0,1.232009919,1.232009903,1.232009918,1.232009928,2.34,2.68,1.6,1.75,7.4,8.2,1.14,1.16,2.64,2.74,1.58,1.6,1.33,1.34,1.72,1.73,1.48,1.49,1.232009921,1.232009923,1.232009924,1.232009906
Spanish La Liga,2024-08-28,14:00:00,Athletic Bilbao,Valencia,1.65,1.66,6.8,7.0,4.0,4.1,1.77,1.78,2.28,2.3,2.24,2.34,1.74,1.81,10.5,11.5,16.5,18.0,48.0,55.0,48.0,220.0,6.4,6.8,8.4,8.8,25.0,28.0,75.0,120.0,7.8,8.2,9.8,10.5,25.0,28.0,80.0,130.0,14.0,15.0,18.5,19.5,44.0,50.0,48.0,190.0,11.5,12.0,46.0,190.0,70.0,1000.0,33506935,9162.0,66183.0,58805.0,1.231987347,1.231987331,1.231987346,1.231987356,2.62,3.2,1.46,1.62,10.0,12.0,1.09,1.11,3.25,3.35,1.43,1.45,1.16,1.18,2.5,2.54,1.32,1.34,1.231987349,1.231987351,1.231987352,1.231987334
Swedish Women's Matches,2024-08-28,14:00:00,KIF Orebro Dff (W),Linkopings FC (W),1.01,1000.0,1.5,2.24,1.01,950.0,1.06,36.0,1.03,21.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33531042,13023241.0,11395559.0,58805.0,1.232337687,1.232337732,1.232337771,1.232337696,1.01,1000.0,1.01,1000.0,13.0,36.0,1.03,1.09,1.06,36.0,1.03,21.0,1.81,990.0,1.07,1.39,1.11,1.47,1.232337688,1.232337690,1.232337691,1.232337735
