League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
UEFA Euro 2024,2024-06-17,10:00:00,Romania,Ukraine,4.4,4.5,2.02,2.04,3.55,3.6,1.75,1.76,2.3,2.34,2.04,2.12,1.89,1.96,10.0,11.0,7.4,7.8,10.5,11.0,22.0,23.0,12.5,13.0,7.4,7.6,10.5,11.0,22.0,24.0,27.0,29.0,17.5,18.0,21.0,23.0,42.0,48.0,90.0,100.0,50.0,65.0,70.0,75.0,120.0,140.0,75.0,80.0,16.5,18.0,300.0,1000.0,33143045,26.0,61448.0,58805.0,1.226741756,1.226741695,1.226741755,1.226741766
Egyptian Premier,2024-06-17,10:00:00,El Gounah,National Bank,3.05,3.45,2.54,2.8,3.0,3.4,1.76,1.91,2.1,2.32,1.82,1.95,2.06,2.22,9.8,13.5,7.8,12.5,13.0,19.5,4.4,980.0,9.8,14.5,6.4,8.6,9.8,14.5,4.4,980.0,16.5,25.0,11.0,17.0,15.0,22.0,4.4,980.0,4.5,980.0,4.4,980.0,4.4,980.0,4.6,980.0,4.3,980.0,4.1,980.0,4.8,1000.0,33346177,5202561.0,10492935.0,58805.0,1.229857674,1.229857719,1.229857758,1.229857683
Norwegian 3rd Division,2024-06-17,10:00:00,Stabaek II,Mosjoen,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.15,1000.0,1.01,13.5,1.01,1000.0,1.01,1000.0,1.44,1000.0,85.0,1000.0,95.0,1000.0,100.0,1000.0,23.0,1000.0,2.8,1000.0,30.0,1000.0,55.0,1000.0,2.92,1000.0,9.8,1000.0,16.5,1000.0,42.0,1000.0,2.88,1000.0,9.8,1000.0,13.0,1000.0,29.0,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33352422,5481293.0,68426909.0,58805.0,1.229937146,1.229937191,1.229937230,1.229937155
Norwegian 2nd Division,2024-06-17,12:00:00,Valerenga II,Tromsdalen,1.35,600.0,1.08,9.0,1.35,950.0,1.06,110.0,1.01,21.0,1.01,1000.0,1.01,1000.0,1.49,1000.0,2.3,1000.0,2.8,1000.0,1.03,1000.0,2.64,1000.0,2.88,1000.0,1.03,1000.0,1.03,1000.0,2.98,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33351863,5481309.0,152569.0,58805.0,1.229927005,1.229927050,1.229927089,1.229927014
UEFA Euro 2024,2024-06-17,13:00:00,Belgium,Slovakia,1.5,1.52,7.8,8.0,4.7,4.8,2.16,2.2,1.83,1.86,2.0,2.06,1.95,1.99,16.0,17.0,24.0,25.0,55.0,65.0,170.0,980.0,8.0,8.4,9.8,10.5,26.0,28.0,100.0,110.0,8.2,8.6,9.6,10.5,23.0,25.0,90.0,110.0,12.0,13.0,14.0,15.0,32.0,36.0,110.0,130.0,7.0,7.4,110.0,140.0,220.0,1000.0,32949292,29578.0,15288.0,58805.0,1.223720277,1.223720216,1.223720276,1.223720287
Egyptian Premier,2024-06-17,13:00:00,Ismaily,ENPPI,2.74,3.05,2.98,3.35,2.82,3.1,1.51,1.62,2.62,2.94,2.08,2.28,1.78,1.91,6.6,8.8,7.6,10.0,15.0,980.0,6.2,980.0,7.2,9.4,5.7,7.6,12.0,980.0,6.0,980.0,13.5,980.0,11.0,980.0,5.4,980.0,6.4,980.0,6.0,980.0,6.0,980.0,6.2,980.0,6.6,1000.0,6.0,980.0,6.2,980.0,6.8,1000.0,33339483,5170870.0,5259327.0,58805.0,1.229804649,1.229804694,1.229804733,1.229804658
Egyptian Premier,2024-06-17,13:00:00,Zamalek,Al-Masry,2.14,2.36,3.7,4.2,3.15,3.55,1.83,1.99,2.02,2.22,1.8,1.93,2.06,2.24,10.0,13.5,11.5,980.0,5.6,980.0,6.2,980.0,8.0,11.0,6.2,8.2,13.0,980.0,6.0,980.0,11.0,980.0,9.2,12.5,14.0,980.0,6.0,980.0,5.7,980.0,5.6,980.0,6.0,980.0,6.4,980.0,5.0,980.0,6.0,980.0,6.6,1000.0,33348628,5174134.0,11162123.0,58805.0,1.229879995,1.229880040,1.229880079,1.229880004
Norwegian 3rd Division,2024-06-17,13:00:00,Madla,Sandefjord II,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.15,1000.0,1.01,13.5,1.01,1000.0,1.01,1000.0,29.0,1000.0,20.0,1000.0,23.0,1000.0,36.0,1000.0,20.0,1000.0,9.4,1000.0,11.0,1000.0,19.0,1000.0,21.0,1000.0,10.0,1000.0,9.8,1000.0,19.0,1000.0,32.0,1000.0,18.5,1000.0,18.5,1000.0,27.0,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33352404,11025614.0,8599851.0,58805.0,1.229937326,1.229937372,1.229937411,1.229937335
Swedish Superettan,2024-06-17,14:00:00,Trelleborgs,IK Brage,2.9,3.05,2.32,2.46,3.95,4.2,2.18,2.4,1.72,1.85,1.64,1.75,2.32,2.56,14.0,23.0,11.0,15.5,3.7,21.0,4.2,980.0,12.5,18.0,7.2,11.0,9.6,14.0,4.1,980.0,4.1,980.0,11.0,16.5,12.5,19.5,4.1,980.0,4.2,980.0,4.0,980.0,4.2,980.0,4.2,980.0,3.75,980.0,3.55,19.0,4.3,1000.0,33335682,767907.0,502308.0,58805.0,1.229754095,1.229754140,1.229754179,1.229754104
Norwegian 3rd Division,2024-06-17,14:30:00,Mjondalen IF II,Gamle Oslo,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.15,1000.0,1.01,18.0,1.01,1000.0,1.01,1000.0,1.41,1000.0,2.7,1000.0,13.5,1000.0,18.5,1000.0,2.44,1000.0,10.0,1000.0,9.0,1000.0,11.5,1000.0,36.0,1000.0,17.0,1000.0,11.5,1000.0,16.5,1000.0,70.0,1000.0,34.0,1000.0,28.0,1000.0,32.0,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33352419,11028663.0,69333680.0,58805.0,1.229937236,1.229937281,1.229937320,1.229937245
