League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Mexican Liga MX,2024-10-26,00:00:00,Puebla,Guadalajara,3.5,9.4,1.76,1000.0,1.01,950.0,1.87,2.42,1.7,2.14,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.31,1000.0,1.31,1000.0,1.03,1000.0,33709634,328956.0,230909.0,58805.0,1.234805371,1.234805416,1.234805455,1.234805380,3.05,3.95,1.34,1.49,14.0,36.0,1.03,1.08,3.5,5.5,1.22,1.4,1.88,26.0,1.26,1.34,1.28,110.0,1.234805372,1.234805374,1.234805375,1.234805419
Japanese J League 2,2024-10-26,01:50:00,Iwaki SC,Mito,2.24,2.5,3.25,3.8,3.45,4.1,1.91,2.14,1.88,2.1,1.72,1.9,2.02,2.28,11.0,15.0,10.5,14.5,19.0,26.0,1.03,70.0,8.4,11.5,6.8,9.0,12.0,16.0,1.03,44.0,11.5,16.0,9.2,12.5,15.0,21.0,1.03,60.0,1.03,34.0,20.0,27.0,1.03,44.0,1.03,1000.0,1.01,20.0,1.01,42.0,1.03,1000.0,33706281,13432059.0,3455677.0,58805.0,1.234734186,1.234734231,1.234734270,1.234734195,2.82,3.5,1.4,1.55,3.6,21.0,1.05,1.11,3.4,4.4,1.3,1.41,1.39,1.45,1.67,1.81,1.35,1.41,1.234734187,1.234734189,1.234734190,1.234734234
Japanese J League 2,2024-10-26,02:00:00,Fujieda Myfc,Jef Utd Chiba,4.6,5.1,1.69,1.88,4.0,4.7,2.34,2.76,1.57,1.75,1.52,1.8,2.12,2.72,18.5,32.0,8.8,14.5,9.2,15.5,13.5,23.0,16.5,28.0,7.6,12.5,7.6,12.5,12.0,21.0,1.03,55.0,13.0,23.0,12.5,22.0,19.5,34.0,1.03,130.0,1.03,65.0,1.03,60.0,1.03,90.0,1.01,55.0,1.01,9.6,1.03,1000.0,33706276,14196415.0,5021203.0,58805.0,1.234734546,1.234734591,1.234734630,1.234734555,3.4,5.1,1.24,1.42,2.34,1000.0,1.03,1.06,1.53,1000.0,1.03,1.29,2.02,2.74,1.2,1.34,1.23,1.38,1.234734547,1.234734549,1.234734550,1.234734594
Japanese J League 3,2024-10-26,02:00:00,Kitakyushu,Kanazawa,2.3,500.0,1.36,3.3,1.03,950.0,1.57,2.0,2.0,2.74,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.31,1000.0,1.31,1000.0,1.03,1000.0,33717684,5026013.0,9280258.0,58805.0,1.234937894,1.234937939,1.234937978,1.234937903,1.01,1000.0,1.01,1000.0,8.8,13.5,1.08,1.13,2.72,4.2,1.31,1.58,1.47,1.71,1.41,1.68,1.35,1.51,1.234937895,1.234937897,1.234937898,1.234937942
Japanese J League 3,2024-10-26,02:00:00,Nara Club,Kamatamare Sanuki,3.1,4.8,2.02,2.72,3.0,950.0,1.15,13.5,1.08,13.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.31,1000.0,1.31,1000.0,1.03,1000.0,33717726,4233883.0,4233864.0,58805.0,1.234937714,1.234937759,1.234937798,1.234937723,1.01,1000.0,1.01,1000.0,8.6,13.5,1.08,1.14,1.25,13.5,1.08,5.0,1.58,1.98,1.29,1.48,1.38,1.5,1.234937715,1.234937717,1.234937718,1.234937762
Japanese J League 3,2024-10-26,02:00:00,Yokohama SCC,Matsumoto,3.75,6.4,1.78,11.5,1.01,950.0,1.58,3.15,1.47,2.72,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.31,1000.0,1.31,1000.0,1.03,1000.0,33717725,7391084.0,7081210.0,58805.0,1.234937804,1.234937849,1.234937888,1.234937813,1.01,1000.0,1.01,1000.0,9.4,15.5,1.07,1.12,1.32,15.5,1.07,4.2,1.57,2.28,1.24,1.36,1.32,110.0,1.234937805,1.234937807,1.234937808,1.234937852
Australian A-League Men,2024-10-26,03:00:00,Adelaide United,Central Coast Mariners,2.24,2.28,3.1,3.2,4.1,4.3,2.54,2.74,1.58,1.65,1.55,1.59,2.7,2.82,16.5,27.0,16.0,18.5,23.0,26.0,46.0,55.0,13.5,15.0,8.8,9.4,12.0,13.5,27.0,30.0,16.0,17.5,10.0,11.0,13.5,14.5,29.0,32.0,27.0,30.0,19.5,21.0,24.0,26.0,48.0,55.0,8.8,12.0,14.5,20.0,19.5,380.0,33687118,571273.0,1205126.0,58805.0,1.234623784,1.234623788,1.234623863,1.234623785,4.0,4.3,1.31,1.34,19.0,55.0,1.03,1.06,5.2,7.0,1.17,1.24,1.45,1.48,1.78,1.8,1.3,1.33,1.234623868,1.234623870,1.234623786,1.234623787
Japanese J League 3,2024-10-26,03:00:00,FC Gifu,FC Imabari,2.68,8.0,1.95,2.56,1.9,950.0,1.15,26.0,1.04,55.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.31,1000.0,1.31,1000.0,1.03,1000.0,33717729,4270387.0,6641602.0,58805.0,1.234937984,1.234938029,1.234938068,1.234937993,1.01,1000.0,1.01,1000.0,1.16,26.0,1.04,1.1,2.18,26.0,1.04,1.85,1.08,4.2,1.33,3.25,1.31,3.1,1.234937985,1.234937987,1.234937988,1.234938032
Chinese League 1,2024-10-26,03:30:00,Yunnan Yukun,Dalian Yingbo,1.74,2.3,2.98,5.3,2.52,1000.0,1.84,2.44,1.69,2.18,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.31,1000.0,1.31,1000.0,1.03,1000.0,33717183,55896077.0,67154937.0,58805.0,1.234928435,1.234928480,1.234928519,1.234928444,1.01,1000.0,1.01,1000.0,2.76,1000.0,1.01,1.57,2.76,1000.0,1.01,1.57,1.31,1.51,1.76,2.42,1.23,1.49,1.234928436,1.234928438,1.234928439,1.234928483
Chinese League 1,2024-10-26,03:30:00,Suzhou Dongwu,Jiangxi Liansheng,1.33,2.32,5.1,1000.0,1.76,18.5,1.76,3.2,1.45,2.3,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.31,1000.0,1.31,1000.0,1.03,1000.0,33717193,13202951.0,10025828.0,58805.0,1.234928165,1.234928210,1.234928249,1.234928174,1.01,1000.0,1.13,1.58,2.2,1000.0,1.01,1.83,2.2,1000.0,1.01,1.83,1.04,1.25,1.76,4.1,1.2,2.32,1.234928166,1.234928168,1.234928169,1.234928213
