League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Japanese J League,2024-05-31,07:00:00,Tosu,FC Tokyo,3.15,3.25,2.36,2.4,3.6,3.7,2.08,2.18,1.84,1.92,1.7,1.77,2.3,2.42,14.0,16.0,10.5,12.0,14.0,16.5,26.0,32.0,12.5,14.5,7.6,8.6,10.5,12.0,19.5,25.0,20.0,23.0,12.0,14.0,15.0,17.0,27.0,36.0,10.0,60.0,27.0,34.0,34.0,48.0,10.5,90.0,14.5,28.0,9.2,18.5,36.0,980.0,33305321,3455676.0,350849.0,58805.0,1.229377476,1.229377521,1.22937756,1.229377485
Finnish Veikkausliiga,2024-05-31,12:00:00,FC Inter,Haka,2.36,2.42,3.05,3.2,3.75,3.85,2.2,2.32,1.76,1.84,1.65,1.72,2.4,2.54,15.5,18.0,13.0,15.0,20.0,23.0,9.4,60.0,11.0,12.5,7.8,8.8,12.0,13.5,8.6,38.0,15.0,17.0,10.0,11.5,14.5,17.0,9.0,48.0,8.6,40.0,20.0,24.0,8.8,42.0,10.0,95.0,6.4,15.5,7.6,24.0,11.0,980.0,33308266,139505.0,516339.0,58805.0,1.229427847,1.229427892,1.229427931,1.229427856
Finnish Veikkausliiga,2024-05-31,12:00:00,SJK,IFK Mariehamn,1.52,1.56,6.8,7.4,4.6,4.9,2.18,2.32,1.76,1.85,1.92,2.02,1.99,2.1,16.0,21.0,22.0,27.0,9.2,65.0,10.0,980.0,8.0,9.4,9.6,11.0,8.2,29.0,9.8,110.0,8.2,9.4,8.8,10.5,21.0,26.0,9.6,100.0,12.0,14.0,14.0,16.0,8.8,38.0,10.5,980.0,6.6,7.4,9.8,980.0,10.5,1000.0,33308267,5418845.0,1099216.0,58805.0,1.229427757,1.229427802,1.229427841,1.229427766
Finnish Veikkausliiga,2024-05-31,12:00:00,Ilves,KuPS,2.38,2.44,3.25,3.4,3.45,3.65,1.88,1.91,2.08,2.14,1.82,1.93,2.08,2.22,11.0,13.0,11.5,13.5,20.0,26.0,8.4,65.0,8.4,10.0,6.8,8.2,13.0,16.0,8.0,44.0,12.5,15.0,10.0,12.0,16.0,20.0,8.4,60.0,7.4,32.0,20.0,28.0,8.0,46.0,8.8,120.0,6.6,21.0,7.8,44.0,9.6,1000.0,33306171,1229635.0,139510.0,58805.0,1.22939429,1.229394335,1.229394374,1.229394299
Czech 1 Liga,2024-05-31,13:00:00,Mlada Boleslav,Hradec Kralove,2.44,2.62,2.96,3.3,3.4,3.8,1.95,2.1,1.91,2.06,1.69,1.93,2.06,2.46,3.7,980.0,3.65,980.0,3.95,980.0,4.3,980.0,3.4,980.0,3.1,980.0,3.7,980.0,4.2,980.0,3.8,980.0,3.6,980.0,3.85,980.0,4.3,980.0,4.2,980.0,4.1,980.0,4.3,980.0,4.5,980.0,3.95,980.0,4.1,980.0,3.05,1000.0,33309824,886284.0,367579.0,58805.0,1.229446928,1.229446973,1.229447012,1.229446937
Finnish Ykkonen,2024-05-31,13:00:00,FC Jazz,Atlantis,2.34,3.0,2.5,3.15,3.4,5.8,2.3,3.05,1.49,1.76,1.47,1.65,2.52,3.15,3.7,32.0,3.5,22.0,3.65,28.0,3.85,1000.0,3.5,21.0,3.15,12.5,3.3,16.0,3.05,30.0,3.6,26.0,3.25,15.0,3.4,18.5,3.75,38.0,3.85,46.0,3.65,28.0,3.75,36.0,3.95,1000.0,1.82,16.0,1.76,17.5,4.1,1000.0,33314411,344796.0,174384.0,58805.0,1.229497049,1.229497094,1.229497133,1.229497058
Norwegian 1st Division,2024-05-31,14:00:00,Lyn,Mjondalen,1.77,1.81,4.5,5.0,4.2,4.6,2.52,2.68,1.6,1.65,1.63,1.72,2.38,2.58,20.0,23.0,21.0,26.0,34.0,40.0,13.5,980.0,11.0,12.5,9.2,10.5,16.5,18.5,42.0,55.0,11.0,13.0,9.0,10.0,14.0,18.0,42.0,980.0,17.0,19.5,14.5,16.5,23.0,27.0,13.5,90.0,5.4,8.0,30.0,40.0,15.5,980.0,33308550,31318.0,3782270.0,58805.0,1.229432873,1.229432918,1.229432957,1.229432882
Finnish Veikkausliiga,2024-05-31,14:00:00,AC Oulu,HJK Helsinki,4.3,4.5,1.91,1.93,3.9,4.0,2.22,2.26,1.8,1.82,1.73,1.78,2.28,2.38,15.5,17.5,9.6,11.0,11.5,13.0,19.5,22.0,16.5,18.0,8.2,8.8,9.6,10.5,17.0,18.5,30.0,34.0,15.0,17.5,15.5,18.0,28.0,30.0,70.0,90.0,42.0,48.0,46.0,55.0,70.0,85.0,38.0,44.0,10.0,11.5,16.0,980.0,33304355,396699.0,6390.0,58805.0,1.229360335,1.229360380,1.229360419,1.229360344
Estonian Premier League,2024-05-31,14:00:00,Nomme Utd,Parnu JK Vaprus,3.05,4.6,1.93,2.44,3.1,4.8,1.39,2.44,1.7,3.6,1.12,9.4,1.12,1000.0,2.64,980.0,3.25,980.0,2.6,980.0,1.57,980.0,2.88,980.0,3.05,980.0,3.3,980.0,1.86,980.0,2.72,980.0,2.64,980.0,2.56,980.0,1.19,980.0,1.22,1000.0,1.2,980.0,1.17,1000.0,17.0,1000.0,1.15,1000.0,1.22,980.0,1.15,1000.0,33308719,10443529.0,12395256.0,58805.0,1.229434817,1.229434862,1.229434901,1.229434826
Danish Superliga,2024-05-31,14:00:00,FC Copenhagen,Randers,1.39,1.42,8.2,9.4,5.4,5.8,2.46,2.76,1.57,1.68,1.86,2.06,1.95,2.18,21.0,24.0,29.0,36.0,11.5,85.0,13.0,980.0,9.6,11.5,11.0,12.5,27.0,32.0,12.0,120.0,8.4,9.4,9.4,10.0,20.0,25.0,12.0,110.0,11.0,12.5,12.5,14.0,25.0,30.0,12.0,980.0,4.2,5.6,12.5,130.0,13.5,1000.0,33307835,52533356.0,342868.0,58805.0,1.229421552,1.229421597,1.229421636,1.229421561
Bulgarian A League,2024-05-31,14:00:00,CSKA Sofia,CSKA 1948 Sofia,1.69,1.75,5.9,6.8,3.75,4.0,1.69,1.77,2.3,2.46,2.14,2.3,1.78,1.88,10.0,11.5,15.0,17.5,32.0,980.0,12.5,240.0,6.2,7.0,8.0,8.8,21.0,26.0,12.0,120.0,8.0,9.0,9.4,10.5,23.0,28.0,12.0,980.0,15.0,17.5,18.5,22.0,40.0,55.0,34.0,210.0,12.5,14.5,12.5,980.0,14.0,1000.0,33310701,46982.0,20732043.0,58805.0,1.229455676,1.229455723,1.229455762,1.229455687
