League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Austrian Bundesliga,2024-09-26,13:30:00,Hartberg,WSG Wattens,1.81,2.02,4.0,4.8,3.9,4.3,2.16,2.4,1.72,1.86,1.65,1.83,2.2,2.54,15.0,25.0,13.5,23.0,5.0,42.0,4.7,980.0,8.2,12.5,7.4,10.0,12.0,20.0,4.6,60.0,9.6,16.0,7.6,11.5,12.5,21.0,4.7,60.0,15.5,27.0,14.0,23.0,21.0,38.0,4.7,980.0,3.5,12.0,4.5,55.0,4.8,980.0,33620997,345648.0,3258153.0,58805.0,1.233457210,1.233457220,1.233457209,1.233457219,1.2,1000.0,1.01,20.0,14.0,26.0,1.04,1.08,4.3,5.4,1.23,1.3,1.26,1.32,1.98,2.24,1.3,1.35,1.233457201,1.233457213,1.233457214,1.233457224
UEFA Europa League,2024-09-26,13:45:00,Malmo FF,Rangers,2.5,2.54,3.1,3.15,3.5,3.55,1.92,2.0,2.0,2.08,1.76,1.8,2.24,2.3,12.0,13.0,11.5,12.5,19.0,21.0,46.0,55.0,9.6,10.5,7.2,7.6,12.0,13.0,32.0,36.0,14.5,16.5,10.5,11.5,16.0,17.5,40.0,48.0,30.0,36.0,24.0,27.0,36.0,40.0,18.0,95.0,18.5,23.0,26.0,32.0,22.0,1000.0,33548110,174383.0,52458346.0,58805.0,1.232566366,1.232566350,1.232566365,1.232566375,3.1,3.4,1.42,1.48,10.0,15.5,1.07,1.1,3.6,4.1,1.33,1.38,1.46,1.48,1.64,1.67,1.39,1.4,1.232566368,1.232566370,1.232566371,1.232566353
UEFA Europa League,2024-09-26,13:45:00,Fenerbahce,Union St Gilloise,1.7,1.71,5.8,5.9,4.1,4.2,2.02,2.16,1.87,1.99,1.88,2.02,1.99,2.14,14.0,15.5,18.0,21.0,40.0,44.0,16.0,150.0,8.2,9.0,8.4,9.2,19.5,23.0,65.0,80.0,9.2,9.8,9.4,10.0,18.5,22.0,65.0,85.0,15.5,16.5,15.0,17.5,30.0,38.0,15.5,120.0,8.6,9.6,15.5,90.0,17.5,1000.0,33548104,46726.0,892024.0,58805.0,1.232563834,1.232563818,1.232563833,1.232563843,3.1,3.7,1.4,1.47,12.0,18.0,1.06,1.09,4.0,4.5,1.28,1.34,1.2,1.21,2.4,2.44,1.31,1.33,1.232563836,1.232563838,1.232563839,1.232563821
Spanish La Liga,2024-09-26,14:00:00,Las Palmas,Betis,3.4,3.45,2.44,2.46,3.3,3.35,1.79,1.85,2.18,2.28,1.88,1.94,2.06,2.14,10.5,11.5,8.8,9.4,13.5,14.5,30.0,34.0,11.0,12.0,7.0,7.2,10.5,11.5,25.0,28.0,20.0,22.0,13.0,14.0,17.5,19.0,40.0,50.0,55.0,70.0,38.0,42.0,50.0,60.0,40.0,130.0,34.0,46.0,21.0,25.0,21.0,1000.0,33594027,9163.0,44507.0,58805.0,1.233093801,1.233093785,1.233093800,1.233093810,2.88,3.15,1.47,1.53,9.6,12.5,1.09,1.11,3.4,3.55,1.39,1.41,1.68,1.7,1.4,1.42,1.42,1.44,1.233093803,1.233093805,1.233093806,1.233093788
Spanish La Liga,2024-09-26,14:00:00,Espanyol,Villarreal,3.55,3.6,2.22,2.24,3.65,3.7,2.08,2.16,1.87,1.93,1.72,1.77,2.3,2.38,14.5,15.0,10.0,11.0,13.5,14.5,25.0,28.0,13.5,14.5,7.6,8.0,10.0,10.5,20.0,22.0,24.0,26.0,13.5,14.5,15.5,16.5,30.0,34.0,55.0,65.0,36.0,40.0,42.0,46.0,65.0,80.0,30.0,34.0,14.0,15.5,90.0,980.0,33594028,59044.0,28191.0,58805.0,1.233093681,1.233093665,1.233093680,1.233093690,3.3,3.65,1.38,1.43,13.0,18.0,1.06,1.08,4.2,4.4,1.29,1.32,1.8,1.82,1.38,1.4,1.37,1.38,1.233093683,1.233093685,1.233093686,1.233093668
Swedish Allsvenskan,2024-09-26,14:00:00,Hammarby,Hacken,2.18,2.3,3.05,3.25,4.2,4.4,2.94,3.25,1.45,1.52,1.46,1.52,2.92,3.15,5.0,38.0,16.5,28.0,21.0,36.0,5.2,65.0,13.0,22.0,8.4,11.5,10.5,18.0,20.0,34.0,14.0,24.0,8.8,12.0,11.0,18.0,22.0,38.0,21.0,36.0,14.0,24.0,17.5,30.0,5.1,60.0,3.45,9.0,4.2,18.0,5.4,980.0,33618166,30679.0,30681.0,58805.0,1.233398292,1.233398337,1.233398376,1.233398301,4.1,5.4,1.23,1.33,24.0,55.0,1.02,1.04,6.0,10.5,1.12,1.2,1.44,1.49,1.78,1.85,1.3,1.32,1.233398293,1.233398295,1.233398296,1.233398340
Swedish Allsvenskan,2024-09-26,14:00:00,Halmstads,Kalmar FF,2.9,3.0,2.6,2.62,3.5,3.7,1.98,2.1,1.91,2.04,1.75,1.81,2.24,2.34,13.5,15.0,10.5,12.0,15.0,17.0,22.0,36.0,11.5,13.0,7.4,8.2,10.5,12.0,19.5,27.0,17.5,21.0,11.5,13.5,15.5,17.5,24.0,40.0,26.0,46.0,21.0,32.0,25.0,44.0,36.0,980.0,18.5,26.0,16.0,20.0,16.5,980.0,33618186,10765.0,130433.0,58805.0,1.233398202,1.233398247,1.233398286,1.233398211,3.15,3.45,1.41,1.47,13.0,18.0,1.06,1.09,3.95,4.4,1.3,1.34,1.61,1.63,1.5,1.53,1.37,1.4,1.233398203,1.233398205,1.233398206,1.233398250
Swedish Allsvenskan,2024-09-26,14:00:00,Vasteras SK,IFK Goteborg,2.32,2.4,3.25,3.4,3.55,3.75,1.99,2.1,1.91,2.02,1.74,1.82,2.22,2.36,14.0,15.5,12.0,13.5,21.0,24.0,29.0,60.0,9.6,11.0,7.2,7.8,12.5,14.0,22.0,38.0,13.5,15.5,9.8,11.0,15.5,17.5,27.0,46.0,19.5,32.0,18.5,25.0,23.0,38.0,36.0,95.0,13.5,19.0,22.0,36.0,50.0,1000.0,33618187,4638399.0,30689.0,58805.0,1.233398112,1.233398157,1.233398196,1.233398121,3.1,3.65,1.38,1.48,12.5,18.0,1.06,1.09,3.95,4.3,1.31,1.34,1.41,1.45,1.71,1.76,1.37,1.4,1.233398113,1.233398115,1.233398116,1.233398160
French National,2024-09-26,14:30:00,Versailles 78 FC,Valenciennes,2.16,3.4,2.58,3.85,3.1,950.0,1.61,1.84,2.18,3.9,1.12,1000.0,1.12,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33614380,18201074.0,669343.0,58805.0,1.233346537,1.233346582,1.233346621,1.233346546,2.66,2.98,1.51,1.6,8.2,13.5,1.08,1.14,2.26,4.5,1.28,1.8,1.35,1.51,1.55,1.87,1.34,1.48,1.233346538,1.233346540,1.233346541,1.233346585
Belgian First Division A,2024-09-26,15:45:00,Cercle Brugge,Gent,2.76,2.92,2.34,2.46,4.3,4.5,2.72,2.94,1.51,1.59,1.49,1.56,2.78,3.05,18.5,26.0,15.5,17.5,18.0,21.0,30.0,42.0,17.0,19.5,9.4,10.5,11.0,12.0,19.5,22.0,21.0,25.0,12.0,13.0,13.0,15.0,24.0,27.0,38.0,55.0,23.0,26.0,26.0,30.0,12.5,55.0,11.0,14.5,9.4,11.5,15.0,980.0,33618014,259394.0,350594.0,58805.0,1.233397163,1.233397208,1.233397247,1.233397172,4.1,4.6,1.28,1.33,20.0,55.0,1.02,1.05,2.72,55.0,1.07,1.23,1.68,1.75,1.52,1.57,1.28,1.31,1.233397164,1.233397166,1.233397167,1.233397211
