League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Egyptian Premier,2024-08-08,15:00:00,ZED FC,Zamalek,1.95,1000.0,1.16,3.5,2.52,330.0,1.07,15.5,1.07,26.0,1.12,1000.0,1.12,1000.0,1.49,980.0,1.05,980.0,1.05,1000.0,1.05,1000.0,2.8,980.0,6.6,980.0,1.05,980.0,1.05,1000.0,3.0,1000.0,1.05,980.0,1.05,980.0,1.05,1000.0,1.05,1000.0,1.03,1000.0,1.05,1000.0,1.05,1000.0,1.55,1000.0,1.55,1000.0,1.05,1000.0,33474309,38208152.0,5174134.0,58805.0,1.231529942,1.231529987,1.231530026,1.231529951,1.05,2.94,1.52,110.0,1.2,15.5,1.07,8.0,1.14,15.5,1.07,110.0,1.4,1.58,1.43,2.06,1.16,1.66,1.231529943,1.231529945,1.231529946,1.231529990
Argentinian Primera Division,2024-08-08,15:00:00,Argentinos Juniors,Sarmiento de Junin,1.9,1.93,5.5,6.2,3.1,3.25,1.46,1.52,2.92,3.2,2.4,2.74,1.58,1.72,6.4,7.6,11.5,13.0,32.0,42.0,12.0,210.0,5.3,5.8,7.0,7.8,23.0,28.0,12.0,150.0,8.4,10.5,10.5,12.0,28.0,34.0,12.0,190.0,19.0,23.0,26.0,30.0,65.0,80.0,12.5,350.0,18.5,28.0,12.5,290.0,13.0,1000.0,33468726,453739.0,5971606.0,58805.0,1.231454229,1.231454274,1.231454313,1.231454238,2.24,2.46,1.69,1.8,2.32,8.8,1.13,1.76,2.32,2.54,1.65,1.76,1.19,1.22,2.06,2.12,1.44,1.47,1.231454230,1.231454232,1.231454233,1.231454277
Egyptian Premier,2024-08-08,15:00:00,Smouha,Al Ahly Cairo,9.6,12.0,1.36,1.41,5.2,5.8,2.06,2.3,1.77,1.94,2.1,2.44,1.69,1.91,14.0,980.0,7.0,8.6,6.8,8.0,9.4,11.0,26.0,36.0,10.5,12.5,9.2,10.5,12.5,16.0,9.8,95.0,32.0,980.0,26.0,980.0,19.0,46.0,10.5,1000.0,10.0,190.0,10.0,1000.0,10.0,230.0,10.0,1000.0,4.8,6.8,10.5,1000.0,33468729,5170871.0,4768314.0,58805.0,1.231454380,1.231454425,1.231454464,1.231454389,3.2,3.8,1.37,1.45,14.5,990.0,1.01,1.08,4.3,5.1,1.24,1.31,3.4,3.8,1.09,1.12,1.21,1.24,1.231454381,1.231454383,1.231454384,1.231454428
Icelandic Women's Matches,2024-08-08,15:00:00,Selfoss (W),HK Vikingur (W),1.19,600.0,1.64,870.0,3.05,330.0,1.06,1000.0,1.01,21.0,1.12,1000.0,1.12,1000.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,980.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.05,1000.0,1.55,1000.0,1.55,1000.0,1.05,1000.0,33474473,5586156.0,5330937.0,58805.0,1.231533678,1.231533723,1.231533762,1.231533687,1.01,1000.0,1.01,20.0,1.27,110.0,1.01,1.12,1.14,1000.0,1.01,110.0,1.01,2.58,1.16,1.58,1.16,1.46,1.231533679,1.231533681,1.231533682,1.231533726
Bolivian Liga de Futbol Profesional,2024-08-08,16:00:00,Club Real Santa Cruz,The Strongest,2.58,600.0,1.63,2.12,3.05,7.0,1.73,3.55,1.39,2.36,1.12,1000.0,1.12,1000.0,1.49,980.0,2.7,980.0,2.56,1000.0,1.03,1000.0,2.64,980.0,1.04,980.0,1.03,980.0,1.03,1000.0,1.04,1000.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.04,1000.0,1.03,1000.0,1.03,1000.0,1.05,1000.0,1.55,1000.0,1.01,60.0,1.05,1000.0,33474870,25226893.0,328205.0,58805.0,1.231540726,1.231540771,1.231540810,1.231540735,1.01,1000.0,1.01,20.0,1.73,110.0,1.01,2.36,1.73,1000.0,1.01,2.36,1.89,2.6,1.17,1.22,1.26,1.32,1.231540727,1.231540729,1.231540730,1.231540774
Icelandic Urvalsdeild,2024-08-08,16:15:00,HK Kopavogur,KR Reykjavik,5.0,5.7,1.56,1.63,4.9,5.8,3.2,3.8,1.36,1.46,1.48,1.58,2.74,3.05,4.2,980.0,14.0,22.0,12.0,18.5,13.5,22.0,4.1,980.0,10.0,17.0,8.4,12.5,11.5,17.5,4.3,980.0,16.0,980.0,13.0,22.0,16.0,980.0,4.4,980.0,4.3,980.0,4.2,980.0,20.0,980.0,4.0,980.0,2.52,5.6,4.5,980.0,33459241,2405036.0,399808.0,58805.0,1.231297261,1.231297306,1.231297345,1.231297270,4.0,6.2,1.19,1.33,21.0,55.0,1.02,1.04,3.2,55.0,1.03,1.18,2.56,2.8,1.22,1.24,1.21,1.26,1.231297262,1.231297264,1.231297265,1.231297309
Icelandic 1 Deild,2024-08-08,16:15:00,Afturelding,Leiknir R,1.47,2.28,2.38,870.0,3.05,950.0,2.04,3.75,1.36,1.95,1.12,1000.0,1.12,1000.0,1.49,980.0,2.66,980.0,2.38,1000.0,40.0,1000.0,1.03,980.0,1.03,980.0,15.0,980.0,29.0,1000.0,2.88,1000.0,8.8,980.0,11.5,980.0,27.0,1000.0,2.9,1000.0,1.03,1000.0,17.5,1000.0,34.0,1000.0,1.55,1000.0,1.55,1000.0,1.05,1000.0,33472571,3968885.0,4744864.0,58805.0,1.231507997,1.231508042,1.231508081,1.231508006,1.01,1000.0,1.01,20.0,15.0,55.0,1.02,1.06,2.04,55.0,1.08,1.95,1.15,1.35,1.78,26.0,1.02,1.4,1.231507998,1.231508000,1.231508001,1.231508045
Icelandic 1 Deild,2024-08-08,16:15:00,Keflavik,Grindavik,1.62,1.69,4.6,6.2,4.3,6.4,2.68,55.0,1.43,1.59,1.12,1000.0,1.12,1000.0,1.05,980.0,1.05,980.0,1.05,1000.0,1.05,1000.0,1.05,980.0,10.0,980.0,1.05,980.0,1.05,1000.0,1.05,1000.0,8.6,980.0,2.46,980.0,1.05,1000.0,1.05,1000.0,2.14,1000.0,2.04,1000.0,1.25,1000.0,1.05,46.0,1.55,1000.0,1.05,1000.0,33472585,808414.0,399802.0,58805.0,1.231507804,1.231507852,1.231507893,1.231507815,1.01,5.2,1.01,20.0,17.5,55.0,1.02,1.05,1.2,55.0,1.11,55.0,1.2,1.25,2.42,2.62,1.22,1.28,1.231507806,1.231507808,1.231507809,1.231507856
Icelandic Women's Matches,2024-08-08,16:15:00,IR Reykjavik (W),IA Akranes (W),1.02,600.0,1.52,870.0,3.05,950.0,1.06,1000.0,1.01,21.0,1.12,1000.0,1.12,1000.0,1.03,980.0,1.03,980.0,10.5,1000.0,1.03,1000.0,1.05,980.0,1.03,980.0,1.03,980.0,10.5,1000.0,1.03,1000.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.05,1000.0,1.55,1000.0,1.01,1000.0,1.05,1000.0,33474472,5482771.0,5499145.0,58805.0,1.231533768,1.231533813,1.231533852,1.231533777,1.01,1000.0,1.01,20.0,1.27,110.0,1.01,1.12,1.14,1000.0,1.01,110.0,1.01,55.0,1.07,1.29,1.13,1.38,1.231533769,1.231533771,1.231533772,1.231533816
Ecuadorian Serie B,2024-08-08,17:30:00,Guayaquil City,Cuniburo FC,2.12,2.76,3.15,5.9,2.8,4.8,1.23,1.96,2.04,5.3,1.12,1000.0,1.12,1000.0,1.49,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,980.0,1.03,980.0,1.03,980.0,1.03,1000.0,2.76,1000.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,20.0,1000.0,1.55,1000.0,1.55,1000.0,1.05,1000.0,33474400,15116449.0,55425503.0,58805.0,1.231531512,1.231531557,1.231531596,1.231531521,1.05,1000.0,1.01,110.0,1.23,12.5,1.09,5.3,1.23,1000.0,1.09,5.3,1.2,1.47,1.56,1.9,1.26,1.56,1.231531513,1.231531515,1.231531516,1.231531560
Venezuelan Primera Division,2024-08-08,18:00:00,Deportivo La Guaira,Angostura FC,2.04,13.0,1.28,870.0,2.52,7.0,1.05,15.5,1.07,26.0,1.12,1000.0,1.12,1000.0,1.47,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,980.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,980.0,1.03,980.0,1.03,1000.0,2.9,1000.0,1.03,1000.0,1.03,1000.0,1.05,1000.0,1.55,1000.0,1.55,1000.0,1.05,1000.0,33475264,7658015.0,10160867.0,58805.0,1.231544222,1.231544267,1.231544306,1.231544231,1.01,1000.0,1.01,20.0,5.1,15.5,1.07,1.24,1.14,15.5,1.07,990.0,1.26,1.34,1.08,1.97,1.34,1.43,1.231544223,1.231544225,1.231544226,1.231544270
Bolivian Liga de Futbol Profesional,2024-08-08,19:00:00,Aurora,Blooming Santa Cruz,1.64,2.14,2.72,9.2,3.55,950.0,1.74,3.25,1.44,2.34,1.12,1000.0,1.12,1000.0,1.49,980.0,1.04,980.0,1.04,1000.0,1.03,1000.0,1.04,980.0,1.04,980.0,1.03,980.0,1.03,1000.0,1.04,1000.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.05,1000.0,1.01,55.0,1.55,1000.0,1.05,1000.0,33475008,893608.0,10259108.0,58805.0,1.231540359,1.231540404,1.231540443,1.231540368,1.01,1000.0,1.01,20.0,2.72,110.0,1.02,1.05,2.72,1000.0,1.02,1.59,1.12,1.31,1.88,2.56,1.18,1.39,1.231540360,1.231540362,1.231540363,1.231540407
Dominican Republic Matches,2024-08-08,19:00:00,Club Atletico Pantoja,UNIVERSIDAD O&M,1.9,600.0,2.5,870.0,2.52,330.0,1.15,1000.0,1.01,15.5,1.12,1000.0,1.12,1000.0,1.49,980.0,2.78,980.0,2.7,1000.0,1.03,1000.0,2.94,980.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.05,1000.0,1.55,1000.0,1.55,1000.0,1.05,1000.0,33474056,16894932.0,20163770.0,58805.0,1.231525871,1.231525916,1.231525955,1.231525880,1.01,1000.0,1.01,20.0,1.2,110.0,1.01,1.12,1.16,1000.0,1.01,110.0,1.02,1.67,1.02,2.12,1.16,1.58,1.231525872,1.231525874,1.231525875,1.231525919
Venezuelan Primera Division,2024-08-08,20:45:00,Carabobo FC,Monagas,1.04,15.0,1.08,870.0,1.23,950.0,1.05,15.5,1.07,26.0,1.12,1000.0,1.12,1000.0,1.43,980.0,2.72,980.0,2.92,1000.0,1.03,1000.0,2.28,980.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33475261,893607.0,224547.0,58805.0,1.231544312,1.231544357,1.231544396,1.231544321,1.01,1000.0,1.01,20.0,5.1,15.5,1.07,1.24,1.14,15.5,1.07,990.0,1.39,1.48,1.63,1.75,1.33,1.41,1.231544313,1.231544315,1.231544316,1.231544360
Bolivian Liga de Futbol Profesional,2024-08-08,21:00:00,Bolivar,Jorge Wilstermann,1.15,1.92,6.2,870.0,1.23,950.0,1.74,3.2,1.45,2.34,1.12,1000.0,1.12,1000.0,1.47,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,980.0,1.03,980.0,1.03,980.0,1.03,1000.0,3.0,1000.0,1.03,980.0,1.03,980.0,40.0,1000.0,2.96,1000.0,1.03,1000.0,1.03,1000.0,40.0,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33475003,329419.0,706904.0,58805.0,1.231540539,1.231540584,1.231540623,1.231540548,1.01,1000.0,1.01,20.0,2.5,110.0,1.01,1.67,2.5,1000.0,1.01,1.67,1.02,1.19,2.08,7.6,1.08,1.89,1.231540540,1.231540542,1.231540543,1.231540587
Ecuadorian Serie B,2024-08-08,21:00:00,San Antonio FC,Independiente Juniors,2.88,6.8,1.82,3.65,2.18,9.8,1.21,1.93,2.06,5.7,1.12,1000.0,1.12,1.64,1.49,980.0,2.58,980.0,2.52,1000.0,1.03,1000.0,3.0,980.0,1.03,980.0,1.03,980.0,1.03,1000.0,2.82,1000.0,1.03,980.0,1.03,980.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33474407,10992747.0,23112034.0,58805.0,1.231531602,1.231531647,1.231531686,1.231531611,1.77,2.54,1.65,2.3,1.86,9.4,1.12,2.16,1.86,4.1,1.32,2.16,1.37,2.22,1.17,1.54,1.11,1.85,1.231531603,1.231531605,1.231531606,1.231531650
