League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Romanian Liga II,2024-05-08,11:00:00,CSC 1599 Selimbar,CS Mioveni,1.63,2.46,2.62,8.2,2.72,13.0,1.38,1.88,2.12,3.65,1.01,1000.0,1.01,1000.0,1.48,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,5.9,1000.0,6.2,1000.0,1.01,1000.0,1.01,1000.0,9.6,1000.0,9.8,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33253390,48459989.0,5525359.0,58805.0,1.228622351,1.228622396,1.228622435,1.228622360
Serbian Super League,2024-05-08,11:00:00,FK Backa Topola,FK Radnicki 1923,1.04,990.0,1.05,860.0,1.37,320.0,1.52,990.0,1.03,2.92,1.12,1000.0,1.12,1000.0,1.49,1000.0,2.52,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,5.4,1000.0,9.6,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33253155,14609047.0,10465511.0,58805.0,1.228620840,1.228620885,1.228620924,1.228620849
Serbian Super League,2024-05-08,11:00:00,FK Napredak,Partizan Belgrade,1.52,650.0,1.3,3.1,1.53,320.0,1.19,30.0,1.75,10.5,1.12,1000.0,1.12,1000.0,1.49,1000.0,2.76,1000.0,3.0,1000.0,2.96,1000.0,1.01,1000.0,3.85,1000.0,1.01,1000.0,1.01,1000.0,3.45,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33253156,2531444.0,46980.0,58805.0,1.228620750,1.228620795,1.228620834,1.228620759
Romanian Liga II,2024-05-08,11:30:00,FC Hunedoara,Csikszereda,1.9,2.98,2.48,6.4,2.36,14.0,1.38,2.32,1.75,3.6,1.01,1000.0,1.01,1000.0,1.49,1000.0,10.0,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,6.4,1000.0,1.01,1000.0,1.01,1000.0,9.8,1000.0,9.4,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33253451,7223889.0,8886239.0,58805.0,1.228622917,1.228622962,1.228623001,1.228622926
Serbian First League,2024-05-08,12:00:00,FK Vrsac,Metalac Gornji Milanovac,1.01,1000.0,1.01,1000.0,1.01,950.0,1.07,990.0,1.11,18.0,1.01,1000.0,1.01,1000.0,1.44,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,29.0,1000.0,33254332,13082362.0,9541374.0,58805.0,1.228634979,1.228635024,1.228635063,1.228634988
Serbian Super League,2024-05-08,13:00:00,Vojvodina,Cukaricki,2.08,6.8,2.66,5.6,2.12,320.0,1.25,55.0,1.03,18.0,1.12,1000.0,1.12,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33253200,2020542.0,2503611.0,58805.0,1.228620570,1.228620615,1.228620654,1.228620579
Serbian Super League,2024-05-08,13:30:00,Mladost Lucani,Crvena Zvezda,1.41,650.0,1.04,3.6,1.42,950.0,1.06,1000.0,1.03,21.0,1.12,1000.0,1.12,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33253199,2503610.0,6399.0,58805.0,1.228620660,1.228620705,1.228620744,1.228620669
UEFA Europa Conference League,2024-05-08,13:45:00,Club Brugge,Fiorentina,2.62,2.64,2.92,3.0,3.5,3.6,1.92,2.02,1.98,2.1,1.76,1.86,2.16,2.32,12.0,13.5,10.5,12.5,17.5,19.5,40.0,46.0,10.0,11.5,7.2,8.0,11.5,13.0,28.0,32.0,15.5,17.0,11.0,12.0,15.5,17.5,38.0,44.0,32.0,48.0,25.0,29.0,36.0,55.0,15.0,95.0,9.6,23.0,23.0,28.0,32.0,1000.0,33242963,10762.0,676467.0,58805.0,1.228437971,1.228437955,1.228437970,1.228437980
Serbian First League,2024-05-08,14:00:00,Kolubara Lazarevac,FK Dubocica,1.01,1000.0,1.01,1000.0,1.01,950.0,1.07,990.0,1.09,18.0,1.01,1000.0,1.01,1000.0,1.46,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33254337,20849738.0,25173927.0,58805.0,1.228634889,1.228634934,1.228634973,1.228634898
South African Premier Division,2024-05-08,14:30:00,Polokwane City,Richards Bay FC,3.2,3.25,2.62,2.82,2.96,3.2,1.47,1.59,2.7,3.15,2.16,2.38,1.72,1.85,6.4,8.4,6.4,8.6,12.0,16.5,6.4,46.0,7.6,10.5,5.9,7.2,5.5,15.0,6.4,44.0,5.6,23.0,5.3,17.5,5.9,28.0,6.8,80.0,6.8,75.0,6.6,60.0,3.5,95.0,3.6,1000.0,3.5,80.0,3.4,50.0,3.65,1000.0,33240281,7219493.0,17586408.0,58805.0,1.228401071,1.228401116,1.228401155,1.228401080
South African Premier Division,2024-05-08,14:30:00,Orlando Pirates (SA),Chippa Utd,1.38,1.45,8.0,13.5,4.7,5.4,1.92,2.16,1.87,2.1,2.22,2.46,1.69,1.81,3.8,19.0,4.0,34.0,4.3,110.0,4.4,1000.0,5.6,8.8,3.55,14.0,4.1,48.0,4.4,240.0,6.2,9.0,8.6,13.0,4.0,40.0,4.4,210.0,3.6,14.0,3.7,20.0,4.2,60.0,4.4,1000.0,2.98,8.8,4.4,1000.0,4.5,1000.0,33240265,1532826.0,7067867.0,58805.0,1.228400980,1.228401025,1.228401064,1.228400989
South African Premier Division,2024-05-08,14:30:00,Stellenbosch FC,Amazulu,1.67,1.89,5.1,8.2,3.15,4.4,1.53,1.73,2.36,2.86,2.18,2.64,1.61,1.84,3.3,11.5,3.7,19.0,4.2,1000.0,3.7,1000.0,2.88,7.6,3.0,8.8,4.0,34.0,3.6,1000.0,3.5,11.0,3.45,13.5,4.1,36.0,3.6,1000.0,3.85,23.0,4.0,29.0,4.3,1000.0,3.7,1000.0,3.7,21.0,2.08,1000.0,2.08,1000.0,33240275,12678248.0,8750556.0,58805.0,1.228400890,1.228400935,1.228400974,1.228400899
South African Premier Division,2024-05-08,14:30:00,Golden Arrows,Mamelodi Sundowns,9.2,13.5,1.34,1.45,4.5,6.6,1.96,2.06,1.96,2.04,2.14,2.6,1.63,1.87,1.42,18.0,3.95,8.2,3.95,8.4,4.3,12.0,1.4,1000.0,4.6,13.5,4.4,12.0,3.1,18.0,1.4,1000.0,1.4,1000.0,1.68,1000.0,1.36,1000.0,1.4,1000.0,6.4,1000.0,6.2,1000.0,1.4,1000.0,1.36,1000.0,1.68,7.4,6.8,1000.0,33242625,365511.0,6772440.0,58805.0,1.228434450,1.228434495,1.228434534,1.228434459
UEFA Champions League,2024-05-08,16:00:00,Real Madrid,Bayern Munich,1.98,1.99,4.0,4.1,3.95,4.0,2.54,2.58,1.64,1.65,1.59,1.62,2.62,2.7,20.0,21.0,20.0,21.0,30.0,32.0,65.0,75.0,12.5,13.0,8.8,9.2,15.0,16.5,36.0,40.0,13.5,14.5,9.8,10.0,14.5,15.0,38.0,40.0,22.0,23.0,16.5,17.5,24.0,26.0,50.0,65.0,8.6,9.2,26.0,28.0,160.0,500.0,33237980,2426.0,5774350.0,58805.0,1.228363545,1.228363484,1.228363544,1.228363555
English League 1,2024-05-08,16:00:00,Peterborough,Oxford Utd,2.16,2.18,3.5,3.6,3.9,3.95,2.36,2.52,1.66,1.73,1.61,1.69,2.46,2.64,17.0,19.5,16.5,18.5,25.0,28.0,42.0,65.0,12.0,13.5,8.4,9.0,13.5,15.0,30.0,36.0,14.0,15.5,10.0,10.5,14.0,15.5,13.0,42.0,25.0,27.0,18.0,20.0,25.0,30.0,14.5,70.0,9.2,12.0,21.0,27.0,32.0,1000.0,33248684,18563.0,256171.0,58805.0,1.228542794,1.228542804,1.228542793,1.228542803
CONMEBOL Copa Libertadores,2024-05-08,19:00:00,Talleres,Barcelona (ECU),1.7,1.79,5.6,6.2,3.65,4.1,1.76,1.87,2.14,2.32,2.08,2.24,1.8,1.92,10.5,13.0,14.5,18.5,7.2,48.0,8.2,980.0,6.6,7.6,7.8,9.0,20.0,25.0,8.0,980.0,8.4,9.6,9.4,11.0,20.0,28.0,8.0,980.0,15.5,19.0,18.0,23.0,7.4,55.0,8.2,980.0,5.4,14.5,8.2,980.0,8.6,1000.0,33233162,194518.0,13749040.0,58805.0,1.228277478,1.228277523,1.228277562,1.228277487
CONMEBOL Copa Libertadores,2024-05-08,19:00:00,Huachipato,Gremio,2.46,5.7,1.48,2.98,3.0,940.0,1.25,990.0,1.03,5.0,1.12,1000.0,1.12,1000.0,1.49,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,1.2,1000.0,33233170,2019917.0,198134.0,58805.0,1.228277208,1.228277253,1.228277292,1.228277217
CONMEBOL Copa Sudamericana,2024-05-08,19:00:00,Rayo Zuliano,Athletico-PR,10.0,14.5,1.37,1.41,4.9,5.5,2.0,2.16,1.87,1.99,2.26,2.44,1.7,1.8,14.0,20.0,6.8,7.6,6.6,7.6,9.8,13.5,5.7,36.0,10.5,14.5,9.4,11.0,14.0,20.0,6.4,980.0,5.9,50.0,5.8,42.0,6.0,60.0,6.6,980.0,6.6,980.0,6.6,980.0,6.6,980.0,6.6,980.0,3.45,7.0,6.8,1000.0,33233213,46783501.0,36860494.0,58805.0,1.228278383,1.228278428,1.228278467,1.228278392
CONMEBOL Copa Sudamericana,2024-05-08,19:00:00,Sportivo Luqueno,Coquimbo Unido,2.3,2.7,2.86,3.6,3.15,3.9,1.83,2.0,2.0,2.22,1.73,2.0,2.0,2.38,3.5,980.0,3.45,980.0,3.8,980.0,4.1,980.0,3.3,980.0,6.6,980.0,3.5,980.0,4.0,980.0,3.6,980.0,3.4,980.0,3.75,980.0,4.1,980.0,4.0,980.0,3.95,980.0,4.1,980.0,4.3,980.0,3.85,980.0,4.0,980.0,4.4,1000.0,33233251,2844791.0,5800422.0,58805.0,1.228280300,1.228280345,1.228280384,1.228280309
Brazilian Serie B,2024-05-08,21:00:00,America MG,Vila Nova,1.69,1.75,6.6,7.2,3.5,3.75,1.6,1.7,2.42,2.68,2.32,2.52,1.66,1.75,8.4,11.5,14.0,21.0,5.6,980.0,5.9,980.0,5.6,6.4,7.6,980.0,5.2,36.0,5.8,980.0,7.4,8.6,9.4,13.5,5.2,38.0,5.9,980.0,13.5,21.0,5.0,28.0,5.6,980.0,5.9,980.0,4.5,18.5,5.9,980.0,6.0,1000.0,33232105,4516149.0,376829.0,58805.0,1.228260580,1.228260590,1.228260579,1.228260589
