League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Japan J1 League,2024-06-23,02:00:00,19,Consadole Sapporo,Yokohama F. Marinos,4.19,2.62,2.35,3.3,4.0,1.95,1.25,3.6,1.01,11.0,1.13,5.0,1.9,1.9,1.48,2.5,1.88,1.25,1.3,0.8,1.4,1.27,1.58,2.85,2.1,8.0,1.91,1.22,4.0,1.31,3.04,1.7,2.05,2.05,1.7,2.52,1.46
Japan J2 League,2024-06-23,02:00:00,21,Blaublitz Akita,Shimizu S-Pulse,4.75,2.1,2.6,4.1,3.35,1.85,1.44,2.63,1.03,7.9,1.33,2.91,2.05,1.68,1.91,1.8,1.87,1.25,1.18,1.4,1.5,1.52,1.44,2.96,2.33,6.5,1.87,1.18,4.33,1.33,3.0,1.5,2.35,1.98,1.82,2.38,1.49
South Korea K League 1,2024-06-23,06:00:00,18,Incheon United,Pohang Steelers,3.25,2.1,3.4,2.5,3.1,2.7,1.44,2.63,1.03,8.1,1.36,3.22,2.05,1.7,1.83,1.83,1.44,1.28,1.47,1.0,2.0,1.61,1.45,3.06,2.07,6.1,2.24,1.53,2.34,1.88,1.92,2.58,1.44,3.56,1.23,5.2,1.11
South Korea K League 1,2024-06-23,06:00:00,18,Jeju United,Ulsan,4.33,2.25,2.5,3.5,3.6,1.91,1.33,3.25,1.01,10.0,1.22,3.66,1.73,2.0,1.67,2.1,1.9,1.2,1.2,1.33,1.56,1.6,1.44,3.04,2.47,6.25,1.89,1.41,2.69,1.88,1.92,2.27,1.56,3.04,1.31,4.4,1.16
South Korea K League 2,2024-06-23,07:00:00,18,Bucheon 1995,Cheongju,3.0,1.87,4.0,2.25,2.9,3.2,1.58,2.26,1.11,5.5,1.5,2.4,2.52,1.42,2.15,1.65,1.3,1.3,1.62,1.38,1.25,1.47,1.5,2.97,1.7,6.1,2.73,1.49,2.38,1.87,1.79,2.5,1.44,3.48,1.24,4.33,1.18
South Korea K League 2,2024-06-23,07:00:00,18,Ansan Greeners,Cheonan City,3.42,2.12,3.43,2.6,3.0,2.6,1.45,2.74,1.06,7.5,1.38,2.8,2.1,1.67,1.86,1.8,1.45,1.35,1.5,0.88,2.0,1.17,1.3,2.47,1.86,6.2,2.39,1.35,2.84,1.64,2.07,2.0,1.8,2.79,1.36,3.6,1.25
Japan J2 League,2024-06-23,07:00:00,21,Tokushima Vortis,Mito Hollyhock,3.2,2.0,3.75,2.38,3.0,2.9,1.5,2.5,1.08,7.0,1.42,2.75,2.25,1.57,1.91,1.8,1.38,1.28,1.52,0.7,0.89,1.48,1.45,2.93,1.69,6.3,2.72,1.31,3.15,1.59,2.16,2.0,1.8,2.67,1.39,3.3,1.29
South Korea K League 2,2024-06-23,07:00:00,18,Gimpo Citizen,Busan I'Park,4.33,2.0,2.6,3.75,3.25,1.91,1.48,2.54,1.04,7.4,1.38,2.71,2.2,1.62,1.95,1.78,1.8,1.28,1.22,1.5,2.13,1.37,1.85,3.22,2.75,6.15,1.69,1.46,2.45,1.82,1.98,2.4,1.48,3.34,1.26,4.33,1.18
Uruguay Primera División,2024-06-23,10:00:00,3,Liverpool FC Montevideo,Boston River,2.62,2.1,3.7,2.15,3.2,3.1,1.4,2.75,1.02,8.6,1.29,3.14,2.0,1.73,1.8,1.91,1.3,1.33,1.67,0.91,2.11,1.52,1.22,2.74,1.53,6.75,3.16,1.25,3.6,1.44,2.6,1.76,2.05,2.21,1.65,2.7,1.4
Egypt Egyptian Premier League,2024-06-23,10:00:00,27,Coca-Cola,Ismaily SC,2.92,1.75,3.4,2.38,2.7,3.25,1.55,2.3,1.11,6.0,1.55,2.3,2.35,1.41,2.2,1.71,1.3,1.33,1.6,1.25,0.83,1.16,1.56,2.72,1.64,6.3,2.86,1.36,2.79,1.72,2.09,2.18,1.67,2.84,1.35,3.6,1.25
