League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Portugal LigaPro,2024-03-29,08:00:00,27,CF Os Belenenses,CD Feirense,3.2,2.0,3.4,2.45,3.0,2.62,1.47,2.5,1.08,7.0,1.36,3.0,2.05,1.65,1.83,1.95,1.42,1.28,1.5,0.93,0.36,1.4,1.2,2.6,1.69,9.2,2.54,1.16,4.3,1.33,2.93,1.61,2.27,2.0,1.8,2.53,1.5
Bulgaria First League,2024-03-29,09:00:00,26,OFK Pirin,Etar,2.88,1.95,4.5,1.85,3.25,3.9,1.53,2.38,1.09,6.0,1.44,2.6,2.08,1.66,2.2,1.62,1.25,1.25,1.63,1.0,0.38,1.13,0.8,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England Championship,2024-03-29,09:30:00,39,Bristol City,Leicester City,5.0,2.25,2.3,4.6,3.9,1.7,1.36,3.0,1.05,12.0,1.3,3.6,1.9,1.9,1.83,1.83,1.98,1.27,1.2,1.5,2.1,1.22,1.38,2.6,2.42,8.0,1.75,1.2,4.0,1.38,2.8,1.65,2.08,2.08,1.65,2.7,1.38
Wales Welsh Premier League,2024-03-29,09:30:00,7,Connah's Quay,Newtown,1.85,2.5,5.5,1.4,4.5,6.0,1.25,3.75,1.01,17.0,1.14,5.0,1.5,2.4,1.6,2.1,1.08,1.15,2.65,2.0,1.0,1.66,1.3,2.96,1.37,9.6,3.52,1.25,3.6,1.42,2.62,1.69,2.08,2.11,1.67,2.6,1.44
Wales Welsh Premier League,2024-03-29,09:30:00,7,Barry Town United,Penybont,3.69,2.1,2.9,3.0,3.25,2.1,1.36,2.88,1.04,9.0,1.33,3.1,1.73,1.91,1.73,1.91,1.53,1.28,1.35,1.07,1.5,1.43,1.52,2.95,2.52,9.0,1.64,1.25,3.6,1.31,3.15,1.61,2.19,1.98,1.76,2.51,1.44
Wales Welsh Premier League,2024-03-29,09:30:00,7,Colwyn Bay,Aberystwyth Town,2.88,2.05,3.75,2.37,3.3,2.6,1.4,2.75,1.04,9.0,1.3,3.2,1.73,1.95,1.75,2.03,1.29,1.29,1.6,0.57,1.0,1.34,1.07,2.41,1.8,8.8,2.23,1.22,3.8,1.38,2.8,1.59,2.2,1.98,1.78,2.47,1.46
Wales Welsh Premier League,2024-03-29,09:30:00,7,Pontypridd Town AFC,Haverfordwest County,3.1,2.05,3.4,2.7,3.0,2.4,1.4,2.75,1.04,9.0,1.33,3.1,1.95,1.7,1.75,1.9,1.38,1.25,1.53,1.07,1.2,1.32,1.05,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England Championship,2024-03-29,10:00:00,39,Millwall,West Bromwich Albion,4.0,1.91,3.2,3.3,3.0,2.38,1.57,2.25,1.11,7.0,1.47,2.55,2.6,1.5,2.1,1.67,1.6,1.33,1.35,1.15,1.25,1.41,1.13,2.54,2.2,8.0,1.91,1.22,3.75,1.41,2.63,1.72,1.98,2.18,1.6,2.88,1.35
Serbia SuperLiga,2024-03-29,10:00:00,27,Čukarički,Novi Pazar,2.34,2.24,5.3,1.7,3.4,4.2,1.36,2.85,1.03,11.0,1.28,3.4,1.95,1.7,1.73,1.91,1.14,1.22,2.05,1.86,0.86,1.62,1.31,2.93,1.41,8.9,3.38,1.34,2.88,1.62,2.1,2.05,1.65,2.75,1.37,3.86,1.2
Portugal LigaPro,2024-03-29,11:00:00,27,Paços de Ferreira,UD Oliveirense,2.1,2.2,5.5,1.44,3.8,6.0,1.37,2.85,1.06,8.0,1.28,3.4,1.88,1.77,1.95,1.8,1.09,1.18,2.4,1.86,0.93,1.74,1.19,2.93,1.42,10.25,3.3,1.1,5.55,1.22,3.65,1.41,2.6,1.85,1.95,2.12,1.61
Slovenia PrvaLiga,2024-03-29,11:00:00,28,Rogaška,Bravo,3.5,2.1,2.88,2.8,3.5,2.2,1.41,2.7,1.01,9.2,1.28,3.5,2.0,1.73,1.72,2.05,1.57,1.25,1.3,1.14,1.21,1.52,1.47,2.99,2.02,7.3,2.14,1.25,3.5,1.46,2.55,1.76,1.95,2.2,1.59,2.8,1.38
Bulgaria First League,2024-03-29,11:30:00,26,Arda,Levski Krumovgrad,2.6,2.0,5.0,1.8,3.25,4.2,1.5,2.5,1.05,7.0,1.44,2.65,2.33,1.5,2.1,1.67,1.17,1.25,1.87,1.54,0.92,1.48,1.29,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia Prva HNL,2024-03-29,11:50:00,28,Istra 1961,Lokomotiva Zagreb,3.4,2.2,3.0,2.69,3.15,2.22,1.36,2.85,1.05,8.5,1.28,3.55,1.76,1.85,1.62,2.1,1.55,1.25,1.4,1.21,1.47,1.17,1.51,2.68,2.05,7.5,2.05,1.31,3.15,1.63,2.13,2.07,1.67,2.77,1.39,3.7,1.24
England EFL League Two,2024-03-29,12:00:00,41,AFC Wimbledon,Harrogate Town,2.1,2.3,6.0,1.5,3.9,5.25,1.36,3.0,1.05,9.5,1.28,3.55,1.8,1.91,1.91,1.8,1.13,1.18,2.4,1.57,1.52,1.61,0.96,2.57,1.26,10.0,4.64,1.18,4.33,1.32,3.1,1.57,2.25,1.99,1.73,2.55,1.45
England EFL League Two,2024-03-29,12:00:00,41,Accrington Stanley,Morecambe,2.75,2.3,3.6,2.1,3.75,3.2,1.33,3.25,1.05,9.5,1.25,3.95,1.67,2.1,1.57,2.25,1.33,1.25,1.67,1.48,1.38,1.58,1.16,2.74,1.75,8.5,2.43,1.15,4.75,1.32,3.1,1.56,2.27,1.99,1.73,2.6,1.44
England EFL League Two,2024-03-29,12:00:00,41,Bradford City,Tranmere Rovers,2.63,2.2,4.0,1.95,3.5,3.75,1.4,2.75,1.05,9.0,1.3,3.45,1.86,1.86,1.73,2.0,1.28,1.25,1.77,1.38,0.71,1.43,1.28,2.71,1.75,8.5,2.41,1.15,4.75,1.23,3.56,1.51,2.37,2.0,1.8,2.45,1.49
England EFL League One,2024-03-29,12:00:00,41,Fleetwood Town,Cheltenham Town,2.75,2.1,4.0,2.25,3.2,3.3,1.44,2.63,1.02,8.6,1.29,3.15,2.25,1.58,1.8,1.95,1.28,1.25,1.78,0.81,0.8,1.35,1.03,2.38,1.64,7.5,2.74,1.18,4.25,1.34,2.95,1.6,2.17,1.98,1.72,2.6,1.43
