League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Spain Segunda División,2024-01-28,10:00:00,24,CD Eldense,RCD Espanyol,3.6,1.9,3.2,3.05,3.1,2.49,1.52,2.39,1.09,7.0,1.44,2.65,2.2,1.6,1.95,1.8,1.53,1.3,1.38,1.42,1.08,1.3,1.16,2.46,1.85,8.0,2.28,1.25,3.5,1.47,2.4,1.9,1.9,2.4,1.47,3.3,1.26
Switzerland Super League,2024-01-28,10:15:00,20,St. Gallen,Lugano,2.4,2.5,3.75,1.74,3.9,4.2,1.19,4.2,1.02,13.0,1.11,5.8,1.53,2.31,1.42,2.7,1.21,1.2,2.02,2.7,1.3,2.09,1.57,3.66,1.51,8.5,3.16,1.25,3.5,1.47,2.4,1.95,1.85,2.4,1.47,3.3,1.26
Netherlands Eredivisie,2024-01-28,10:30:00,19,Go Ahead Eagles,NEC,2.75,2.3,3.6,2.15,3.6,3.25,1.33,3.25,1.02,14.0,1.19,3.98,1.67,2.1,1.62,2.2,1.33,1.28,1.76,1.7,1.22,2.16,1.18,3.34,1.67,8.0,2.55,1.19,3.9,1.36,2.7,1.64,2.08,2.02,1.68,2.6,1.4
Netherlands Eredivisie,2024-01-28,10:30:00,19,Feyenoord,Twente,1.91,2.5,6.0,1.45,4.8,6.6,1.29,3.5,1.01,19.0,1.14,5.6,1.53,2.35,1.75,2.0,1.12,1.19,2.75,2.1,1.6,2.34,1.57,3.91,1.41,9.0,3.5,1.16,4.4,1.29,3.05,1.52,2.28,1.87,1.82,2.35,1.49
England Championship,2024-01-28,10:30:00,29,Queens Park Rangers,Huddersfield Town,2.75,2.0,4.5,2.02,3.4,3.85,1.5,2.5,1.08,8.5,1.44,2.8,2.29,1.63,2.0,1.73,1.25,1.32,1.77,0.87,0.87,1.41,1.06,2.47,1.51,8.5,3.07,1.14,4.55,1.3,3.3,1.55,2.38,1.98,1.83,2.5,1.49
Portugal LigaPro,2024-01-28,11:00:00,19,Santa Clara,Leixões,2.15,2.1,6.0,1.64,3.75,5.8,1.5,2.5,1.08,7.0,1.4,2.75,2.15,1.61,2.2,1.62,1.1,1.25,2.38,2.3,1.1,1.47,1.34,2.81,1.53,9.2,2.91,1.2,3.86,1.39,2.67,1.83,1.98,2.13,1.7,2.84,1.35
Croatia Prva HNL,2024-01-28,11:00:00,20,Gorica,Lokomotiva Zagreb,3.1,2.05,3.75,2.3,3.23,2.9,1.44,2.63,1.08,7.0,1.33,3.25,2.1,1.65,1.83,1.83,1.33,1.28,1.5,1.64,1.36,1.31,1.48,2.79,2.0,7.5,2.05,1.36,2.79,1.67,2.08,2.11,1.62,2.84,1.35,3.7,1.24
France Ligue 1,2024-01-28,11:00:00,19,Lorient,Le Havre,3.6,1.95,3.4,2.85,3.1,2.7,1.53,2.38,1.05,6.9,1.43,2.6,1.96,1.9,2.0,1.75,1.52,1.4,1.43,1.0,0.9,1.19,1.01,2.2,2.23,7.5,1.86,1.32,2.9,1.58,2.18,1.97,1.72,2.5,1.42,3.35,1.24
France Ligue 1,2024-01-28,11:00:00,19,Clermont,Strasbourg,3.5,2.05,3.4,2.7,3.25,2.7,1.5,2.5,1.04,7.5,1.38,2.78,2.17,1.71,1.95,1.8,1.47,1.33,1.44,0.6,1.0,1.42,1.06,2.48,1.79,7.0,2.4,1.58,2.17,2.0,1.68,2.63,1.38,3.6,1.21,5.2,1.12
France Ligue 1,2024-01-28,11:00:00,19,Reims,Nantes,2.4,2.2,4.5,1.87,3.65,4.1,1.36,3.0,1.01,9.6,1.25,3.52,1.91,1.95,1.8,1.95,1.23,1.27,1.93,1.78,0.78,1.58,1.18,2.76,1.73,8.0,2.43,1.18,4.0,1.33,2.85,1.58,2.17,1.96,1.73,2.45,1.45
