League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Greece Super League,2024-01-04,12:00:00,16,Panaitolikos,Panserraikos,3.0,2.05,4.0,2.11,3.21,3.07,1.5,2.5,1.07,9.0,1.4,2.95,2.2,1.6,1.95,1.8,1.33,1.31,1.63,1.5,0.3,1.56,0.93,2.49,1.75,7.5,2.53,1.49,2.37,2.0,1.74,2.55,1.43,3.6,1.23,5.3,1.15
Spain La Liga,2024-01-04,13:00:00,19,CA Osasuna,Almería,2.3,2.25,5.0,1.6,3.9,4.45,1.36,3.0,1.06,12.0,1.28,3.75,1.87,1.93,1.91,1.91,1.17,1.25,2.15,1.2,0.1,1.41,1.17,2.58,1.48,8.0,3.25,1.3,2.9,1.58,2.18,1.98,1.72,2.5,1.43,3.35,1.24
Greece Super League,2024-01-04,14:00:00,16,Atromitos,Kifisia,2.4,2.2,4.5,1.79,3.6,3.65,1.36,3.0,1.01,9.4,1.25,3.42,1.77,1.93,1.75,2.0,1.22,1.22,2.05,1.57,0.17,1.09,0.83,1.92,1.59,7.5,2.91,1.49,2.37,2.0,1.8,2.55,1.43,3.6,1.23,5.1,1.16
Spain La Liga,2024-01-04,15:15:00,19,Sevilla FC,Athletic Club Bilbao,3.6,2.1,3.0,2.97,3.25,2.17,1.4,2.75,1.05,11.0,1.33,3.4,1.99,1.81,1.75,2.0,1.66,1.28,1.38,1.11,1.5,1.83,1.39,3.22,2.18,7.0,1.92,1.34,2.8,1.61,2.12,2.0,1.68,2.55,1.4,3.45,1.22
Spain La Liga,2024-01-04,17:30:00,19,UD Las Palmas,FC Barcelona,5.5,2.38,2.1,5.4,4.1,1.48,1.33,3.25,1.05,15.0,1.22,4.33,1.8,2.0,1.8,1.95,2.35,1.22,1.15,1.88,1.75,1.2,1.7,2.9,3.05,8.0,1.52,1.3,2.9,1.58,2.18,1.96,1.73,2.5,1.43,3.3,1.24
