League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Turkey Süper Lig,2024-04-02,11:00:00,31,İstanbulspor,Rizespor,3.6,2.25,2.75,3.6,3.5,1.87,1.33,3.25,1.05,13.0,1.21,3.8,1.7,2.05,1.62,2.2,2.0,1.3,1.28,0.56,0.8,1.23,1.17,2.4,2.4,8.9,1.77,1.23,3.56,1.44,2.57,1.75,1.97,2.1,1.65,3.04,1.31
Bulgaria First League,2024-04-02,11:00:00,27,Etar,Arda,5.0,2.05,2.5,4.2,3.42,1.86,1.48,2.5,1.04,7.8,1.4,2.8,2.17,1.61,2.0,1.75,1.9,1.25,1.17,0.57,1.14,1.26,1.3,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2024-04-02,11:30:00,28,Novi Pazar,Bačka Topola,3.8,2.15,2.7,3.38,3.33,2.11,1.38,2.8,1.04,8.5,1.29,3.3,1.92,1.85,1.73,2.0,1.73,1.3,1.33,1.64,2.29,1.57,1.48,3.05,0.0,0.0,0.0,1.67,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria First League,2024-04-02,13:30:00,27,Slavia Sofia,OFK Pirin,2.2,2.2,6.0,1.55,3.68,5.8,1.43,2.65,1.03,8.3,1.33,3.1,2.05,1.7,2.05,1.72,1.09,1.2,2.3,1.29,0.93,1.3,1.08,2.38,1.18,11.5,5.85,1.32,2.98,1.58,2.17,2.02,1.71,2.64,1.4,3.65,1.22
Serbia SuperLiga,2024-04-02,13:30:00,28,Vojvodina,Čukarički,2.8,2.15,3.6,2.26,3.3,3.07,1.38,2.8,1.04,8.5,1.29,3.3,1.92,1.85,1.73,2.0,1.38,1.33,1.62,2.0,1.29,1.84,1.48,3.32,0.0,0.0,0.0,0.0,0.0,1.95,1.85,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eredivisie,2024-04-02,13:45:00,28,Vitesse,Sparta Rotterdam,3.1,2.25,3.2,2.68,3.45,2.53,1.33,3.25,1.03,15.0,1.22,4.08,1.95,1.76,1.62,2.2,1.48,1.25,1.58,0.57,1.43,1.49,1.27,2.76,1.9,7.0,2.2,1.27,3.15,1.5,2.3,1.88,1.81,2.38,1.48,3.15,1.27
Poland Ekstraklasa,2024-04-02,14:00:00,26,Warta Poznań,Zagłębie Lubin,3.6,2.0,3.25,2.58,3.22,2.76,1.5,2.5,1.06,7.0,1.42,2.75,2.26,1.57,1.95,1.8,1.52,1.28,1.4,0.85,1.15,1.16,1.55,2.71,2.28,8.0,1.85,1.23,3.5,1.43,2.48,1.75,1.89,2.25,1.53,3.0,1.3
Serbia SuperLiga,2024-04-02,14:00:00,28,Železničar Pančevo,Radnik Surdulica,2.4,2.1,4.75,1.83,3.35,4.42,1.42,2.62,1.05,8.0,1.33,3.0,2.06,1.74,1.91,1.8,1.22,1.3,1.95,1.21,0.5,1.61,0.84,2.45,1.3,9.5,4.1,1.35,2.84,1.95,1.85,2.1,1.67,2.79,1.36,3.9,1.19
Denmark Superliga,2024-04-02,14:00:00,1,OB,Vejle,2.63,2.1,4.5,1.88,3.43,4.4,1.44,2.63,1.06,9.35,1.37,3.05,2.01,1.72,1.95,1.8,1.26,1.28,1.87,0.25,0.83,1.37,1.1,2.47,1.51,8.5,3.16,1.22,3.75,1.42,2.63,1.65,2.13,2.05,1.7,2.65,1.43
Turkey Süper Lig,2024-04-02,14:30:00,31,Galatasaray,Hatayspor,1.57,3.0,10.0,1.19,7.2,12.0,1.22,4.0,1.01,26.0,1.09,6.89,1.37,2.94,2.0,1.73,1.04,1.11,5.5,3.0,0.69,2.2,1.13,3.33,1.08,15.5,9.3,1.2,3.84,1.39,2.67,1.6,2.2,1.97,1.75,2.84,1.37
Turkey Süper Lig,2024-04-02,14:30:00,31,Gazişehir Gaziantep,Alanyaspor,3.0,2.1,3.6,2.42,3.25,2.94,1.4,2.75,1.04,9.8,1.31,3.33,1.93,1.78,1.73,2.0,1.42,1.35,1.65,1.06,1.13,1.18,1.21,2.39,1.8,9.0,2.34,1.24,3.48,1.5,2.4,1.8,1.9,2.25,1.57,3.08,1.3
Turkey Süper Lig,2024-04-02,14:30:00,31,Antalyaspor,Ankaragücü,2.75,2.05,4.33,1.93,3.35,4.1,1.44,2.63,1.05,8.7,1.38,2.96,2.07,1.67,1.91,1.8,1.3,1.36,1.83,1.63,0.8,1.5,1.06,2.56,1.51,9.2,3.1,1.28,3.18,1.6,2.2,1.95,1.77,2.5,1.47,3.42,1.25
Netherlands Eredivisie,2024-04-02,15:00:00,28,Excelsior,PSV,12.0,3.4,1.44,13.75,7.9,1.16,1.17,5.0,1.01,54.0,1.06,10.0,1.25,3.71,1.95,1.8,5.75,1.07,1.04,0.93,2.53,1.45,2.37,3.82,5.25,10.5,1.25,1.17,4.1,1.32,2.88,1.58,2.2,1.93,1.76,2.43,1.46
Switzerland Challenge League,2024-04-02,15:15:00,32,Sion,Neuchâtel Xamax,2.3,2.2,4.5,1.75,3.6,5.0,1.36,2.99,1.03,8.85,1.23,3.73,1.85,1.95,1.8,1.91,1.15,1.22,2.1,2.0,1.07,1.39,1.61,3.0,1.61,8.7,2.62,1.19,3.96,1.38,2.71,2.38,2.04,2.09,1.63,2.78,1.36
England Premier League,2024-04-02,15:30:00,31,Nottingham Forest,Fulham,3.25,2.1,3.25,2.71,3.35,2.42,1.4,2.75,1.06,10.0,1.33,3.5,1.81,1.9,1.75,2.0,1.51,1.31,1.53,1.19,0.69,1.27,1.33,2.6,2.08,7.5,1.98,1.26,3.2,1.49,2.35,1.85,1.84,2.33,1.5,3.05,1.29
England Premier League,2024-04-02,15:30:00,31,Newcastle United,Everton,2.4,2.4,4.0,1.78,3.63,4.12,1.29,3.5,1.02,18.0,1.19,5.0,1.68,2.07,1.53,2.38,1.27,1.24,2.0,2.06,1.19,1.81,1.29,3.1,1.58,8.0,2.75,1.21,3.6,1.4,2.55,1.7,2.0,2.12,1.62,2.7,1.36
Switzerland Super League,2024-04-02,15:30:00,30,Lugano,Basel,2.55,2.15,3.8,2.01,3.67,3.43,1.33,3.25,1.04,10.0,1.25,3.75,1.76,2.07,1.62,2.2,1.29,1.25,1.75,1.8,0.93,1.49,1.54,3.03,1.69,9.1,2.62,1.25,3.42,1.5,2.51,1.88,1.92,2.32,1.57,3.14,1.29
