League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Japan J2 League,2024-06-09,02:00:00,19,Montedio Yamagata,Oita Trinita,3.0,2.1,3.75,2.2,3.25,3.1,1.4,2.75,1.02,8.7,1.29,3.14,2.0,1.75,1.73,2.0,1.35,1.25,1.6,1.22,1.67,1.54,1.48,3.02,1.8,8.9,2.22,1.2,4.0,1.36,2.9,1.6,2.26,1.99,1.81,2.51,1.5
Japan J2 League,2024-06-09,07:00:00,19,Fagiano Okayama,Kagoshima United,2.4,2.1,5.0,1.75,3.6,4.33,1.44,2.63,1.03,8.5,1.28,3.3,1.95,1.8,1.91,1.8,1.16,1.25,1.99,1.78,0.6,1.48,1.44,2.92,1.64,9.1,2.51,1.18,4.33,1.33,3.0,1.55,2.38,1.9,1.9,2.38,1.55
Norway First Division,2024-06-09,12:00:00,12,Mjøndalen,Ranheim,2.8,2.38,3.1,2.45,3.75,2.6,1.29,3.4,1.03,18.0,1.15,4.75,1.57,2.38,1.48,2.5,1.48,1.29,1.55,1.5,0.5,1.53,1.49,3.02,1.81,9.4,2.24,1.17,4.75,1.26,3.34,1.52,2.45,1.86,1.93,2.32,1.58
Norway First Division,2024-06-09,12:00:00,12,Sogndal,Egersund,2.6,2.5,3.5,2.05,3.75,3.25,1.25,3.75,1.02,19.75,1.16,5.2,1.47,2.5,1.44,2.63,1.35,1.28,1.72,2.0,2.17,1.67,1.64,3.31,1.65,9.4,2.54,1.14,4.8,1.26,3.34,1.52,2.47,1.86,1.93,2.33,1.58
Norway First Division,2024-06-09,12:00:00,12,Start,Lyn,3.0,2.25,3.1,2.5,3.6,2.6,1.3,3.34,1.01,11.0,1.18,4.33,1.62,2.25,1.5,2.4,1.48,1.3,1.53,1.6,1.0,1.98,1.9,3.88,1.99,8.9,2.04,1.19,3.98,1.37,2.75,1.68,2.06,2.09,1.63,2.78,1.36
Norway First Division,2024-06-09,12:00:00,12,Aalesund,Kongsvinger,3.6,2.4,2.4,3.6,4.0,1.9,1.25,3.6,1.02,12.0,1.13,5.0,1.46,2.52,1.48,2.5,1.83,1.25,1.33,0.67,2.0,1.3,1.35,2.65,2.14,9.4,1.88,1.14,4.9,1.3,3.3,1.35,2.84,1.67,2.17,2.04,1.75
Norway First Division,2024-06-09,12:00:00,12,Bryne,Åsane,2.05,2.5,5.5,1.55,4.33,5.5,1.29,3.5,1.03,18.5,1.18,4.88,1.57,2.35,1.67,2.1,1.12,1.18,2.49,2.5,0.2,1.76,1.4,3.16,1.5,10.0,2.95,1.18,4.5,1.34,3.1,1.37,2.75,1.68,2.14,2.08,1.72
Uruguay Primera División,2024-06-09,12:30:00,1,Cerro Largo,Danubio,2.9,1.9,4.0,2.25,3.1,3.2,1.54,2.36,1.09,6.5,1.45,2.65,2.35,1.55,2.0,1.75,1.3,1.3,1.63,1.4,1.11,1.36,1.29,2.65,1.76,8.4,2.32,1.27,3.28,1.51,2.32,1.91,1.8,2.45,1.46,3.34,1.26
Norway First Division,2024-06-09,14:00:00,12,Vålerenga,Moss,2.1,2.4,4.75,1.5,4.5,6.0,1.29,3.4,1.02,13.3,1.18,4.76,1.57,2.35,1.62,2.2,1.2,1.2,2.3,1.4,1.4,2.0,1.53,3.53,1.32,10.75,3.92,1.18,4.5,1.26,3.34,1.52,2.49,1.85,1.94,2.33,1.58
Uruguay Primera División,2024-06-09,15:00:00,1,Progreso,River Plate,2.67,2.23,4.31,2.0,3.4,3.5,1.41,3.0,1.05,8.5,1.3,3.25,2.0,1.75,1.81,1.9,1.25,1.28,1.75,2.14,0.43,1.68,1.09,2.77,1.55,9.2,2.75,1.22,3.8,1.33,3.05,1.65,2.19,2.05,1.74,2.65,1.42
