League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Bulgaria First League,2024-04-08,11:00:00,28,Botev Vratsa,Levski Krumovgrad,3.75,1.95,3.4,2.9,2.8,2.5,1.56,2.31,1.06,6.7,1.48,2.45,2.4,1.5,2.05,1.72,1.44,1.3,1.33,0.92,0.92,1.32,1.3,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2024-04-08,11:00:00,29,IMT Novi Beograd,Napredak,3.0,2.0,3.6,2.25,3.1,2.8,1.45,2.63,1.04,7.8,1.35,2.84,2.0,1.65,1.83,1.83,1.36,1.28,1.55,1.07,1.43,1.44,1.26,2.7,1.65,8.5,2.54,1.32,2.98,1.59,2.16,2.0,1.69,2.64,1.4,3.65,1.22
Romania Liga I,2024-04-08,11:30:00,3,CSM Iaşi,U Craiova 1948,2.88,2.05,3.4,2.2,3.2,2.8,1.41,2.78,1.06,8.0,1.3,3.4,1.91,1.73,1.73,2.0,1.36,1.3,1.57,1.27,0.69,1.58,1.31,2.89,1.68,8.4,2.62,1.37,2.75,1.69,2.04,2.14,1.6,2.88,1.34,4.1,1.18
Bulgaria First League,2024-04-08,13:30:00,28,Lokomotiv Plovdiv,Cherno More,3.6,2.0,3.25,3.1,2.9,2.3,1.53,2.37,1.06,6.8,1.42,2.7,2.25,1.57,1.95,1.8,1.45,1.3,1.33,1.92,1.38,1.49,1.64,3.13,2.39,8.4,1.76,1.36,2.79,1.72,2.09,2.15,1.68,2.84,1.35,3.6,1.25
Serbia SuperLiga,2024-04-08,13:30:00,29,Javor Ivanjica,Mladost Lučani,0.0,0.0,0.0,2.15,3.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.6,0.0,0.0,0.0,0.0,0.0,1.43,1.07,1.38,0.93,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark Superliga,2024-04-08,14:00:00,2,Brøndby,Silkeborg,2.0,2.4,6.0,1.45,4.1,6.25,1.33,3.25,1.04,10.0,1.22,4.2,1.65,2.1,1.8,1.95,1.08,1.15,2.8,2.09,0.91,1.59,1.16,2.75,1.35,9.25,5.1,1.32,3.36,1.58,2.38,1.77,1.95,2.51,1.53,3.44,1.31
Portugal LigaPro,2024-04-08,14:00:00,28,Academico Viseu,Porto II,3.0,2.1,3.4,2.25,3.1,2.8,1.42,2.62,1.04,8.5,1.29,3.3,1.83,1.8,1.7,2.05,1.35,1.27,1.45,1.69,1.23,1.43,1.44,2.87,1.97,7.3,2.2,1.14,4.9,1.28,3.3,1.49,2.44,1.98,1.82,2.23,1.58
Poland Ekstraklasa,2024-04-08,14:00:00,27,Zagłębie Lubin,Górnik Zabrze,2.88,2.2,3.75,2.1,3.15,3.05,1.4,2.75,1.05,8.5,1.3,3.3,1.85,1.85,1.7,2.05,1.35,1.33,1.65,1.54,1.15,1.75,1.34,3.09,1.59,9.3,2.79,1.25,3.6,1.36,2.79,1.7,2.05,2.06,1.68,2.67,1.39
Romania Liga I,2024-04-08,14:30:00,3,Oţelul Galaţi,Dinamo Bucureşti,2.8,1.91,4.2,2.05,3.0,3.3,1.5,2.5,1.11,6.0,1.49,2.55,2.4,1.48,2.05,1.7,1.25,1.36,1.7,1.06,0.69,1.47,1.14,2.61,1.73,8.3,2.52,1.42,2.57,1.76,1.91,2.32,1.54,3.14,1.29,4.5,1.15
Netherlands Eerste Divisie,2024-04-08,15:00:00,33,Ajax II,Den Bosch,2.3,2.4,4.33,1.75,3.5,5.0,1.29,3.5,1.02,18.0,1.16,4.6,1.57,2.35,1.53,2.38,1.22,1.25,1.9,1.67,0.6,1.56,1.08,2.64,1.62,8.5,2.6,1.19,4.4,1.35,3.0,1.63,2.18,2.06,1.71,2.75,1.42
