IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
1.214848653,Finnish Veikkausliiga,2023-06-07,12:00:00,Haka,Ilves,2.82,3.35,2.82,2.3,1.73,1.95,1.98,11.0,10.5,17.5,44.0,10.0,7.6,13.5,36.0,18.0,13.0,20.0,55.0,44.0,36.0,55.0,150.0,38.0,36.0
1.215032807,Finnish Veikkausliiga,2023-06-07,12:00:00,Honka,IFK Mariehamn,1.63,4.0,6.2,2.16,1.83,2.16,1.81,12.5,19.0,55.0,230.0,7.2,9.4,27.0,120.0,8.8,10.5,28.0,130.0,16.0,19.5,50.0,210.0,11.5,180.0
1.214848473,Finnish Veikkausliiga,2023-06-07,12:00:00,KuPS,AC Oulu,1.8,3.7,5.5,2.2,1.79,2.08,1.86,12.0,16.5,42.0,150.0,7.4,8.4,24.0,90.0,10.0,10.5,25.0,120.0,18.5,22.0,46.0,190.0,14.0,150.0
1.214848563,Finnish Veikkausliiga,2023-06-07,12:00:00,Lahti,HJK Helsinki,6.4,4.0,1.66,2.12,1.85,2.12,1.85,12.5,7.6,8.8,15.5,19.0,9.2,10.5,19.0,50.0,25.0,25.0,44.0,200.0,110.0,110.0,170.0,150.0,11.5
1.214874174,Finnish Veikkausliiga,2023-06-07,12:00:00,FC Inter,KTP,1.55,4.7,6.4,1.68,2.38,1.83,2.12,21.0,26.0,55.0,160.0,10.5,11.5,27.0,85.0,10.5,10.0,22.0,80.0,14.0,16.0,34.0,110.0,6.8,85.0
1.214899443,Finnish Ykkonen,2023-06-07,12:30:00,Mikkeli,JJK,1.76,3.9,5.2,2.04,1.91,1.95,1.91,13.0,17.5,42.0,140.0,8.4,9.0,22.0,80.0,10.5,11.0,23.0,85.0,19.0,21.0,42.0,150.0,12.5,100.0
1.214882222,Finnish Ykkonen,2023-06-07,12:30:00,JaPS,SJK 2,2.08,3.8,3.7,1.74,2.28,1.68,2.3,18.5,18.5,30.0,65.0,12.5,9.2,16.0,40.0,15.5,11.5,17.0,44.0,26.0,23.0,34.0,80.0,13.0,32.0
1.214882132,Finnish Ykkonen,2023-06-07,12:30:00,EIF,HIFK,2.5,3.2,3.25,2.28,1.75,1.9,1.99,11.0,12.0,22.0,60.0,9.6,7.6,15.5,44.0,16.0,12.5,20.0,65.0,36.0,32.0,55.0,130.0,28.0,48.0
1.214965947,Bulgarian A League,2023-06-07,12:45:00,PFC Levski Sofia,CSKA Sofia,2.84,3.35,2.7,2.18,1.79,1.87,2.0,11.0,11.5,19.0,44.0,11.0,8.2,14.0,36.0,20.0,14.5,21.0,55.0,46.0,38.0,55.0,130.0,36.0,34.0
1.214965857,Bulgarian A League,2023-06-07,12:45:00,Cherno More,Ludogorets,9.4,5.1,1.4,1.8,2.18,2.12,1.78,19.5,8.4,8.4,11.5,34.0,12.0,10.5,17.0,85.0,36.0,32.0,40.0,1.01,160.0,140.0,190.0,230.0,6.8
