League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Slovenia PrvaLiga,2023-12-14,09:00:00,17,Rogaška,Aluminij,2.96,2.25,3.59,2.5,3.35,2.7,1.36,3.09,1.01,9.7,1.24,3.48,1.85,1.85,1.66,2.09,1.37,1.28,1.59,0.63,0.88,1.46,1.28,2.74,1.84,9.1,2.21,1.24,3.6,1.45,2.65,1.63,2.24,2.0,1.79,2.54,1.49
Slovenia PrvaLiga,2023-12-14,11:00:00,17,Celje,Koper,2.19,2.37,5.4,1.57,3.8,5.5,1.35,3.17,1.01,9.9,1.23,3.56,1.75,1.95,1.82,1.88,1.14,1.22,2.26,2.25,1.88,1.85,1.7,3.55,0.0,0.0,0.0,1.16,4.21,1.32,3.1,1.65,2.21,2.04,1.76,2.6,1.44
Egypt Egyptian Premier League,2023-12-14,11:00:00,9,National Bank of Egypt,El Gounah,3.2,1.91,3.6,2.57,3.05,2.76,1.53,2.3,1.01,2.64,1.49,2.64,2.45,1.53,2.0,1.73,1.42,1.43,1.53,0.0,1.5,0.98,1.67,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-12-14,11:00:00,9,Coca-Cola,Ceramica Cleopatra,3.5,1.91,3.25,2.95,3.0,2.45,1.53,2.38,1.01,2.58,1.42,2.58,2.4,1.55,2.0,1.73,1.49,1.36,1.35,0.75,1.0,1.17,2.02,3.19,2.29,8.6,1.81,1.31,3.04,1.66,2.21,2.05,1.76,2.6,1.41,3.64,1.22
Bulgaria First League,2023-12-14,12:30:00,18,CSKA 1948 Sofia,Arda,2.6,2.0,5.5,1.81,3.25,4.63,1.53,2.38,1.08,7.25,1.45,2.6,2.1,1.65,2.2,1.62,1.15,1.25,1.9,1.88,1.44,1.58,1.47,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-12-14,14:00:00,9,Al Masry,Zamalek,3.5,2.0,3.1,3.05,3.2,2.26,1.46,2.6,1.01,3.05,1.39,3.05,2.18,1.66,1.91,1.8,1.01,1.01,1.01,2.0,1.75,1.52,1.81,3.33,2.09,8.8,1.95,1.22,3.65,1.5,2.55,1.79,2.01,2.22,1.65,2.98,1.32
Egypt Egyptian Premier League,2023-12-14,14:00:00,9,Pyramids FC,Baladiyyat Al Mehalla,1.73,2.25,13.0,1.22,5.2,14.0,1.44,2.67,1.01,2.94,1.41,2.94,1.9,1.8,3.5,1.29,1.04,1.15,4.8,2.5,1.67,1.79,1.36,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
