League,Date,Time,Rodada,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre
China Chinese Super League,2023-09-29,06:30:00,27,Shijiazhuang Ever Bright,Meizhou Hakka,2.4,3.45,2.55,1.03,17.0,1.2,4.57,1.65,2.1,1.29,3.42,1.52,2.46,1.48,1.27,1.54,1.29,0.71,1.4,1.12,2.52
Japan J1 League,2023-09-29,07:00:00,29,Kawasaki Frontale,Albirex Niigata,1.73,3.75,4.3,1.07,8.5,1.25,3.75,1.73,2.0,1.36,2.95,1.75,2.0,1.17,1.2,1.95,1.36,1.13,1.52,1.21,2.73
Japan J1 League,2023-09-29,07:00:00,29,Yokohama F. Marinos,Vissel Kobe,2.1,3.75,3.0,1.05,10.0,1.2,4.33,1.44,2.6,1.21,3.95,1.38,2.9,1.28,1.22,1.72,2.14,1.93,1.63,1.4,3.03
Japan J1 League,2023-09-29,07:30:00,29,Urawa Reds,Yokohama,1.5,4.3,6.0,1.04,11.0,1.24,3.7,1.8,1.91,1.35,2.95,1.88,1.8,1.12,1.2,2.5,1.93,0.57,1.59,1.39,2.98
China Chinese Super League,2023-09-29,08:35:00,27,Shandong Luneng,Wuhan Three Towns,1.53,4.1,5.25,1.03,17.0,1.21,4.53,1.6,2.2,1.3,3.34,1.67,2.15,1.17,1.22,2.27,2.5,1.46,1.77,1.69,3.46
China Chinese Super League,2023-09-29,08:35:00,27,Tianjin Teda,Chengdu Better City FC,3.77,3.45,1.98,1.05,11.5,1.29,3.65,1.91,1.9,1.38,2.8,1.78,2.0,1.76,1.3,1.29,1.71,1.43,1.42,1.47,2.89
China Chinese Super League,2023-09-29,08:35:00,27,Shenzhen,Changchun Yatai,10.0,6.0,1.22,1.02,25.5,1.11,6.0,1.36,2.9,1.24,3.7,1.75,2.0,3.6,1.09,1.01,0.71,1.07,1.06,1.26,2.32
China Chinese Super League,2023-09-29,08:35:00,27,Nantong Zhiyun,Shanghai SIPG,5.75,4.1,1.5,1.03,9.0,1.17,4.3,1.6,2.2,1.3,3.2,1.67,2.0,2.5,1.22,1.06,0.77,2.29,1.65,1.51,3.16
Finland Veikkausliiga,2023-09-29,12:00:00,3,Oulu,KTP,1.75,3.7,3.9,1.03,11.0,1.2,4.33,1.79,1.81,1.33,3.25,1.62,2.2,1.2,1.22,2.05,1.54,0.62,1.12,1.27,2.39
Finland Veikkausliiga,2023-09-29,12:00:00,3,VPS,Inter Turku,1.75,3.99,4.24,1.04,10.0,1.25,3.75,1.78,2.04,1.33,3.25,1.7,2.05,1.22,1.25,2.0,1.75,1.15,1.46,1.44,2.9
