League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Mexico Ascenso MX,2023-04-26 22:00:00,0,Raya2,Zacatepec Siglo XXI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,1.14,1.76,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia Categoria Primera A,2023-04-26 22:30:00,16,Atlético Nacional,Unión Magdalena,1.36,4.2,8.0,1.05,9.0,1.3,3.4,1.83,1.8,1.36,2.95,2.0,1.8,1.11,1.18,2.55,1.63,0.5,1.49,0.93,2.42,1.3,10.0,4.58,1.36,1.67,2.15,2.88,3.7
Mexico Ascenso MX,2023-04-27 00:05:00,0,Cimarrones de Sonora,Correcaminos UAT,1.79,3.46,4.46,1.05,7.9,1.39,2.75,2.2,1.6,1.44,2.6,2.1,1.7,1.17,1.26,1.94,1.62,1.17,1.4,1.22,2.62,0.0,0.0,0.0,1.3,1.6,1.98,2.5,3.65
Serbia SuperLiga,2023-04-27 09:30:00,2,Spartak Subotica,Javor Ivanjica,1.96,3.1,3.3,1.1,6.5,1.4,2.75,2.17,1.62,1.44,2.62,2.0,1.77,1.25,1.35,1.67,1.13,0.93,1.63,1.27,2.9,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0
Serbia SuperLiga,2023-04-27 11:30:00,2,Radnik Surdulica,Radnički Niš,2.1,2.95,3.1,1.1,6.5,1.45,2.63,2.43,1.5,1.5,2.5,2.0,1.77,1.36,1.36,1.5,1.13,0.87,1.27,1.21,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia Prva HNL,2023-04-27 13:00:00,31,Rijeka,Lokomotiva Zagreb,1.95,3.5,3.4,1.06,8.0,1.3,3.4,1.9,1.9,1.36,3.0,1.8,1.91,1.25,1.29,1.83,1.2,0.87,1.65,1.45,3.1,1.82,7.4,2.47,1.49,1.85,2.4,3.2,4.7
Serbia SuperLiga,2023-04-27 13:30:00,2,Bačka Topola,Čukarički,1.95,3.1,3.3,1.05,9.25,1.36,3.0,2.08,1.68,1.45,2.6,1.87,1.82,1.28,1.31,1.72,1.87,1.8,1.85,1.71,3.56,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0
Spain La Liga,2023-04-27 14:30:00,31,Valencia CF,Real Valladolid,1.6,3.45,4.6,1.05,12.0,1.3,3.6,1.83,1.83,1.4,2.75,1.8,1.95,1.21,1.27,1.98,1.4,0.73,1.76,1.19,2.95,1.54,9.2,3.04,1.35,1.66,2.13,2.85,3.9
Spain La Liga,2023-04-27 14:30:00,31,Villarreal,RCD Espanyol,1.5,3.75,5.25,1.04,13.0,1.28,3.75,1.74,1.93,1.33,3.25,1.8,1.95,1.17,1.22,2.25,1.86,0.93,1.85,1.11,2.96,1.45,9.5,3.42,1.31,1.59,2.02,2.66,3.56
Switzerland Super League,2023-04-27 15:30:00,30,Luzern,Winterthur,1.51,3.9,4.9,1.03,13.0,1.18,4.33,1.55,2.3,1.29,3.3,1.73,1.98,1.09,1.16,2.55,1.21,0.71,1.92,1.16,3.08,1.32,8.8,4.56,1.18,1.34,1.58,2.0,2.48
Switzerland Super League,2023-04-27 15:30:00,30,Sion,Basel,3.75,3.8,1.85,1.03,11.5,1.2,4.1,1.58,2.3,1.31,3.2,1.58,2.2,1.82,1.26,1.28,0.71,1.0,1.67,1.57,3.24,3.11,7.6,1.57,1.19,1.36,1.61,2.0,2.55
England Premier League,2023-04-27 15:45:00,33,Everton,Newcastle United,4.5,3.45,1.74,1.03,8.3,1.33,3.1,2.05,1.75,1.44,2.63,1.95,1.8,1.98,1.28,1.2,1.13,1.69,1.6,1.47,3.07,3.05,9.8,1.52,1.17,1.36,1.65,2.04,2.64
England Premier League,2023-04-27 15:45:00,33,Southampton,AFC Bournemouth,2.15,3.3,3.15,1.06,8.75,1.32,3.1,1.95,1.78,1.4,2.75,1.75,2.0,1.35,1.31,1.6,0.63,0.88,1.48,1.08,2.56,1.53,9.8,3.0,1.18,1.38,1.68,2.1,2.71
England Championship,2023-04-27 16:00:00,38,Rotherham United,Cardiff City,3.05,2.7,2.75,1.08,6.5,1.4,2.7,2.25,1.57,1.5,2.5,1.91,1.8,1.38,1.35,1.45,1.43,1.0,1.4,1.19,2.59,2.06,7.6,2.13,1.23,1.48,1.73,2.1,2.7
England Premier League,2023-04-27 16:15:00,33,Tottenham Hotspur,Manchester United,2.82,3.68,2.44,1.04,11.0,1.22,4.0,1.64,2.08,1.33,3.25,1.57,2.25,1.53,1.29,1.42,2.06,1.53,1.74,1.54,3.28,1.9,8.9,2.23,1.25,1.49,1.86,2.38,3.18
Spain La Liga,2023-04-27 17:00:00,31,Athletic Club Bilbao,Sevilla FC,1.76,3.45,3.7,1.06,10.0,1.36,3.2,2.05,1.77,1.44,2.63,1.95,1.8,1.22,1.29,1.9,1.6,1.07,2.03,1.21,3.24,1.47,9.2,3.35,1.42,1.76,2.26,2.98,4.3
Paraguay Division Profesional,2023-04-27 18:00:00,15,General Caballero JLM,Tacuary,2.15,3.15,2.97,0.0,0.0,0.0,0.0,1.98,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.43,1.08,1.22,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia Categoria Primera A,2023-04-27 18:00:00,16,Deportivo Pereira,Envigado,1.93,3.2,3.45,1.08,8.0,1.47,2.65,2.37,1.5,1.49,2.45,2.2,1.65,1.22,1.25,1.95,1.29,0.83,1.63,1.43,3.06,1.75,7.5,2.53,1.36,1.67,2.15,2.9,0.0
Argentina Prim B Nacional,2023-04-27 19:00:00,13,Aldosivi,Racing Córdoba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.83,1.26,1.42,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-04-27 19:00:00,13,Atlanta,Deportivo Riestra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.67,1.53,1.41,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-04-27 19:00:00,13,Tristán Suárez,Ferro Carril Oeste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.33,2.07,1.28,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-04-27 19:00:00,13,Chacarita Juniors,Gimnasia Jujuy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.8,1.76,1.34,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
