League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Mexico Ascenso MX,2023-04-27 22:00:00,0,Tlaxcala,Venados,2.0,3.0,3.6,1.08,7.0,1.36,3.0,2.1,1.67,1.44,2.62,1.91,1.85,1.25,1.33,1.7,1.29,1.39,1.49,1.13,2.62,0.0,0.0,0.0,1.29,1.5,1.9,2.25,3.5
Colombia Categoria Primera A,2023-04-27 22:20:00,16,Millonarios,América de Cali,1.75,3.4,4.5,1.05,10.0,1.48,2.45,2.11,1.65,1.39,2.75,1.87,1.9,1.22,1.25,2.0,2.67,1.14,1.61,1.38,2.99,1.51,8.0,3.17,1.48,1.87,2.5,3.34,4.7
Australia A-League,2023-04-28 06:45:00,26,Melbourne City FC,Western Sydney Wanderers,1.77,3.8,3.3,1.03,19.25,1.18,4.75,1.52,2.26,1.27,3.4,1.55,2.3,1.24,1.22,2.05,2.54,1.15,2.1,1.59,3.69,1.57,10.0,2.89,1.13,1.25,1.46,1.88,2.3
Australia A-League,2023-04-28 06:45:00,26,Adelaide United,Central Coast Mariners,2.37,4.05,2.17,1.02,16.0,1.14,5.0,1.35,2.77,1.23,3.8,1.49,2.4,1.28,1.21,1.93,1.85,1.54,1.69,1.74,3.43,1.87,10.0,2.26,1.11,1.22,1.34,1.6,2.0
Ukraine Ukrainian Premier League,2023-04-28 07:00:00,23,Veres Rivne,Lviv,2.17,3.15,3.1,0.0,0.0,0.0,0.0,2.04,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.42,1.39,0.74,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine Ukrainian Premier League,2023-04-28 07:00:00,23,Metal Kharkiv,Dynamo Kyiv,8.45,4.95,1.28,1.03,16.0,1.2,4.2,1.61,2.08,1.33,3.1,2.05,1.73,2.65,1.13,1.07,0.73,2.2,1.09,1.6,2.69,6.0,9.0,1.24,0.0,1.44,1.93,2.25,2.95
Ukraine Ukrainian Premier League,2023-04-28 09:00:00,23,Kolos Kovalivka,Shakhtar Donetsk,8.8,5.0,1.27,1.03,14.0,1.21,4.1,1.73,1.91,1.32,3.2,2.02,1.76,3.2,1.17,1.07,1.42,2.36,1.12,1.96,3.08,4.3,7.5,1.41,1.42,1.83,2.25,3.0,0.0
Bulgaria First League,2023-04-28 11:30:00,28,Septemvri Sofia,Slavia Sofia,2.84,2.98,2.26,1.08,6.5,1.4,2.7,1.99,1.62,1.45,2.64,1.86,1.9,1.58,1.33,1.39,0.85,1.15,1.32,1.48,2.8,0.0,0.0,0.0,0.0,0.0,2.15,2.9,4.32
Slovakia Super Liga,2023-04-28 13:00:00,7,Trenčín,Liptovský Mikuláš,1.5,4.0,5.75,1.04,12.0,1.28,3.6,1.56,2.31,1.35,2.95,2.0,1.8,1.11,1.18,2.6,1.43,0.64,1.78,1.28,3.06,2.15,6.25,2.15,1.5,1.87,2.5,1.83,2.17
Poland Ekstraklasa,2023-04-28 13:00:00,30,Legia Warszawa,Wisła Płock,1.61,3.7,5.15,1.04,14.0,1.22,4.0,1.78,1.91,1.34,3.0,1.78,1.95,1.09,1.18,2.35,2.29,0.64,1.93,1.52,3.45,1.32,11.0,4.22,1.18,1.33,1.6,2.01,2.58
Germany 2. Bundesliga,2023-04-28 13:30:00,30,Greuther Fürth,Heidenheim,2.77,3.15,2.22,1.06,8.5,1.31,3.1,1.89,1.81,1.43,2.6,1.75,1.95,1.4,1.28,1.47,1.93,1.5,1.73,1.43,3.16,1.94,8.7,2.16,1.25,1.47,1.85,2.4,3.4
Germany 2. Bundesliga,2023-04-28 13:30:00,30,Paderborn,Eintracht Braunschweig,1.59,3.75,4.25,1.03,12.5,1.18,4.5,1.58,2.22,1.29,3.35,1.65,2.15,1.12,1.17,2.25,2.14,0.79,2.19,1.32,3.51,1.55,9.5,2.91,1.19,1.33,1.6,2.05,2.7
Italy Serie A,2023-04-28 13:30:00,32,Lecce,Udinese,2.39,2.96,2.68,1.08,8.7,1.4,2.96,2.22,1.58,1.5,2.5,1.95,1.8,1.36,1.32,1.5,0.87,1.19,1.46,1.46,2.92,1.82,9.0,2.34,1.26,1.51,1.89,2.45,3.28
Denmark 1st Division,2023-04-28 13:30:00,5,Fremad Amager,HB Køge,2.68,3.2,2.25,1.01,14.5,1.18,4.8,1.68,1.86,1.28,3.6,1.53,2.38,1.83,1.22,1.33,0.92,1.19,1.29,1.77,3.06,2.38,8.4,1.82,1.27,1.48,2.2,2.3,3.0
Denmark 1st Division,2023-04-28 13:30:00,5,Hobro,Nykøbing,1.72,3.3,4.1,1.03,12.5,1.27,3.7,1.79,1.75,1.36,3.2,1.73,2.0,1.18,1.2,2.2,1.15,0.77,1.51,1.2,2.71,1.39,8.5,3.94,1.31,1.54,2.0,2.44,3.3
Denmark Superliga,2023-04-28 14:00:00,5,Horsens,OB,2.32,3.25,2.55,1.03,11.5,1.27,3.7,1.68,1.86,1.36,2.9,1.62,2.15,1.47,1.3,1.47,1.38,1.33,1.38,1.57,2.95,2.1,8.0,1.91,1.17,1.31,1.75,1.98,2.6
Turkey Süper Lig,2023-04-28 14:00:00,32,Alanyaspor,Ümraniyespor,2.05,3.92,3.52,1.03,18.75,1.19,4.8,1.53,2.3,1.29,3.25,1.53,2.3,1.34,1.26,1.73,1.67,0.93,1.48,1.46,2.94,1.57,8.5,2.75,1.19,1.39,1.69,2.12,2.75
