League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Chile Primera División,2023-04-29 21:00:00,12,Audax Italiano,Cobresal,2.1,3.4,3.4,1.03,13.0,1.25,3.75,1.78,2.0,1.33,3.1,1.63,2.2,1.5,1.25,1.57,1.33,0.67,2.01,1.58,3.59,1.95,8.0,2.1,1.29,1.51,1.85,2.37,3.1
USA USL Championship,2023-04-29 21:00:00,0,Memphis 901,Louisville City,2.3,3.45,2.66,1.04,10.0,1.22,4.0,1.85,1.85,1.33,3.25,1.6,2.25,1.5,1.29,1.5,0.5,1.6,1.74,1.11,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia LFPB,2023-04-29 21:00:00,11,Aurora,Royal Pari,1.45,4.0,5.87,1.04,11.0,1.25,3.6,1.78,1.88,1.36,3.0,2.0,1.73,1.13,1.2,2.5,2.33,1.2,1.75,1.5,3.25,1.14,13.5,6.8,0.0,1.23,1.42,1.73,2.2
Brazil Serie A,2023-04-29 21:00:00,3,Atlético Mineiro,Atlético PR,1.65,3.5,5.0,1.06,10.0,1.36,3.2,2.08,1.73,1.44,2.63,2.0,1.75,1.16,1.27,2.15,1.5,0.0,2.44,1.2,3.64,1.35,9.5,3.9,1.11,1.24,1.46,1.79,2.23
Chile Segunda División,2023-04-29 21:00:00,8,Deportes Limache,Concepción,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.25,1.02,1.3,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA USL Championship,2023-04-29 21:30:00,0,San Antonio,Las Vegas Lights,1.31,4.7,8.07,1.02,12.0,1.17,4.5,1.7,2.03,1.25,3.75,1.91,1.8,1.04,1.14,3.5,1.8,0.83,1.61,1.45,3.06,0.0,0.0,0.0,0.0,0.0,1.42,1.7,2.13
USA MLS,2023-04-29 21:30:00,0,Sporting KC,Montreal Impact,1.65,3.9,5.0,1.01,10.0,1.23,3.64,1.78,2.05,1.36,3.29,1.7,2.15,1.28,1.22,1.87,0.25,0.5,1.68,1.09,2.77,1.56,9.1,2.92,1.26,1.5,1.88,2.5,3.5
USA MLS,2023-04-29 21:30:00,0,St. Louis City,Portland Timbers,1.83,3.75,4.1,1.03,15.0,1.22,4.2,1.7,2.1,1.33,3.0,1.65,2.1,1.25,1.26,1.88,1.8,0.67,1.66,1.0,2.66,1.55,8.5,2.91,1.22,1.42,1.75,2.3,3.1
USA MLS,2023-04-29 21:30:00,0,Austin,SJ Earthquakes,2.05,3.6,3.4,1.04,15.0,1.18,4.2,1.7,2.1,1.26,3.25,1.58,2.3,1.29,1.25,1.83,1.2,0.4,1.44,1.24,2.68,1.52,7.5,3.05,1.21,1.4,1.71,2.2,3.0
Argentina Primera División,2023-04-29 21:30:00,14,Boca Juniors,Racing Club,2.31,3.15,3.18,1.05,7.2,1.42,2.62,2.32,1.62,1.48,2.58,1.96,1.79,1.36,1.38,1.61,1.38,1.0,1.62,1.31,2.93,1.81,8.6,2.4,1.33,1.63,2.09,2.76,3.74
USA MLS,2023-04-29 21:30:00,0,Chicago Fire,New York RB,2.5,3.2,2.9,1.07,9.65,1.36,3.17,2.2,1.65,1.44,2.62,1.87,1.9,1.35,1.3,1.49,1.33,0.5,1.16,1.56,2.72,1.85,8.7,2.28,1.25,1.47,1.83,2.4,3.4
Mexico Liga MX,2023-04-29 22:00:00,17,Atlético San Luis,Atlas,2.8,3.25,2.4,1.06,8.5,1.31,3.1,1.93,1.77,1.4,2.7,1.77,1.93,1.53,1.32,1.4,1.35,0.76,1.31,1.39,2.7,2.32,8.5,1.86,1.41,1.7,2.16,2.88,4.1
USA USL Championship,2023-04-29 22:00:00,0,New Mexico United,Orange County SC,1.95,3.5,3.32,1.05,9.0,1.25,3.75,1.78,1.93,1.33,3.25,1.66,2.15,1.25,1.22,1.65,2.0,0.33,1.44,1.15,2.59,0.0,0.0,0.0,1.56,1.93,2.45,0.0,0.0
Mexico Liga MX,2023-04-29 22:05:00,17,Monterrey,Pumas UNAM,1.57,4.5,5.4,1.02,17.0,1.16,4.1,1.62,2.33,1.3,3.4,1.7,2.1,1.12,1.21,2.45,2.21,0.53,2.01,1.62,3.63,1.57,7.6,3.11,1.33,1.57,1.96,2.55,3.4
