League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Mexico Liga MX,2023-05-18,00:00:00,0,Tigres UANL,Monterrey,2.6,3.25,2.7,1.05,10.0,1.33,3.25,2.15,1.67,1.44,2.63,1.95,1.8,1.43,1.32,1.5,1.68,2.08,2.11,1.69,3.8,1.68,5.75,2.45,1.25,1.48,1.93,2.36,3.18
Denmark 1st Division,2023-05-18,09:00:00,8,Hvidovre,SønderjyskE,2.0,3.45,3.55,1.04,10.0,1.25,3.75,1.81,2.01,1.33,3.25,1.62,2.2,1.29,1.25,1.75,1.9,1.69,1.77,1.78,3.55,1.51,9.1,3.14,1.17,1.33,1.67,2.03,2.58
Turkey Süper Lig,2023-05-18,14:00:00,34,Fenerbahçe,Trabzonspor,1.62,4.0,4.9,1.03,17.0,1.19,4.5,1.57,2.15,1.29,3.5,1.67,2.1,1.18,1.25,2.5,2.13,0.93,2.06,1.72,3.78,1.33,9.5,3.74,1.23,1.44,1.8,2.35,3.25
Egypt Egyptian Premier League,2023-05-18,14:00:00,28,Zamalek,Aswan FC,1.94,3.2,3.65,1.04,7.8,1.35,2.84,2.12,1.64,1.46,2.6,1.92,1.79,1.27,1.31,1.79,2.0,1.08,1.52,1.18,2.7,0.0,0.0,0.0,0.0,0.0,1.58,1.93,2.41
England Premier League,2023-05-18,15:30:00,25,Newcastle United,Brighton & Hove Albion,1.95,3.6,3.6,1.03,11.0,1.2,4.33,1.57,2.25,1.3,3.4,1.53,2.38,1.27,1.26,1.85,2.06,1.65,1.96,1.77,3.73,1.64,8.5,2.6,1.18,1.33,1.58,1.97,2.48
England EFL League One,2023-05-18,16:00:00,0,Sheffield Wednesday,Peterborough United,1.59,3.72,4.48,1.05,9.0,1.29,3.5,1.83,1.95,1.33,3.25,1.67,2.1,1.2,1.25,2.0,2.04,1.7,1.77,1.41,3.18,1.3,11.0,4.42,1.34,1.63,2.1,2.87,4.1
Argentina Prim B Nacional,2023-05-18,19:00:00,16,Deportivo Maipú,Aldosivi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.14,1.79,1.3,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-18,19:00:00,16,Villa Dálmine,Independiente Rivadavia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.5,1.47,1.63,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-18,19:00:00,16,Atlético Rafaela,Club Atlético Mitre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.88,1.64,1.37,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-18,19:00:00,16,Estudiantes Caseros,Chacarita Juniors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,1.75,1.5,1.46,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
