League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Bulgaria First League,2023-06-01,11:30:00,5,Lokomotiv Sofia 1929,Botev Plovdiv,2.21,3.06,3.04,1.07,7.5,1.36,3.0,2.03,1.81,1.4,2.75,1.85,1.85,1.25,1.33,1.7,1.44,0.78,1.49,1.38,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-06-01,13:00:00,30,Haras El Hodood,Aswan FC,3.25,2.75,2.33,1.1,6.07,1.47,2.57,2.4,1.5,1.56,2.28,2.0,1.77,1.44,1.34,1.28,0.77,1.0,1.08,1.19,2.27,1.9,8.2,2.19,1.51,1.88,2.38,3.28,0.0
Tunisia Ligue 1,2023-06-01,13:00:00,8,ES Tunis,Ben Guerdane,1.36,4.0,7.5,1.03,7.9,1.51,2.39,2.0,1.7,1.45,2.65,2.35,1.53,1.08,1.22,2.48,1.95,1.81,1.95,1.33,3.28,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Netherlands Eredivisie,2023-06-01,13:45:00,0,Heerenveen,Twente,3.55,3.75,2.05,1.01,16.0,1.17,4.3,1.75,2.08,1.3,3.38,1.57,2.46,1.8,1.29,1.34,1.35,1.88,1.71,1.79,3.5,2.4,9.3,1.8,1.18,1.35,1.65,2.1,2.73
Sweden Superettan,2023-06-01,14:00:00,10,Helsingborg,Skövde AIK,1.87,3.5,3.95,1.02,8.8,1.29,3.2,2.0,1.8,1.4,2.82,1.84,1.92,1.2,1.26,1.94,0.75,0.0,1.16,1.27,2.43,1.46,8.0,3.35,0.0,1.24,1.43,1.74,2.2
Bulgaria First League,2023-06-01,14:00:00,5,Arda,Slavia Sofia,1.93,3.05,3.95,1.07,7.5,1.36,3.0,2.48,1.5,1.4,2.75,1.85,1.85,1.3,1.33,1.65,1.82,1.35,1.72,1.5,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden Superettan,2023-06-01,14:00:00,10,Västerås SK,AFC Eskilstuna,1.53,4.1,5.6,1.0,10.5,1.22,3.8,1.75,2.08,1.33,3.0,1.8,1.91,1.14,1.22,2.5,2.0,1.0,1.72,1.59,3.31,1.42,10.0,3.32,1.14,1.25,1.45,1.93,2.23
Sweden Superettan,2023-06-01,14:00:00,10,Jönköpings Södra,Öster,3.0,3.35,2.25,1.0,10.5,1.22,3.72,1.75,2.08,1.34,3.1,1.61,2.25,1.61,1.27,1.36,2.0,1.75,1.5,1.69,3.19,2.43,7.5,1.8,1.18,1.34,1.61,2.02,2.7
Sweden Superettan,2023-06-01,14:00:00,10,GAIS,Örgryte,1.58,3.95,5.3,1.01,9.6,1.25,3.46,1.83,1.98,1.36,2.98,1.85,1.85,1.13,1.22,2.25,2.25,0.5,2.15,1.57,3.72,1.37,8.5,3.85,1.14,1.27,1.48,1.9,2.35
Romania Liga I,2023-06-01,14:30:00,0,CFR Cluj,U Craiova 1948,1.83,3.35,4.5,1.08,8.75,1.4,2.9,2.28,1.6,1.48,2.5,2.0,1.72,1.2,1.32,1.88,1.83,1.43,1.87,1.39,3.26,1.74,7.0,2.6,1.27,1.5,1.93,2.45,3.4
