League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Brazil Serie B,2023-05-03 21:15:00,4,Avaí,Vila Nova,2.23,3.05,3.1,1.1,6.5,1.45,2.65,2.4,1.53,1.53,2.38,2.1,1.67,1.33,1.3,1.57,1.5,3.0,2.28,0.0,2.28,1.47,6.25,3.0,1.15,1.26,1.67,2.15,2.9
Chile Primera B,2023-05-03 21:30:00,10,Cobreloa,Deportes Iquique,1.91,3.05,4.0,1.11,6.0,1.5,2.45,2.3,1.57,1.53,2.37,2.05,1.72,1.18,1.28,1.7,2.0,1.2,1.91,1.38,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile Primera B,2023-05-03 21:30:00,10,San Marcos,Univ. Concepción,2.21,3.0,3.15,1.08,7.0,1.38,2.9,2.25,1.6,1.48,2.5,1.87,1.87,1.33,1.28,1.5,1.8,0.0,1.61,1.44,3.05,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.0
Brazil Serie C,2023-05-03 21:30:00,1,Paysandu,Aparecidense,1.84,3.25,4.1,1.05,7.2,1.4,2.64,2.3,1.55,1.48,2.47,1.95,1.72,1.26,1.3,1.66,3.0,0.0,0.0,0.0,0.0,1.51,5.75,3.0,1.29,1.6,1.98,2.49,3.6
Mexico Ascenso MX,2023-05-03 22:00:00,0,Raya2,Atlante,3.5,3.31,2.14,1.03,9.5,1.3,3.2,1.91,1.68,1.43,2.81,1.8,1.96,1.71,1.3,1.29,1.28,1.93,1.76,1.39,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico Ascenso MX,2023-05-04 00:05:00,0,Tlaxcala,Tapatío,2.24,3.18,3.4,1.05,8.25,1.34,2.8,2.0,1.61,1.45,2.71,1.81,1.95,1.36,1.32,1.58,1.28,1.5,1.5,1.21,2.71,1.95,6.9,2.27,1.33,1.6,2.03,2.7,3.75
Ukraine Ukrainian Premier League,2023-05-04 07:00:00,24,Metalist 1925 Kharkiv,Rukh Vynnyky,2.51,3.2,2.45,1.07,9.25,1.35,2.95,2.1,1.65,1.44,2.65,1.87,1.89,1.35,1.27,1.48,1.08,0.75,0.92,1.13,2.05,1.92,6.5,2.5,1.22,1.44,1.75,2.2,2.9
Ukraine Ukrainian Premier League,2023-05-04 07:00:00,24,Inhulets,Hirnyk,2.35,3.1,2.7,1.08,7.0,1.36,3.0,2.1,1.65,1.49,2.5,1.99,1.78,1.41,1.33,1.55,1.23,1.0,1.17,1.12,2.29,2.15,6.5,2.15,1.29,1.5,1.98,2.4,3.5
Ukraine Ukrainian Premier League,2023-05-04 09:00:00,24,Vorskla,Dynamo Kyiv,3.7,3.45,1.78,1.03,11.0,1.2,4.33,1.88,1.92,1.35,3.05,1.83,1.93,2.05,1.19,1.14,1.64,2.2,1.42,1.63,3.05,4.3,7.5,1.41,1.27,1.5,1.98,2.4,3.34
Bulgaria First League,2023-05-04 09:45:00,29,OFK Pirin,Botev Plovdiv,2.99,3.15,2.13,1.05,8.0,1.3,3.2,2.15,1.62,1.46,2.61,1.91,1.85,1.73,1.32,1.3,0.93,0.73,1.32,1.39,2.71,2.38,8.5,1.8,1.4,1.76,2.2,2.98,4.1
