League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre
Norway First Division,2023-10-04,13:00:00,17,Sogndal,Kristiansund,2.84,2.3,3.36,1.74,3.95,3.75,1.25,3.75,1.02,12.0,1.17,4.5,1.37,2.68,1.5,2.5,1.44,1.25,1.57,1.91,1.0,1.38,1.44,2.82
France Ligue 2,2023-10-04,13:45:00,8,Saint-Étienne,Dunkerque,2.2,2.3,5.0,1.62,3.6,4.7,1.36,3.0,1.01,9.9,1.23,3.56,1.74,1.86,1.8,1.91,1.16,1.24,2.2,1.33,1.33,1.43,1.1,2.53
Spain Segunda División,2023-10-04,14:00:00,9,Real Oviedo,SD Huesca,3.2,1.91,4.03,2.38,2.92,2.97,1.57,2.2,1.12,5.5,1.55,2.45,2.61,1.4,2.1,1.67,1.36,1.36,1.54,0.67,1.25,1.02,0.9,1.92
Spain Segunda División,2023-10-04,14:00:00,9,CD Eldense,Real Valladolid,3.56,1.98,3.25,2.72,3.05,2.47,1.47,2.45,1.1,6.5,1.4,2.75,2.2,1.55,1.91,1.8,1.49,1.34,1.42,1.33,1.0,1.19,1.24,2.43
Norway Eliteserien,2023-10-04,14:00:00,20,Stabæk,HamKam,2.75,2.2,4.0,2.1,3.3,3.2,1.4,2.75,1.06,9.5,1.3,3.5,1.86,1.81,1.75,2.0,1.3,1.25,1.7,1.09,0.6,1.36,1.22,2.58
England Championship,2023-10-04,15:45:00,10,Coventry City,Blackburn Rovers,2.6,2.15,3.6,1.98,3.45,3.3,1.33,3.0,1.03,15.0,1.22,4.33,1.69,1.97,1.55,2.25,1.32,1.28,1.7,1.5,1.0,1.43,1.48,2.91
England Championship,2023-10-04,15:45:00,10,Leeds United,Queens Park Rangers,1.78,2.4,7.25,1.31,4.65,8.2,1.31,3.1,1.03,15.0,1.2,4.5,1.55,2.21,1.95,1.75,1.06,1.16,3.3,1.5,1.4,1.86,0.99,2.85
England Championship,2023-10-04,15:45:00,10,Leicester City,Preston North End,1.95,2.38,7.0,1.42,4.05,6.8,1.36,3.0,1.01,12.0,1.2,3.9,1.85,1.79,2.1,1.67,1.09,1.2,2.8,2.25,2.0,1.77,1.12,2.89
England Championship,2023-10-04,15:45:00,10,Sunderland,Watford,2.5,2.25,4.0,2.31,3.25,2.79,1.33,3.25,1.04,13.0,1.26,4.0,1.89,1.75,1.67,2.1,1.27,1.25,1.71,1.5,0.33,1.62,1.08,2.7
England Championship,2023-10-04,15:45:00,10,Swansea City,Norwich City,3.2,2.25,3.1,2.74,3.2,2.36,1.36,3.0,1.05,12.0,1.3,3.6,1.89,1.75,1.62,2.2,1.5,1.32,1.43,1.25,1.0,1.31,1.43,2.74
