League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
China Chinese Super League,2023-10-19,08:35:00,28,Meizhou Hakka,Zhejiang FC,3.5,2.3,2.75,3.65,3.45,2.16,1.3,3.4,1.04,15.25,1.22,4.45,1.88,2.01,1.53,2.38,1.65,1.17,1.22,1.77,1.69,1.39,1.59,2.98,2.1,8.0,1.91,1.3,3.3,1.53,2.4,1.9,1.91,2.44,1.52,3.3,1.31
Uruguay Primera División,2023-10-19,12:00:00,6,Racing,Fénix,3.1,1.91,3.7,2.41,3.05,3.0,1.53,2.38,1.09,6.5,1.44,2.65,2.35,1.55,1.9,1.75,1.36,1.3,1.55,1.0,0.86,1.25,1.39,2.64,1.95,8.0,2.1,1.29,3.3,1.53,2.33,2.0,1.8,2.5,1.47,3.1,1.32
Romania Liga I,2023-10-19,14:00:00,7,CSM Iaşi,Sepsi,4.0,2.05,3.0,3.0,3.1,2.36,1.5,2.5,1.08,7.6,1.37,2.99,2.25,1.6,1.91,1.8,1.67,1.33,1.33,0.5,0.67,1.49,1.14,2.63,2.6,6.75,1.78,1.58,2.28,2.05,1.72,2.8,1.4,4.0,1.22,0.0,0.0
Uruguay Primera División,2023-10-19,14:30:00,6,Deportivo Maldonado,River Plate,2.9,2.0,3.6,2.23,3.2,3.15,1.48,2.5,1.07,7.5,1.38,2.9,2.15,1.65,1.9,1.85,1.28,1.28,1.6,1.5,1.07,1.42,1.07,2.49,1.8,8.0,2.38,1.29,3.3,1.54,2.32,2.0,1.72,2.65,1.42,3.18,1.29
Argentina Primera División,2023-10-19,16:00:00,9,Gimnasia La Plata,Argentinos Juniors,3.75,1.95,3.4,2.88,3.1,2.6,1.53,2.38,1.07,7.61,1.45,2.66,2.4,1.53,2.0,1.73,1.53,1.3,1.42,1.53,1.11,1.53,1.45,2.98,1.95,7.5,2.1,1.31,3.15,1.63,2.13,2.07,1.67,2.77,1.39,4.1,1.22
Argentina Primera División,2023-10-19,17:00:00,9,Godoy Cruz,San Lorenzo,3.4,1.91,4.0,2.4,3.0,3.1,1.62,2.2,1.12,5.96,1.6,2.27,2.7,1.44,2.2,1.62,1.36,1.33,1.55,2.0,1.35,1.64,1.18,2.82,1.69,7.5,2.64,1.37,2.85,1.72,2.0,2.22,1.59,3.0,1.34,4.4,1.19
Uruguay Primera División,2023-10-19,17:00:00,6,Cerro,Danubio,3.75,2.0,3.2,2.95,3.1,2.38,1.5,2.5,1.07,7.5,1.42,2.75,2.25,1.6,1.91,1.8,1.52,1.32,1.36,1.36,0.5,1.29,1.19,2.48,2.2,7.5,1.91,1.31,3.15,1.57,2.25,2.07,1.67,2.75,1.4,3.48,1.24
Argentina Primera División,2023-10-19,18:30:00,9,Colón,River Plate,4.0,2.25,2.5,3.8,3.6,1.95,1.36,3.0,1.04,12.0,1.27,3.58,1.8,2.0,1.67,2.1,1.83,1.25,1.3,1.44,1.61,1.53,1.65,3.18,2.52,8.0,1.75,1.22,4.0,1.41,2.75,1.73,2.04,2.18,1.62,3.0,1.36
Brazil Serie A,2023-10-19,19:00:00,27,Cruzeiro,Flamengo,3.6,2.05,3.1,3.04,3.04,2.18,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.62,1.91,1.91,0.0,0.0,0.0,1.08,1.57,1.68,1.44,3.12,1.82,8.5,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie A,2023-10-19,19:00:00,27,Palmeiras,Atlético Mineiro,2.63,2.0,4.75,1.76,3.2,4.27,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.62,2.0,1.75,0.0,0.0,0.0,2.17,1.46,1.93,1.35,3.28,1.56,8.5,2.85,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0
Brazil Serie B,2023-10-19,19:00:00,33,Tombense,Vila Nova,3.4,1.9,3.4,2.65,2.85,2.85,1.54,2.34,1.11,6.0,1.57,2.4,2.4,1.5,2.0,1.75,1.45,1.3,1.45,1.19,1.31,1.65,1.47,3.12,2.0,7.5,2.15,0.0,0.0,1.26,3.4,1.47,2.37,1.88,1.93,2.37,1.49
Brazil Serie B,2023-10-19,19:00:00,33,Atlético GO,ABC,1.98,2.15,6.75,1.43,4.1,8.0,1.44,2.6,1.07,8.5,1.4,3.0,2.15,1.65,2.4,1.49,1.09,1.21,2.7,2.06,0.56,1.69,1.03,2.72,1.29,9.0,4.75,1.18,4.2,1.35,2.8,1.63,2.05,2.1,1.62,2.8,1.36
Paraguay Division Profesional,2023-10-19,19:30:00,15,Sportivo Luqueño,General Caballero JLM,0.0,0.0,0.0,1.89,3.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2.01,1.78,0.0,0.0,0.0,0.0,0.0,1.39,1.06,1.53,1.08,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie A,2023-10-19,20:00:00,27,Santos,Bragantino,3.75,2.05,3.1,2.71,3.1,2.36,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.62,1.91,1.91,0.0,0.0,0.0,1.54,1.38,1.52,1.64,3.16,2.08,8.5,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay Primera División,2023-10-19,20:15:00,6,Boston River,Nacional,4.6,2.1,2.35,4.5,3.5,1.75,1.39,2.75,1.06,8.75,1.3,3.2,1.94,1.84,1.85,1.83,2.0,1.27,1.2,1.29,1.21,1.53,1.62,3.15,2.5,8.0,1.73,1.25,3.42,1.56,2.27,1.96,1.75,2.6,1.44,3.18,1.29
Argentina Primera División,2023-10-19,20:45:00,9,Rosario Central,Vélez Sarsfield,3.25,1.91,4.0,2.5,3.1,3.1,1.57,2.25,1.09,6.83,1.54,2.5,2.6,1.48,2.1,1.67,1.38,1.33,1.53,2.26,0.59,1.58,1.09,2.67,1.95,7.5,2.1,1.28,3.35,1.59,2.22,1.99,1.73,2.75,1.42,3.85,1.24
Argentina Primera División,2023-10-19,21:00:00,9,Sarmiento,Racing Club,3.75,2.0,3.2,3.0,3.3,2.4,1.5,2.5,1.08,7.0,1.4,2.75,2.25,1.62,1.91,1.8,1.46,1.32,1.36,1.41,1.12,1.37,1.37,2.74,2.54,8.0,1.69,1.25,3.4,1.49,2.37,2.0,1.8,2.45,1.46,3.4,1.25
Brazil Serie A,2023-10-19,21:30:00,27,Fluminense,Corinthians,2.25,2.1,6.0,1.57,3.48,5.21,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.62,2.1,1.67,0.0,0.0,0.0,2.36,0.69,1.8,1.04,2.84,1.38,10.0,3.65,0.0,0.0,0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0
