League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
South Korea K League 2,2023-07-18,07:00:00,22,Bucheon 1995,Cheongju,1.94,3.35,3.82,1.07,7.5,1.36,3.0,2.05,1.67,1.43,2.65,1.95,1.8,1.18,1.22,1.9,1.78,1.11,1.36,1.19,2.55,1.51,7.8,3.05,1.49,1.82,2.25,3.08,0.0
South Korea K League 2,2023-07-18,07:00:00,22,Seoul E-Land,Gimpo Citizen,2.57,3.1,2.75,1.07,7.5,1.36,3.0,2.05,1.67,1.43,2.65,1.85,1.9,1.25,1.25,1.68,1.0,2.0,1.22,1.34,2.56,1.66,7.3,2.64,1.62,2.01,2.55,3.56,0.0
South Korea K League 2,2023-07-18,07:30:00,22,Anyang,Cheonan City,1.25,8.17,5.32,1.04,10.0,1.22,4.0,1.67,2.0,1.3,3.4,2.25,1.6,1.02,1.1,3.3,1.56,0.11,1.61,1.26,2.87,1.2,7.75,5.5,1.34,1.69,2.09,2.71,3.74
Europe UEFA Champions League,2023-07-18,12:00:00,0,Struga,Žalgiris,3.54,3.08,2.22,1.08,6.05,1.44,2.4,2.67,1.44,1.59,2.28,2.19,1.63,1.6,1.37,1.33,1.0,1.0,0.0,0.0,0.0,4.97,11.0,1.25,1.16,1.31,1.53,1.87,2.37
Europe UEFA Champions League,2023-07-18,14:00:00,0,Maccabi Haifa,Hamrun Spartans,1.14,7.9,17.5,1.02,13.0,1.12,5.0,1.47,2.57,1.25,3.72,2.7,1.44,1.01,1.06,6.35,3.0,0.0,0.0,0.0,0.0,1.27,8.9,5.27,1.28,1.5,1.87,2.3,3.05
Europe UEFA Champions League,2023-07-18,14:00:00,0,Sheriff,SSC Farul,1.84,3.38,4.6,1.06,6.7,1.44,2.53,2.25,1.53,1.53,2.41,2.16,1.66,1.21,1.33,1.89,0.0,3.0,0.0,0.0,0.0,2.15,7.0,2.15,1.28,1.5,1.5,1.87,2.5
Europe UEFA Champions League,2023-07-18,14:00:00,0,Tallinna FC Flora,Raków Częstochowa,5.3,3.75,1.66,1.06,8.0,1.3,3.4,1.91,1.85,1.4,2.75,1.85,1.85,2.1,1.25,1.17,0.0,3.0,0.0,0.0,0.0,2.0,6.6,2.24,1.32,1.6,1.97,2.5,3.35
Europe UEFA Champions League,2023-07-18,15:00:00,0,The New Saints,Häcken,5.7,4.1,1.55,1.01,10.0,1.2,3.95,1.73,2.13,1.32,3.22,1.8,1.96,2.48,1.22,1.13,0.0,3.0,0.0,0.0,0.0,4.04,11.0,1.34,1.15,1.27,1.5,1.95,2.34
Europe UEFA Champions League,2023-07-18,15:00:00,0,Zrinjski,Banants,1.48,4.1,7.3,1.03,8.0,1.34,2.93,2.15,1.6,1.44,2.68,2.21,1.62,1.1,1.24,2.51,3.0,0.0,0.0,0.0,0.0,1.59,7.2,3.11,1.3,1.5,1.9,2.35,3.15
Europe UEFA Champions League,2023-07-18,15:00:00,0,BATE,Partizani Tirana,2.56,3.12,2.88,1.1,6.5,1.4,2.8,2.2,1.53,1.47,2.5,1.9,1.83,1.36,1.25,1.53,1.0,1.0,0.0,0.0,0.0,1.84,8.9,2.33,1.27,1.52,2.0,2.46,3.34
Europe UEFA Champions League,2023-07-18,16:15:00,0,Breidablik,Shamrock Rovers,2.15,3.45,3.3,1.06,8.0,1.33,3.2,1.92,1.82,1.4,2.75,1.8,1.95,1.33,1.25,1.62,3.0,0.0,0.0,0.0,0.0,1.9,7.3,2.35,1.21,1.39,1.65,2.06,2.65
Iceland Úrvalsdeild,2023-07-18,17:00:00,15,Fylkir,HK,2.12,3.92,3.02,1.02,12.0,1.15,4.75,1.43,2.62,1.25,3.75,1.4,2.85,1.4,1.25,1.57,1.25,1.29,1.34,1.45,2.79,1.92,7.2,2.45,1.12,1.22,1.37,1.63,1.96
Iceland Úrvalsdeild,2023-07-18,17:00:00,15,KR,FH,2.12,6.9,2.03,1.03,9.0,1.15,4.7,1.57,2.15,1.29,3.5,1.53,2.38,1.25,1.2,1.72,1.67,0.71,1.46,1.43,2.89,1.64,9.9,2.61,0.0,1.19,1.36,1.64,2.06
Brazil Serie B,2023-07-18,18:00:00,18,Tombense,CRB,2.3,3.0,3.3,1.08,7.75,1.45,2.65,2.35,1.55,1.52,2.39,2.0,1.75,1.28,1.3,1.62,0.89,1.13,1.82,1.31,3.13,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0
Brazil Serie B,2023-07-18,19:00:00,18,Chapecoense,Ituano,1.95,3.25,4.2,1.1,6.5,1.45,2.6,2.3,1.5,1.52,2.35,2.05,1.68,1.25,1.35,1.7,1.11,0.89,1.52,1.3,2.82,1.38,8.0,4.0,1.25,1.43,1.88,2.1,2.6
Brazil Serie B,2023-07-18,21:30:00,18,Ponte Preta,Juventude,2.56,3.05,2.95,1.09,7.4,1.49,2.48,2.37,1.5,1.53,2.3,2.05,1.7,1.42,1.32,1.42,1.44,1.44,1.59,1.33,2.92,1.7,7.0,2.7,1.14,1.24,1.46,1.8,2.25
