League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Europe UEFA Champions League,2023-08-01,14:30:00,0,Panathinaikos,Dnipro-1,1.52,3.92,4.75,1.0,10.25,1.22,3.72,1.8,2.0,1.34,3.1,1.83,1.93,1.11,1.22,2.45,3.0,0.0,0.0,0.0,0.0,1.5,7.5,3.3,1.4,1.74,2.3,2.98,4.5
Europe UEFA Champions League,2023-08-01,15:00:00,0,BATE,Aris,3.55,3.4,1.81,0.0,0.0,0.0,0.0,1.85,1.75,1.4,2.75,1.83,1.83,0.0,0.0,0.0,1.33,3.0,0.65,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe UEFA Champions League,2023-08-01,15:00:00,0,Olimpija,Ludogorets,3.13,3.28,2.0,1.03,8.3,1.32,3.04,1.95,1.65,1.41,2.7,1.83,1.9,1.63,1.25,1.36,2.33,1.33,2.56,1.79,4.35,1.95,8.0,2.05,1.38,1.65,2.05,2.7,3.75
Europe UEFA Champions League,2023-08-01,15:30:00,0,Slovan Bratislava,Zrinjski,1.86,3.15,3.7,1.05,7.0,1.42,2.61,2.38,1.54,1.51,2.46,2.09,1.71,1.16,1.35,1.9,2.33,1.0,0.98,1.12,2.1,1.6,7.0,3.0,1.47,1.8,2.3,3.0,3.4
Peru Primera División,2023-08-01,17:00:00,6,Deportivo Municipal,ADT,2.33,3.35,2.55,1.05,11.0,1.3,3.4,1.92,1.88,1.42,2.9,1.72,2.05,1.4,1.28,1.57,1.18,0.91,1.41,1.41,2.82,1.8,8.5,2.3,1.16,1.29,1.52,1.87,2.4
Brazil Serie B,2023-08-01,19:00:00,21,Sampaio Corrêa,Botafogo SP,2.13,2.89,3.8,1.1,6.9,1.51,2.38,2.56,1.45,1.58,2.2,2.2,1.62,1.27,1.32,1.62,1.3,1.56,1.8,1.22,3.02,1.6,7.0,3.0,1.17,1.28,1.61,1.95,2.41
Brazil Serie B,2023-08-01,19:00:00,21,Mirassol,Avaí,1.64,3.55,5.2,1.08,8.4,1.41,2.71,2.25,1.57,1.48,2.45,2.25,1.58,1.13,1.24,2.2,2.0,0.89,1.79,1.1,2.89,1.4,8.0,3.8,1.18,1.3,1.6,1.93,2.4
South America Copa Libertadores,2023-08-01,19:00:00,0,Argentinos Juniors,Fluminense,2.33,3.01,2.85,1.06,8.09,1.42,2.79,2.11,1.65,1.47,2.53,1.93,1.75,1.3,1.4,1.55,1.83,1.67,1.76,1.46,3.22,1.43,6.0,3.1,1.17,1.36,1.66,2.02,2.48
South America Copa Libertadores,2023-08-01,21:00:00,0,Bolívar,Atlético PR,1.8,3.45,3.75,1.05,11.0,1.3,3.4,1.92,1.78,1.4,2.75,1.8,1.95,1.22,1.22,2.0,2.0,2.17,2.09,1.33,3.42,1.3,6.5,3.95,1.24,1.53,1.85,2.28,3.14
South America Copa Libertadores,2023-08-01,21:00:00,0,River Plate,Internacional,1.47,3.93,5.6,1.04,10.5,1.3,3.5,1.96,1.74,1.4,2.75,2.05,1.7,1.12,1.25,2.6,1.67,2.0,1.95,1.45,3.4,1.26,11.25,4.75,1.22,1.44,1.78,2.2,2.98
Brazil Serie B,2023-08-01,21:30:00,21,CRB,Atlético GO,2.35,3.2,2.9,1.08,7.0,1.4,2.75,2.19,1.6,1.5,2.5,1.91,1.8,1.3,1.28,1.57,1.67,0.89,1.52,1.31,2.83,1.75,7.5,2.5,1.15,1.29,1.55,1.85,2.25
Colombia Categoria Primera B,2023-08-01,21:30:00,2,Leones,Deportes Quindío,2.11,3.2,2.99,1.07,7.5,1.36,3.0,2.06,1.68,1.4,2.75,1.85,1.85,1.22,1.25,1.66,1.0,0.91,1.68,1.17,2.85,1.68,7.6,2.56,0.0,0.0,1.44,1.75,2.21
