League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Peru Primera División,2023-04-30 21:00:00,14,Carlos Manucci,Unión Comercio,1.76,3.45,4.0,1.02,10.25,1.31,3.5,1.8,1.8,1.4,2.75,1.83,1.83,1.26,1.3,1.93,2.2,0.43,1.43,1.16,2.59,1.62,8.5,2.63,1.15,1.31,1.48,1.82,2.29
Canada Canadian Premier League,2023-04-30 21:00:00,3,Pacific FC,Forge FC,2.72,3.0,2.38,1.07,8.75,1.38,2.81,1.91,1.67,1.5,2.5,2.1,1.67,1.49,1.34,1.41,1.33,3.0,2.01,0.0,2.01,0.0,0.0,0.0,1.4,1.73,2.25,3.1,0.0
Chile Primera División,2023-04-30 21:30:00,12,Copiapó,Coquimbo Unido,2.16,3.3,3.0,1.04,12.0,1.28,3.6,1.72,1.93,1.36,3.0,1.67,2.1,1.4,1.25,1.6,1.0,1.29,1.67,1.56,3.23,1.8,5.5,2.25,1.32,1.58,2.02,2.7,3.8
Chile Primera B,2023-04-30 21:30:00,10,Barnechea,San Luis,2.59,3.2,2.44,1.06,7.5,1.42,2.65,2.22,1.52,1.5,2.5,1.91,1.85,1.45,1.3,1.33,1.6,1.4,1.83,1.4,3.23,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
USA MLS,2023-04-30 22:00:00,0,Minnesota United,FC Dallas,2.34,3.55,2.63,1.01,9.7,1.25,3.6,1.74,1.94,1.36,3.0,1.67,2.1,1.38,1.32,1.65,0.75,1.0,1.22,1.46,2.68,1.68,6.0,2.5,1.21,1.44,1.77,2.19,2.63
Colombia Categoria Primera A,2023-04-30 22:30:00,17,Boyacá Chicó,Atlético Bucaramanga,1.65,3.35,5.3,1.08,8.5,1.42,2.65,2.21,1.57,1.47,2.6,2.18,1.65,1.16,1.32,2.18,2.33,0.78,1.57,1.26,2.83,1.46,7.6,3.64,1.33,1.57,1.96,2.55,3.4
Italy Serie B,2023-05-01 07:30:00,35,Como,Palermo,2.14,3.38,3.44,1.05,10.0,1.27,3.55,1.93,1.83,1.37,2.85,1.66,2.12,1.24,1.33,1.68,1.56,0.94,1.6,1.43,3.03,1.96,9.1,2.11,1.25,1.47,1.83,2.38,3.25
China Chinese Super League,2023-05-01 08:35:00,4,Dalian Yifang,Meizhou Hakka,2.28,3.46,3.11,1.04,12.0,1.25,3.74,1.92,1.82,1.36,3.0,1.67,2.1,1.39,1.31,1.59,1.67,1.0,1.13,1.11,2.24,1.74,5.5,2.35,1.32,1.65,2.04,2.72,3.64
England Championship,2023-05-01 09:00:00,45,Rotherham United,Middlesbrough,3.78,3.52,1.99,1.06,10.0,1.33,3.3,2.08,1.75,1.44,2.63,1.83,1.83,1.78,1.31,1.26,1.43,1.26,1.4,1.52,2.92,2.6,9.3,1.7,1.21,1.4,1.71,2.2,3.0
Romania Liga I,2023-05-01 09:00:00,6,Universitatea Cluj,Voluntari,2.23,3.2,3.4,1.1,6.5,1.42,2.75,2.48,1.52,1.5,2.4,2.0,1.75,1.2,1.25,1.8,1.58,1.22,1.86,1.29,3.15,1.67,8.5,2.72,1.48,1.88,2.46,3.34,5.3
