League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Brazil Serie C,2023-05-04 21:30:00,1,São Bernardo,Remo,5.48,1.59,3.37,1.06,7.5,1.4,2.75,2.29,1.55,1.52,2.4,2.05,1.68,1.23,1.25,1.65,0.0,0.0,0.0,0.0,0.0,1.53,9.0,2.83,0.0,1.47,1.8,2.34,0.0
Brazil Serie C,2023-05-04 21:30:00,1,Altos,Figueirense,7.19,1.7,2.61,1.09,7.35,1.45,2.57,2.35,1.53,1.55,2.3,2.0,1.72,1.33,1.33,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,1.83,2.34,0.0
Colombia Categoria Primera A,2023-05-04 22:15:00,14,Atlético Nacional,América de Cali,1.98,3.0,4.3,1.09,7.0,1.49,2.5,2.05,1.75,1.51,2.6,2.0,1.71,1.23,1.33,1.78,1.63,1.14,1.42,1.36,2.78,1.69,8.0,2.63,1.4,1.71,2.11,2.85,4.0
Mexico Ascenso MX,2023-05-05 00:05:00,0,Cimarrones de Sonora,Morelia,1.87,3.62,4.03,1.02,13.0,1.25,3.75,1.93,1.87,1.35,3.17,1.65,2.18,1.24,1.25,1.86,1.62,1.62,1.41,1.14,2.55,1.72,6.6,2.73,1.36,1.65,2.04,2.65,3.6
South Korea K League 1,2023-05-05 02:00:00,11,FC Seoul,Jeonbuk Motors,2.2,3.1,3.3,1.07,7.5,1.33,3.1,2.1,1.7,1.47,2.78,1.8,1.95,1.42,1.28,1.52,2.25,0.75,1.63,1.53,3.16,1.64,8.0,2.77,1.38,1.73,2.13,2.88,4.1
South Korea K League 1,2023-05-05 02:00:00,11,Daegu,Ulsan,4.0,3.3,1.95,1.06,8.0,1.3,3.3,2.1,1.7,1.39,2.8,1.8,1.95,1.75,1.22,1.2,1.75,2.4,1.42,1.54,2.96,2.66,7.5,1.69,1.33,1.85,2.08,2.76,3.74
South Korea K League 1,2023-05-05 04:30:00,11,Incheon United,Suwon Bluewings,1.67,3.5,5.0,1.06,8.0,1.33,3.1,1.9,1.83,1.41,2.7,1.8,1.95,1.25,1.25,1.68,1.2,0.2,1.66,1.47,3.13,1.82,7.5,2.42,1.39,1.85,2.16,2.93,4.14
Australia A-League,2023-05-05 06:45:00,0,Adelaide United,Wellington Phoenix,1.8,4.0,3.9,1.02,19.0,1.14,5.5,1.42,2.8,1.25,3.75,1.44,2.63,1.25,1.24,1.95,1.62,1.35,1.69,1.51,3.2,1.6,10.5,2.73,1.08,1.18,1.37,1.64,1.97
China Chinese Super League,2023-05-05 08:35:00,5,Henan Jianye,Beijing Guoan,4.5,3.6,1.73,1.07,7.5,1.36,3.0,1.95,1.8,1.41,2.7,1.91,1.85,1.98,1.29,1.2,1.0,0.5,0.89,2.02,2.91,3.0,8.0,1.5,1.43,1.88,2.45,3.4,4.9
China Chinese Super League,2023-05-05 08:35:00,5,Shanghai Shenhua,Dalian Yifang,1.55,3.8,6.0,1.1,6.5,1.4,2.75,2.2,1.62,1.45,2.55,2.25,1.61,1.13,1.28,2.25,3.0,0.0,0.96,1.38,2.34,1.62,8.0,2.75,1.37,1.72,2.2,3.0,4.3
