League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
USA MLS,2023-06-22,00:07:00,0,Austin,FC Dallas,2.0,3.4,3.7,1.04,10.5,1.25,3.65,1.97,1.74,1.3,3.0,1.74,2.05,1.3,1.3,1.81,1.5,0.9,1.5,1.31,2.81,1.53,7.5,3.05,1.24,1.45,1.83,2.33,3.2
Egypt Egyptian Premier League,2023-06-22,15:30:00,16,Haras El Hodood,Al Ahly,10.5,5.3,1.23,1.01,8.8,1.3,3.3,1.8,2.0,1.38,2.99,2.2,1.6,3.0,1.15,1.03,0.93,2.8,1.06,1.94,3.0,4.55,10.25,1.27,1.33,1.61,2.06,2.71,3.74
Venezuela Primera División,2023-06-22,16:00:00,16,Estudiantes Mérida,Carabobo,2.31,3.1,2.55,1.04,7.8,1.35,2.84,2.15,1.57,1.46,2.6,1.83,1.93,1.33,1.31,1.5,1.0,1.33,1.66,1.61,3.27,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0
Argentina Primera División,2023-06-22,17:00:00,21,Tigre,Vélez Sarsfield,2.2,3.1,3.5,1.1,7.0,1.53,2.55,2.6,1.47,1.53,2.3,2.15,1.61,1.31,1.35,1.61,1.33,0.56,1.68,1.1,2.78,1.75,7.5,2.45,1.36,1.67,2.15,2.95,4.1
Peru Primera División,2023-06-22,17:00:00,1,Academia Cantolao,Sporting Cristal,6.1,4.35,1.41,1.03,13.0,1.28,3.6,1.8,1.8,1.38,2.91,2.08,1.71,2.67,1.18,1.07,0.89,1.56,1.26,1.41,2.67,4.0,10.0,1.3,1.18,1.3,1.53,1.96,2.52
Argentina Primera División,2023-06-22,18:00:00,21,Racing Club,Barracas Central,1.72,3.6,5.0,1.06,9.5,1.36,3.1,2.1,1.72,1.42,2.65,2.0,1.75,1.17,1.22,2.15,1.7,0.78,1.66,1.19,2.85,1.41,9.0,3.58,1.29,1.53,1.98,2.55,3.5
Brazil Serie A,2023-06-22,19:00:00,11,Grêmio,América Mineiro,1.64,4.05,5.1,1.01,11.0,1.22,3.7,1.96,1.92,1.36,3.0,1.91,1.91,1.18,1.2,2.2,2.2,0.25,1.79,1.42,3.21,1.47,8.5,3.2,1.13,1.25,1.83,1.76,2.18
Argentina Primera División,2023-06-22,19:45:00,21,River Plate,Instituto,1.25,5.3,10.0,1.03,12.0,1.2,3.9,1.7,2.0,1.32,3.1,2.1,1.65,1.04,1.15,3.0,2.67,0.78,1.73,1.27,3.0,1.21,10.0,5.23,1.27,1.5,1.9,2.45,3.4
Brazil Serie A,2023-06-22,20:00:00,11,Coritiba,Internacional,3.05,3.25,2.42,1.09,7.5,1.45,2.75,2.2,1.68,1.53,2.38,2.05,1.7,1.52,1.35,1.37,0.6,0.4,1.74,1.52,3.26,1.84,8.0,2.23,1.19,1.29,1.52,1.87,2.33
Brazil Serie A,2023-06-22,20:00:00,11,Cuiabá,Botafogo,2.97,3.2,2.51,1.09,8.0,1.42,2.8,2.18,1.68,1.5,2.5,1.95,1.8,1.53,1.35,1.37,0.5,1.5,1.37,1.3,2.67,2.06,7.5,2.0,1.24,1.46,2.1,2.23,2.9
Peru Primera División,2023-06-22,20:00:00,1,Melgar,ADT,1.46,4.15,5.8,1.03,13.0,1.28,3.6,1.88,1.92,1.36,2.99,2.09,1.71,1.09,1.16,2.35,1.89,0.78,1.68,1.49,3.17,1.29,10.0,4.33,1.17,1.29,1.51,1.9,2.45
Brazil Serie A,2023-06-22,20:00:00,11,Vasco da Gama,Goiás,1.82,3.6,4.5,1.06,9.5,1.36,3.1,2.04,1.78,1.44,2.63,2.0,1.75,1.2,1.25,2.0,0.25,0.2,1.97,1.53,3.5,1.48,8.5,3.15,1.11,1.28,1.5,1.84,2.28
Peru Primera División,2023-06-22,21:00:00,1,Cienciano,Universitario,2.02,3.35,3.25,1.04,12.0,1.3,3.5,1.8,1.8,1.38,2.91,1.7,2.1,1.45,1.28,1.45,2.0,1.11,1.47,1.31,2.78,2.15,6.5,2.15,0.0,1.47,1.8,2.2,3.05
Brazil Serie B,2023-06-22,21:30:00,13,Sport Recife,Juventude,1.62,3.65,5.3,1.07,7.5,1.38,2.9,2.18,1.62,1.44,2.63,2.2,1.62,1.14,1.25,2.25,3.0,1.5,1.62,1.44,3.06,1.3,9.0,4.5,1.14,1.27,1.49,1.85,2.4
Brazil Serie A,2023-06-22,21:30:00,11,Bragantino,Flamengo,3.25,3.5,2.19,1.04,12.0,1.28,3.6,1.97,1.91,1.4,2.75,1.62,2.2,1.63,1.3,1.35,2.0,1.5,1.85,1.61,3.46,1.9,8.0,2.15,1.19,1.3,1.54,1.9,2.38
Argentina Primera División,2023-06-22,21:45:00,21,Godoy Cruz,Boca Juniors,2.7,3.0,2.8,1.11,6.0,1.5,2.5,2.5,1.5,1.53,2.38,2.1,1.68,1.45,1.33,1.47,2.0,1.11,1.58,1.16,2.74,1.85,7.5,2.29,1.36,1.66,2.12,2.88,4.1
