League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Japan J2 League,2023-09-10,06:00:00,34,Roasso Kumamoto,Fujieda MYFC,2.19,3.5,2.95,1.03,11.0,1.18,4.5,2.03,1.83,1.3,3.4,1.53,2.38,1.28,1.23,1.6,0.83,1.33,1.5,1.47,2.97,1.69,8.0,2.54,1.25,1.58,2.01,2.65,3.25
Japan J2 League,2023-09-10,07:00:00,34,Tokushima Vortis,Iwaki,2.49,3.25,2.68,1.06,7.2,1.27,3.4,2.03,1.83,1.4,2.75,1.8,1.91,1.49,1.31,1.35,1.29,1.12,1.15,1.37,2.52,2.33,8.0,1.82,1.3,1.49,1.9,2.41,3.75
Uruguay Primera División,2023-09-10,10:00:00,4,Cerro,River Plate,2.5,2.87,2.7,1.1,6.5,1.44,2.62,2.35,1.53,1.53,2.53,2.05,1.68,1.41,1.34,1.5,1.23,1.15,1.27,1.04,2.31,1.8,8.0,2.3,1.23,1.44,1.98,2.27,3.04
Spain Segunda División,2023-09-10,11:15:00,5,Racing Club de Ferrol,Villarreal II,2.3,2.87,3.25,1.07,6.7,1.5,2.3,2.4,1.57,1.53,2.41,2.13,1.67,1.25,1.34,1.78,2.0,0.33,1.32,1.02,2.34,1.69,8.0,2.65,1.34,1.62,2.1,2.87,3.92
Spain Segunda División,2023-09-10,11:15:00,5,Racing Santander,SD Amorebieta,1.91,3.1,4.2,1.05,7.5,1.37,2.8,2.35,1.5,1.53,2.38,2.11,1.71,1.11,1.32,1.97,2.33,0.33,1.34,1.16,2.5,1.45,8.5,3.29,1.26,1.5,2.0,2.5,3.5
Uruguay Primera División,2023-09-10,12:30:00,4,Boston River,Deportivo Maldonado,2.3,3.1,2.8,1.06,8.0,1.33,3.25,1.95,1.75,1.42,2.9,1.77,1.93,1.39,1.3,1.57,1.15,0.86,1.52,1.27,2.79,1.73,8.0,2.5,1.34,1.62,2.08,2.75,3.86
Spain Segunda División,2023-09-10,13:30:00,5,FC Cartagena,Real Zaragoza,2.9,2.9,2.45,1.1,7.0,1.52,2.4,2.3,1.5,1.52,2.39,2.0,1.75,1.5,1.4,1.27,0.0,3.0,1.31,1.08,2.39,2.1,8.7,1.99,1.28,1.53,1.92,2.49,3.34
Spain Segunda División,2023-09-10,13:30:00,5,Mirandés,FC Andorra,3.0,3.0,2.37,1.07,8.5,1.42,2.75,2.2,1.53,1.51,2.4,1.95,1.8,1.55,1.33,1.35,1.5,1.5,1.16,1.58,2.74,2.21,8.3,1.92,1.4,1.74,2.21,2.98,4.25
Uruguay Primera División,2023-09-10,15:30:00,4,Plaza Colonia,Danubio,3.92,3.51,1.89,1.08,7.0,1.4,2.75,2.02,1.74,1.47,2.57,1.9,1.86,1.58,1.31,1.32,1.08,0.54,1.32,1.1,2.42,2.5,8.0,1.73,1.34,1.62,2.08,2.75,3.86
Brazil Serie B,2023-09-10,15:45:00,27,Atlético GO,Juventude,1.95,3.0,3.9,1.1,7.0,1.48,2.48,2.25,1.53,1.57,2.25,2.2,1.62,1.23,1.3,1.62,1.85,1.77,1.69,1.21,2.9,1.45,8.0,3.5,1.16,1.25,1.46,1.83,2.3
Brazil Serie C,2023-09-10,16:00:00,2,Operário PR,EC São José,1.7,3.1,4.8,0.0,0.0,1.56,2.29,2.3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,1.87,1.19,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain Segunda División,2023-09-10,16:00:00,5,Real Valladolid,Elche CF,2.15,3.0,3.4,1.05,7.0,1.42,2.61,2.25,1.53,1.51,2.46,2.02,1.74,1.3,1.34,1.69,1.5,0.0,1.6,1.3,2.9,1.79,9.1,2.4,1.21,1.42,1.75,2.19,2.91
Paraguay Division Profesional,2023-09-10,17:30:00,10,Sportivo Luqueño,Tacuary,1.96,3.2,3.35,0.0,0.0,0.0,0.0,2.09,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.75,1.48,1.22,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie B,2023-09-10,18:00:00,27,CRB,Vitória,2.4,2.8,3.0,1.11,6.0,1.5,2.35,2.55,1.47,1.57,2.25,2.2,1.62,1.3,1.32,1.5,1.77,1.38,1.48,1.26,2.74,1.73,7.5,2.63,1.23,1.44,1.88,2.35,3.2
Uruguay Primera División,2023-09-10,18:30:00,4,Racing,Nacional,4.34,3.72,1.76,1.07,7.5,1.33,3.25,1.88,1.87,1.4,2.75,1.91,1.8,1.95,1.29,1.2,1.08,1.08,1.24,1.61,2.85,2.5,8.0,1.73,1.26,1.48,1.95,2.38,3.2
Brazil Serie C,2023-09-10,19:00:00,2,Volta Redonda,Botafogo PB,1.95,3.0,3.75,1.06,6.55,1.43,2.54,2.25,1.53,1.53,2.34,2.04,1.74,1.22,1.32,1.72,2.3,1.56,1.87,1.44,3.31,1.5,7.5,3.3,0.0,1.34,1.65,2.03,2.5
Paraguay Division Profesional,2023-09-10,20:00:00,10,Cerro Porteño,Nacional Asunción,1.73,3.4,4.2,0.0,0.0,0.0,0.0,1.75,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.38,1.48,1.18,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA MLS,2023-09-10,21:00:00,0,LA Galaxy,St. Louis City,1.87,3.7,3.5,1.04,10.0,1.14,5.5,1.55,2.3,1.25,3.75,1.44,2.63,1.29,1.23,1.87,1.5,1.23,1.75,1.32,3.07,1.66,8.0,2.6,1.2,1.39,1.7,2.2,3.0
