League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre
Egypt Egyptian Premier League,2023-10-05,10:00:00,3,Masr,Baladiyyat Al Mehalla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.91,1.64,3.55
Egypt Egyptian Premier League,2023-10-05,13:00:00,3,Smouha SC,Al Mokawloon,2.89,1.97,3.98,2.32,2.94,2.72,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1.57,1.95,1.76,1.32,1.32,1.6,1.0,1.0,1.49,1.25,2.74
Romania Liga I,2023-10-05,14:00:00,5,CFR Cluj,Sepsi,2.8,1.98,4.33,2.05,2.91,3.35,1.51,2.46,1.05,6.95,1.41,2.6,2.32,1.43,2.04,1.73,1.29,1.33,1.69,2.6,1.0,1.62,1.18,2.8
Spain Segunda División,2023-10-05,14:00:00,9,FC Andorra,Real Zaragoza,2.82,1.96,4.56,2.29,2.92,3.1,1.53,2.38,1.11,6.0,1.53,2.5,2.53,1.42,2.1,1.67,1.28,1.34,1.69,1.75,2.0,1.28,1.13,2.41
Spain Segunda División,2023-10-05,14:00:00,9,Mirandés,SD Eibar,4.19,2.0,2.9,3.1,3.1,2.19,1.44,2.62,1.1,6.5,1.44,2.62,2.23,1.53,2.0,1.73,1.65,1.33,1.32,1.5,0.75,1.47,1.33,2.8
Spain Segunda División,2023-10-05,16:30:00,9,FC Cartagena,RCD Espanyol,4.5,2.05,2.37,4.15,3.45,1.76,1.41,2.65,1.06,9.0,1.35,3.25,1.95,1.7,1.9,1.78,1.95,1.29,1.21,0.0,1.75,1.43,1.49,2.92
Spain Segunda División,2023-10-05,16:30:00,9,Racing Club de Ferrol,SD Amorebieta,2.5,2.05,5.0,1.77,3.15,4.6,1.5,2.5,1.09,7.5,1.44,2.65,2.34,1.48,2.1,1.67,1.17,1.32,1.95,2.33,0.25,1.66,1.15,2.81
Brazil Serie B,2023-10-05,19:15:00,31,Chapecoense,ABC,2.3,1.95,5.5,1.73,3.15,4.85,1.5,2.5,1.11,6.0,1.5,2.5,2.41,1.46,2.3,1.57,1.12,1.3,2.1,1.0,0.53,1.48,1.01,2.49
Uruguay Primera División,2023-10-05,20:00:00,4,Racing,Nacional,4.5,2.05,2.4,5.05,3.4,1.59,1.4,2.75,1.07,7.5,1.33,3.25,1.91,1.67,1.91,1.8,1.95,1.29,1.2,1.08,1.08,1.24,1.61,2.85
