League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
China Chinese Super League,2023-09-22,08:35:00,26,Shanghai Shenhua,Shijiazhuang Ever Bright,1.52,4.34,6.36,1.05,13.25,1.26,3.87,1.77,1.87,1.36,3.1,1.88,1.82,1.15,1.23,2.45,1.83,1.0,1.47,1.22,2.69,1.5,8.5,3.2,1.37,1.72,2.22,3.0,4.1
China Chinese Super League,2023-09-22,08:35:00,26,Changchun Yatai,Beijing Guoan,2.89,3.68,2.33,1.03,15.75,1.21,4.52,1.59,2.13,1.33,3.25,1.57,2.25,1.5,1.27,1.4,1.83,1.33,1.44,1.37,2.81,2.75,8.0,1.62,1.43,1.88,2.37,3.35,4.6
Bulgaria First League,2023-09-22,09:00:00,10,Botev Vratsa,Beroe,2.0,3.0,3.1,1.08,7.0,1.5,2.45,2.29,1.55,1.5,2.5,2.0,1.73,1.28,1.28,1.53,0.75,0.8,1.18,1.07,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2023-09-22,11:00:00,8,Radnik Surdulica,Radnički Niš,2.47,3.2,2.75,1.07,7.5,1.33,3.1,2.15,1.62,1.46,2.55,1.8,1.95,1.36,1.28,1.5,1.33,0.0,1.12,1.37,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria First League,2023-09-22,11:30:00,10,CSKA 1948 Sofia,Cherno More,2.0,3.02,3.15,1.07,7.5,1.38,2.9,2.12,1.52,1.44,2.63,1.91,1.8,1.2,1.25,1.72,2.33,2.2,1.84,1.81,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania Liga I,2023-09-22,12:00:00,10,U Craiova 1948,Oţelul Galaţi,2.01,3.45,3.45,1.02,9.1,1.5,2.45,2.43,1.45,1.39,2.88,1.78,1.97,1.29,1.29,1.8,1.2,1.0,1.68,1.17,2.85,1.82,7.5,2.34,1.4,1.85,2.3,3.1,4.0
Finland Veikkausliiga,2023-09-22,12:00:00,2,KTP,Ilves,2.65,3.35,2.49,1.01,10.0,1.26,4.0,1.73,1.98,1.36,3.0,1.7,2.05,1.57,1.3,1.4,1.09,0.83,1.38,1.28,2.66,2.1,8.0,1.95,1.18,1.34,1.61,2.02,2.7
Finland Veikkausliiga,2023-09-22,12:00:00,2,Lahti,Oulu,2.29,3.2,3.0,1.02,9.2,1.27,3.32,1.85,1.85,1.39,2.88,1.71,2.06,1.45,1.31,1.53,1.17,1.55,1.32,1.31,2.63,1.69,8.0,2.63,1.27,1.5,1.85,2.45,3.4
Finland Veikkausliiga,2023-09-22,12:00:00,2,Honka,VPS,1.89,3.45,3.85,1.07,10.25,1.34,3.35,1.95,1.75,1.44,2.63,1.8,1.95,1.29,1.3,1.7,1.82,1.58,1.56,1.36,2.92,1.59,8.5,2.78,1.18,1.34,1.61,2.02,2.7
Finland Veikkausliiga,2023-09-22,12:30:00,2,Mariehamn,Haka,2.6,3.3,2.55,1.0,10.2,1.22,3.72,1.75,1.95,1.34,3.1,1.62,2.21,1.47,1.29,1.53,0.55,0.82,1.24,1.18,2.42,1.95,8.0,2.1,1.2,1.38,1.67,2.12,2.85
Slovenia PrvaLiga,2023-09-22,12:30:00,9,Domžale,Aluminij,1.67,4.0,4.33,1.03,11.0,1.18,4.5,1.7,2.0,1.29,3.5,1.68,2.1,1.1,1.16,2.35,0.33,1.0,1.55,1.28,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovakia Super Liga,2023-09-22,12:30:00,8,FK Košice,Trenčín,2.35,3.45,2.75,1.05,9.0,1.25,3.6,1.8,1.9,1.36,3.0,1.65,2.15,1.36,1.25,1.47,1.33,1.75,1.14,1.5,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2023-09-22,13:00:00,8,Spartak Subotica,Voždovac,2.3,3.25,2.95,1.07,7.5,1.36,2.95,2.0,1.7,1.48,2.5,1.83,1.9,1.3,1.28,1.55,2.25,1.33,1.33,1.39,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland Ekstraklasa,2023-09-22,13:00:00,9,Korona Kielce,Widzew Łódź,2.47,3.05,2.62,1.06,9.0,1.28,3.5,2.03,1.69,1.4,2.75,1.72,2.05,1.36,1.25,1.53,1.33,0.25,1.83,1.21,3.04,1.91,8.0,2.2,0.0,1.3,1.55,1.93,2.49
Croatia Prva HNL,2023-09-22,13:00:00,9,Osijek,Varaždin,1.57,4.2,5.0,1.01,9.7,1.2,4.2,1.66,2.15,1.3,3.25,1.7,2.1,1.11,1.18,2.3,2.0,1.0,1.91,1.47,3.38,1.33,9.7,4.2,1.38,1.7,2.16,2.88,3.2
Austria 2. Liga,2023-09-22,13:10:00,8,Amstetten,Lafnitz,2.7,3.4,2.2,1.02,10.0,1.18,4.5,1.57,2.25,1.28,3.4,1.53,2.38,1.5,1.2,1.47,0.33,0.0,1.3,1.12,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2023-09-22,13:10:00,8,Leoben,Floridsdorfer AC,2.6,3.6,2.45,1.0,10.5,1.25,3.75,1.62,2.2,1.33,3.05,1.62,2.2,1.53,1.22,1.42,1.5,0.67,1.46,1.58,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2023-09-22,13:10:00,8,SV Stripfing Weiden,Kapfenberger SV,1.88,3.75,3.5,1.02,10.0,1.17,4.25,1.56,2.18,1.29,3.4,1.67,2.1,1.23,1.24,1.84,2.0,1.0,1.48,1.28,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy Serie A,2023-09-22,13:30:00,5,Salernitana,Frosinone,2.45,3.25,2.84,1.06,9.0,1.36,3.1,2.0,1.72,1.44,2.63,1.91,1.91,1.32,1.37,1.57,0.5,1.0,1.37,1.2,2.57,1.82,7.0,2.33,1.37,1.67,2.1,2.75,3.7
