League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
South Korea K League 2,2023-09-20,07:00:00,32,Anyang,Gyeongnam,2.05,3.1,3.3,1.06,9.75,1.35,3.0,1.88,1.93,1.46,2.55,1.87,1.87,1.3,1.28,1.7,1.57,2.0,1.52,1.53,3.05,1.7,7.0,2.7,0.0,1.44,1.73,2.1,2.7
South Korea K League 2,2023-09-20,07:30:00,32,Asan Mugunghwa,Jeonnam Dragons,2.4,3.0,2.75,1.06,8.5,1.36,3.0,2.05,1.73,1.43,2.65,1.83,1.9,1.4,1.25,1.42,1.62,1.07,1.33,1.61,2.94,1.91,7.0,2.3,1.51,1.84,2.29,3.0,0.0
South Korea K League 2,2023-09-20,07:30:00,32,Cheonan City,Bucheon 1995,3.25,3.0,2.15,1.08,7.25,1.4,3.0,2.05,1.73,1.45,2.6,1.83,1.9,1.57,1.28,1.25,0.57,1.5,1.18,1.32,2.5,2.25,7.0,1.95,1.56,1.96,2.47,3.2,0.0
Egypt Egyptian Premier League,2023-09-20,10:00:00,1,El Daklyeh FC,ENPPI,2.55,2.85,2.8,1.06,6.5,1.4,2.64,2.3,1.57,0.0,0.0,1.93,1.83,1.41,1.39,1.47,0.0,0.0,0.0,0.0,0.0,1.75,8.5,2.4,0.0,1.69,2.08,0.0,0.0
Egypt Egyptian Premier League,2023-09-20,13:00:00,1,Al Mokawloon,Baladiyyat Al Mehalla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-09-20,13:00:00,1,Smouha SC,El Gounah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland Úrvalsdeild,2023-09-20,13:15:00,1,KA,Keflavík,1.48,4.0,4.5,1.02,13.0,1.15,4.75,1.45,2.6,1.25,3.75,1.53,2.38,1.15,1.2,2.38,1.73,0.55,1.51,1.04,2.55,1.64,8.0,2.77,0.0,1.95,0.0,0.0,0.0
Europe UEFA Champions League,2023-09-20,13:45:00,1,Real Madrid,Union Berlin,1.34,5.0,8.0,1.03,11.0,1.22,4.0,1.65,2.2,1.33,3.25,2.0,1.75,1.08,1.17,3.0,0.0,0.0,0.0,0.0,0.0,1.29,9.5,4.7,1.27,1.5,1.87,2.35,3.05
Europe UEFA Champions League,2023-09-20,13:45:00,1,Galatasaray,København,1.55,4.25,5.0,1.03,11.0,1.25,3.8,1.68,2.2,1.33,3.25,1.8,1.95,1.17,1.22,2.38,2.67,2.0,1.28,1.22,2.5,1.54,8.0,2.95,1.27,1.5,1.88,2.35,3.1
England Championship,2023-09-20,15:45:00,7,Watford,West Bromwich Albion,2.1,3.25,3.25,1.05,11.0,1.33,3.4,1.9,1.8,1.44,2.63,1.67,2.1,1.38,1.28,1.66,1.75,0.67,1.88,0.95,2.83,1.64,8.5,2.64,1.13,1.27,1.51,1.8,2.38
