League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
South Korea K League 1,2023-07-11,07:00:00,22,Daegu,Gangwon,2.1,3.15,3.55,1.07,8.5,1.35,2.9,2.25,1.57,1.45,2.55,1.88,1.85,1.27,1.32,1.65,1.6,0.73,1.42,1.18,2.6,1.99,8.1,2.14,1.54,1.92,2.4,3.34,4.9
South Korea K League 1,2023-07-11,07:30:00,22,Jeju United,Gwangju,2.24,3.15,3.25,1.05,10.5,1.28,3.3,1.97,1.83,1.4,2.75,1.72,2.0,1.38,1.3,1.55,1.2,1.2,1.68,1.41,3.09,1.76,8.1,2.49,1.64,2.08,2.72,3.84,5.65
China Chinese Super League,2023-07-11,08:35:00,16,Shandong Luneng,Shanghai Shenhua,1.53,4.1,6.4,1.05,13.0,1.32,3.32,1.99,1.82,1.35,3.05,1.85,1.85,1.14,1.25,2.4,2.33,2.29,1.8,1.38,3.18,1.21,7.0,5.25,1.34,1.69,2.09,2.76,3.74
China Chinese Super League,2023-07-11,08:35:00,16,Chengdu Better City FC,Henan Jianye,1.38,4.17,6.97,1.05,12.25,1.3,3.58,1.83,1.84,1.35,2.8,2.15,1.68,1.12,1.2,2.8,1.88,0.71,1.85,1.21,3.06,1.17,8.0,6.0,1.31,1.63,2.01,2.5,3.56
China Chinese Super League,2023-07-11,08:35:00,16,Shijiazhuang Ever Bright,Tianjin Teda,3.0,3.0,2.1,1.08,9.05,1.38,2.9,1.95,1.73,1.46,2.68,1.9,1.83,1.7,1.28,1.28,1.0,1.86,1.44,1.13,2.57,2.15,5.5,1.83,1.27,1.6,1.96,2.43,3.34
9543,2023-07-11,12:00:00,0,Banants,Zrinjski,2.05,3.38,3.71,1.04,7.6,1.36,2.82,2.2,1.61,1.47,2.58,1.91,1.83,1.33,1.33,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9543,2023-07-11,12:30:00,0,Lincoln Red Imps,Qarabağ,5.5,4.25,1.57,1.05,9.0,1.25,3.75,1.74,2.1,1.33,3.0,2.2,1.58,3.2,1.16,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9543,2023-07-11,13:00:00,0,Žalgiris,Struga,1.5,4.33,6.0,1.03,8.2,1.33,2.97,2.09,1.74,1.42,2.65,2.08,1.7,1.12,1.26,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-07-11,14:30:00,33,Smouha SC,ENPPI,2.35,3.2,3.15,1.1,6.0,1.45,2.65,2.3,1.55,1.5,2.48,2.08,1.71,1.3,1.38,1.58,0.94,1.19,1.39,1.1,2.49,1.76,8.5,2.38,1.34,1.68,2.14,2.78,3.9
9543,2023-07-11,15:00:00,0,Hamrun Spartans,Maccabi Haifa,4.89,4.11,1.49,1.04,10.0,1.2,4.2,1.64,2.16,1.3,3.25,1.83,1.9,2.55,1.15,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9543,2023-07-11,15:00:00,0,Olimpija,Valmiera / BSS,1.33,4.3,6.75,1.04,10.0,1.22,4.0,1.71,2.05,1.3,3.25,2.05,1.72,1.03,1.11,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9543,2023-07-11,15:00:00,0,Raków Częstochowa,Tallinna FC Flora,1.31,5.35,9.55,1.03,11.0,1.2,4.2,1.64,2.16,1.3,3.25,2.35,1.55,1.01,1.08,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9543,2023-07-11,15:45:00,0,Ballkani,Ludogorets,3.37,3.4,2.16,1.08,7.0,1.4,2.8,2.1,1.74,1.48,2.5,2.0,1.75,1.87,1.25,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9543,2023-07-11,15:45:00,0,KÍ,Ferencváros,3.9,3.64,1.91,1.04,10.0,1.22,4.0,1.91,1.89,1.33,3.05,1.9,1.83,2.8,1.15,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9543,2023-07-11,15:45:00,0,Partizani Tirana,BATE,5.75,4.25,1.55,1.03,8.4,1.3,3.3,1.81,2.0,1.41,2.7,1.75,2.0,1.57,1.28,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9543,2023-07-11,15:45:00,0,Shamrock Rovers,Breidablik,1.66,3.55,4.15,1.05,9.0,1.29,3.4,1.79,1.88,1.36,3.0,1.83,1.83,1.15,1.2,2.0,0.0,3.0,0.0,2.96,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Primera División,2023-07-11,18:45:00,24,Rosario Central,Central Córdoba SdE,2.0,3.1,3.4,1.06,8.09,1.43,2.75,2.3,1.6,1.5,2.5,2.0,1.75,1.27,1.33,1.7,2.33,1.09,1.65,1.21,2.86,1.59,8.0,2.8,1.29,1.53,1.98,2.55,3.5
Canada Canadian Premier League,2023-07-11,19:00:00,15,HFX Wanderers FC,Pacific FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,1.31,1.61,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Primera División,2023-07-11,20:00:00,24,Independiente,Newell's Old Boys,2.55,2.7,2.8,1.11,6.28,1.57,2.25,2.6,1.42,1.62,2.2,2.2,1.62,1.38,1.39,1.47,1.45,0.67,1.42,1.38,2.8,1.91,7.5,2.2,1.35,1.65,2.13,2.84,3.92
