League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Bulgaria First League,2023-11-02,13:00:00,3,Slavia Sofia,Ludogorets,8.0,2.3,1.91,7.96,4.29,1.38,1.4,2.75,1.02,9.1,1.27,3.28,1.93,1.83,2.25,1.57,2.97,1.19,1.06,1.0,1.67,1.32,2.16,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eredivisie,2023-11-02,16:00:00,3,Ajax,Volendam,1.46,3.1,9.25,1.13,6.8,9.75,1.18,4.33,1.0,21.0,1.1,6.25,1.31,3.27,2.0,1.68,1.03,1.04,5.0,1.0,0.0,1.57,1.09,2.66,1.14,14.0,8.5,1.17,4.1,1.32,2.9,1.57,2.2,1.93,1.76,2.4,1.46
Brazil Serie A,2023-11-02,17:00:00,31,Cuiabá,Vasco da Gama,3.1,1.91,4.33,2.13,2.85,3.2,1.57,2.25,1.1,7.5,1.53,2.38,2.55,1.45,2.1,1.67,1.31,1.36,1.6,1.2,0.73,1.72,1.35,3.07,1.67,8.0,2.55,1.21,3.6,1.41,2.55,1.71,1.98,2.12,1.61,2.7,1.36
Paraguay Division Profesional,2023-11-02,18:00:00,18,Resistencia,Tacuary,0.0,0.0,0.0,2.09,3.47,3.38,0.0,0.0,0.0,0.0,0.0,0.0,1.83,1.96,0.0,0.0,0.0,0.0,0.0,1.05,0.63,1.44,1.17,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie A,2023-11-02,18:00:00,31,Goiás,Bragantino,4.33,2.1,2.75,3.0,3.15,2.06,1.44,2.63,1.05,10.0,1.33,3.25,1.98,1.73,1.8,1.95,1.72,1.31,1.29,1.27,1.5,1.63,1.66,3.29,2.28,8.5,1.8,1.18,4.0,1.33,2.85,1.58,2.16,1.96,1.73,2.45,1.44
Brazil Serie A,2023-11-02,20:00:00,31,São Paulo,Cruzeiro,2.4,2.1,5.5,1.64,3.3,4.55,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.65,2.05,1.7,0.0,0.0,0.0,2.13,1.43,1.99,1.47,3.46,1.58,9.0,2.75,0.0,0.0,1.3,2.95,1.54,2.25,1.89,1.8,2.35,1.49
Paraguay Division Profesional,2023-11-02,20:30:00,18,Sportivo Trinidense,Libertad,0.0,0.0,0.0,4.31,3.78,1.82,0.0,0.0,0.0,0.0,0.0,0.0,1.57,2.15,0.0,0.0,0.0,0.0,0.0,1.53,2.21,1.41,1.46,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
