League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Bulgaria First League,2023-09-14,14:30:00,6,Levski Sofia,OFK Pirin,1.14,6.5,19.0,1.02,12.0,1.18,4.33,1.6,2.25,1.3,3.4,2.63,1.44,1.03,1.07,3.23,2.25,0.0,1.64,0.84,2.48,1.1,14.5,8.6,1.24,1.41,1.77,2.27,3.05
Brazil Serie B,2023-09-14,18:30:00,28,Londrina,Ituano,2.65,2.95,2.85,1.11,6.5,1.54,2.33,2.65,1.44,1.59,2.24,2.15,1.65,1.38,1.33,1.5,1.15,0.93,1.34,1.23,2.57,1.55,7.5,3.1,1.14,1.28,1.5,1.98,2.45
Argentina Primera División,2023-09-14,19:00:00,4,Platense,Lanús,2.63,2.75,2.9,1.11,6.28,1.6,2.35,2.88,1.4,1.67,2.1,2.25,1.57,1.42,1.33,1.5,1.53,1.07,1.43,1.33,2.76,1.91,7.5,2.2,1.36,1.67,2.15,2.95,4.1
Chile Primera División,2023-09-14,19:00:00,16,Colo-Colo,Copiapó,1.4,4.8,7.05,1.01,12.5,1.28,3.69,1.83,1.93,1.31,3.2,2.05,1.75,1.07,1.15,2.95,2.0,0.82,1.8,1.48,3.28,1.27,6.75,4.25,1.25,1.53,1.87,2.3,3.18
Chile Primera División,2023-09-14,19:00:00,22,Huachipato,Palestino,2.55,3.4,2.7,1.03,10.5,1.23,4.0,1.9,1.87,1.33,3.25,1.62,2.2,1.47,1.25,1.57,1.82,1.55,1.58,1.59,3.17,1.91,8.0,2.2,1.23,1.44,1.83,2.35,3.25
Brazil Serie A,2023-09-14,19:00:00,23,Santos,Cruzeiro,2.65,3.0,2.85,1.09,7.5,1.51,2.4,2.45,1.53,1.57,2.25,2.2,1.62,1.42,1.3,1.53,1.55,1.3,1.54,1.54,3.08,2.1,8.0,1.93,1.17,1.27,1.49,1.82,2.25
Brazil Serie A,2023-09-14,19:00:00,23,Fortaleza,Corinthians,1.85,3.5,4.33,1.07,9.0,1.42,2.9,2.25,1.63,1.5,2.5,2.2,1.62,1.22,1.25,1.95,1.91,0.82,1.89,1.06,2.95,1.46,8.5,3.25,1.18,1.34,2.1,1.96,2.45
Brazil Serie A,2023-09-14,20:00:00,23,Coritiba,Bahia,2.35,3.3,3.0,1.05,10.0,1.33,3.25,2.15,1.68,1.44,2.63,1.95,1.8,1.4,1.25,1.6,0.9,0.55,1.6,1.41,3.01,1.92,8.0,2.12,1.17,1.3,1.55,1.92,2.4
Argentina Primera División,2023-09-14,21:00:00,4,Independiente,Huracán,2.38,2.7,3.6,1.11,6.28,1.62,2.31,3.1,1.36,1.67,2.1,2.25,1.57,1.35,1.33,1.57,1.27,0.6,1.38,1.22,2.6,1.91,7.5,2.2,1.38,1.7,2.2,3.1,4.4
Brazil Serie A,2023-09-14,21:30:00,23,Bragantino,Grêmio,1.85,3.5,4.33,1.05,11.0,1.3,3.4,2.0,1.78,1.4,2.75,1.75,2.0,1.27,1.28,1.78,2.0,1.11,2.13,1.43,3.56,1.5,9.0,3.05,1.08,1.21,1.38,1.66,2.02
