League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
South Korea K League 1,2023-08-25,07:00:00,28,Suwon,Incheon United,3.0,3.3,2.05,1.04,10.0,1.22,3.8,1.7,2.0,1.33,3.0,1.6,2.2,1.7,1.29,1.36,1.15,1.38,1.48,1.3,2.78,2.54,8.0,1.69,1.43,1.73,2.14,2.7,4.15
Japan J1 League,2023-08-25,07:00:00,25,Shonan Bellmare,Urawa Reds,3.25,3.0,2.1,1.05,8.0,1.3,3.3,2.1,1.67,1.39,2.8,1.78,1.95,1.72,1.22,1.33,0.82,1.33,1.52,1.16,2.68,1.8,8.0,2.3,1.22,1.43,1.83,2.23,2.93
South Korea K League 1,2023-08-25,07:30:00,28,Jeonbuk Motors,Daejeon Citizen,1.67,3.6,4.4,1.05,9.0,1.22,4.0,1.67,2.1,1.36,3.0,1.66,2.15,1.16,1.2,1.95,2.07,1.0,1.45,1.35,2.8,1.59,8.0,2.9,1.38,1.7,2.16,2.88,4.05
China Chinese Super League,2023-08-25,08:35:00,24,Henan Jianye,Shanghai SIPG,5.65,4.4,1.53,1.03,18.5,1.17,4.25,1.66,2.25,1.3,3.34,1.74,2.02,2.48,1.21,1.14,1.55,2.64,1.18,1.51,2.69,2.91,8.9,1.57,1.36,1.68,2.12,2.79,3.98
China Chinese Super League,2023-08-25,08:35:00,24,Shenzhen,Shandong Luneng,23.0,8.5,1.1,1.01,45.0,1.08,8.8,1.22,4.0,1.16,4.8,2.09,1.69,6.85,1.05,1.01,0.91,1.09,1.13,1.7,2.83,8.0,13.0,1.1,1.39,1.67,2.12,2.8,3.9
Russia Russian Premier League,2023-08-25,11:30:00,6,Orenburg,CSKA Moskva,3.4,3.8,1.81,0.0,0.0,1.15,4.55,1.63,2.29,1.28,3.48,1.53,2.4,1.88,1.25,1.29,0.0,1.0,1.43,1.45,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland Veikkausliiga,2023-08-25,12:00:00,21,VPS,KTP,1.53,4.0,4.75,1.04,13.75,1.25,4.02,1.7,2.0,1.33,3.16,1.73,2.03,1.19,1.27,2.15,1.7,0.8,1.44,1.27,2.71,1.64,8.5,2.66,0.0,0.0,1.5,2.0,2.2
Romania Liga I,2023-08-25,12:30:00,7,Oţelul Galaţi,Voluntari,2.6,2.87,2.6,1.06,6.9,1.44,2.65,2.35,1.53,1.52,2.44,2.01,1.75,1.51,1.34,1.41,0.67,1.0,1.25,1.45,2.7,2.88,6.75,1.65,1.65,2.16,3.0,4.3,0.0
Poland Ekstraklasa,2023-08-25,13:00:00,6,Stal Mielec,Radomiak Radom,2.7,2.9,2.45,1.06,8.0,1.33,3.2,2.2,1.6,1.4,2.75,1.78,1.95,1.65,1.3,1.33,1.67,2.0,1.27,1.62,2.89,2.54,8.0,1.69,0.0,0.0,0.0,0.0,0.0
Bulgaria First League,2023-08-25,13:00:00,7,OFK Pirin,Botev Vratsa,2.25,3.0,2.9,1.04,7.6,1.36,2.82,2.05,1.7,1.47,2.58,1.92,1.82,1.31,1.33,1.71,0.33,0.0,1.14,1.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia Meistriliiga,2023-08-25,13:00:00,25,Tallinna FC Flora,Harju Jalgpallikool,1.11,5.32,12.24,0.0,0.0,0.0,0.0,1.4,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.64,2.24,1.03,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2023-08-25,13:10:00,5,Liefering,Ried,2.65,3.3,2.3,0.0,0.0,0.0,0.0,1.6,2.2,0.0,0.0,1.57,2.25,0.0,0.0,0.0,1.5,0.5,1.2,1.03,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2023-08-25,13:10:00,5,Admira,Amstetten,1.8,3.5,3.75,0.0,0.0,0.0,0.0,1.61,2.15,0.0,0.0,1.67,2.1,0.0,0.0,0.0,3.0,0.0,1.34,1.2,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2023-08-25,13:10:00,5,SV Stripfing Weiden,Horn,2.0,3.4,3.1,0.0,0.0,0.0,0.0,1.6,2.2,0.0,0.0,1.62,2.2,0.0,0.0,0.0,1.5,0.0,1.39,1.47,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
