League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Colombia Categoria Primera A,2023-04-25 22:20:00,16,Atlético Huila,Independiente Medellín,2.61,3.25,2.45,1.07,9.0,1.4,2.95,2.17,1.69,1.46,2.5,1.87,1.91,1.55,1.35,1.4,1.5,1.22,1.39,1.33,2.72,1.97,7.3,2.2,1.29,1.6,1.9,2.43,3.1
China Chinese Super League,2023-04-26 06:30:00,3,Shijiazhuang Ever Bright,Shanghai SIPG,5.3,4.04,1.63,1.04,14.0,1.25,3.6,1.72,2.0,1.33,3.0,1.8,1.96,2.38,1.22,1.17,0.0,3.0,0.0,1.17,1.17,4.25,9.9,1.32,1.36,1.67,2.11,2.79,3.92
South Korea K League 1,2023-04-26 07:00:00,9,Gwangju,Jeju United,2.07,3.05,3.15,1.09,6.75,1.43,2.6,2.04,1.69,1.5,2.49,2.05,1.68,1.24,1.33,1.75,1.4,2.0,1.88,1.48,3.36,2.15,8.0,1.99,1.62,2.12,2.88,4.04,5.95
South Korea K League 1,2023-04-26 07:00:00,9,Gangwon,FC Seoul,2.96,2.94,2.22,1.08,7.0,1.38,2.9,2.27,1.56,1.48,2.5,1.87,1.87,1.36,1.3,1.42,0.8,1.4,1.13,1.17,2.3,2.12,8.4,1.99,1.4,1.79,2.24,2.98,4.25
South Korea K League 1,2023-04-26 07:30:00,9,Jeonbuk Motors,Daejeon Citizen,1.79,3.4,3.6,1.05,9.0,1.25,3.75,1.72,2.0,1.33,3.25,1.8,1.91,1.15,1.25,2.2,1.4,1.4,1.31,1.52,2.83,1.88,8.7,2.28,1.32,1.6,2.05,2.69,3.64
South Korea K League 1,2023-04-26 07:30:00,9,Suwon,Daegu,2.47,3.2,2.43,1.06,8.0,1.3,3.3,1.76,1.94,1.4,2.75,1.72,2.05,1.4,1.25,1.47,2.0,0.6,1.55,1.32,2.87,1.95,5.5,2.2,1.3,1.66,2.03,2.62,3.56
China Chinese Super League,2023-04-26 08:35:00,3,Shanghai Shenhua,Changchun Yatai,1.9,3.25,3.75,1.07,7.0,1.4,2.7,2.25,1.57,1.48,2.55,1.98,1.78,1.26,1.32,1.8,3.0,1.5,0.9,1.13,2.03,1.61,8.9,2.78,1.37,1.69,2.14,2.84,4.0
China Chinese Super League,2023-04-26 08:35:00,3,Dalian Yifang,Chengdu Better City FC,4.3,3.6,1.73,1.05,12.0,1.29,3.63,1.9,1.91,1.38,2.85,1.8,1.95,1.93,1.28,1.24,2.0,1.0,1.2,1.28,2.48,2.55,8.6,1.71,1.41,1.75,2.25,3.04,4.3
China Chinese Super League,2023-04-26 08:35:00,3,Shenzhen,Tianjin Teda,3.5,3.45,1.9,1.05,12.25,1.29,3.4,1.85,1.85,1.36,3.0,1.7,2.1,1.78,1.29,1.29,1.5,3.0,0.62,0.0,0.62,2.62,8.6,1.68,1.41,1.75,2.25,3.04,4.3
China Chinese Super League,2023-04-26 08:35:00,3,Nantong Zhiyun,Henan Jianye,2.6,3.1,2.55,1.08,6.5,1.4,2.7,2.3,1.55,1.48,2.55,1.92,1.84,1.52,1.34,1.41,3.0,0.0,0.0,0.0,0.0,1.98,8.1,2.15,1.48,1.87,2.44,3.34,4.84
Croatia Prva HNL,2023-04-26 10:00:00,31,Osijek,Istra 1961,1.73,3.2,5.0,1.1,6.5,1.45,2.65,2.35,1.57,1.51,2.4,2.2,1.62,1.15,1.25,2.0,1.67,1.0,1.89,1.09,2.98,1.35,6.0,3.8,1.5,1.86,2.49,3.42,5.3
Serbia SuperLiga,2023-04-26 11:00:00,2,Radnički Kragujevac,Vojvodina,3.0,3.0,2.3,1.03,8.0,1.33,2.93,2.15,1.62,1.48,2.5,1.81,1.85,1.48,1.31,1.42,1.4,1.4,1.42,1.3,2.72,1.28,8.5,5.5,0.0,1.5,1.87,2.4,0.0
Serbia SuperLiga,2023-04-26 11:00:00,2,Novi Pazar,Voždovac,1.67,3.4,4.75,1.03,8.4,1.31,3.04,2.15,1.62,1.43,2.65,1.86,1.8,1.2,1.27,1.92,2.0,1.13,1.76,1.09,2.85,2.15,6.5,2.15,0.0,1.5,1.87,2.4,0.0
Tunisia Ligue 1,2023-04-26 11:00:00,5,Stade Tunisien,Métlaoui,1.86,3.14,4.68,1.13,4.85,1.57,2.25,3.3,1.28,1.73,2.11,2.67,1.45,1.18,1.35,1.74,1.44,1.33,1.58,0.77,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia Ligue 1,2023-04-26 11:00:00,5,CA Bizertin,Hammam-Sousse,1.8,3.51,3.86,0.0,0.0,0.0,0.0,2.24,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,1.0,0.99,0.64,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-04-26 11:00:00,27,Ghazl El Mehalla,Smouha SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,1.5,1.42,1.19,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia Ligue 1,2023-04-26 11:00:00,5,EO Sidi Bouzid,AS Slimane,2.42,3.27,2.63,0.0,0.0,0.0,0.0,2.47,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,1.0,1.52,1.08,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-04-26 12:00:00,24,El Geish,Ghazl El Mehalla,1.91,3.3,4.34,1.06,6.6,1.45,2.48,2.45,1.51,1.53,2.41,2.16,1.62,1.18,1.29,1.68,1.09,0.92,1.34,1.17,2.51,1.51,7.6,3.26,1.27,1.49,1.81,2.25,3.0
Tunisia Ligue 1,2023-04-26 12:00:00,4,Monastir,Club Africain,2.16,2.94,3.74,0.0,0.0,1.64,2.12,2.9,1.36,0.0,0.0,2.4,1.49,0.0,0.0,0.0,1.94,1.82,1.39,1.18,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece Super League,2023-04-26 12:00:00,6,Volos NFC,Panathinaikos,10.5,5.45,1.3,1.02,15.0,1.2,4.33,1.74,2.02,1.31,3.1,2.1,1.67,3.5,1.15,1.03,1.06,2.25,1.08,1.19,2.27,6.15,10.0,1.19,1.44,1.83,2.41,3.3,5.0
Croatia Prva HNL,2023-04-26 12:05:00,31,Dinamo Zagreb,Varaždin,1.22,5.5,11.0,1.03,11.0,1.18,4.5,1.62,2.25,1.26,3.5,2.2,1.62,1.01,1.09,3.4,2.73,1.27,2.18,1.39,3.57,1.17,12.0,6.6,1.47,1.86,2.41,3.28,4.9
Czech Republic First League,2023-04-26 12:30:00,29,Zbrojovka Brno,České Budějovice,1.99,3.7,3.56,1.05,9.25,1.25,3.6,1.78,1.93,1.38,2.8,1.65,2.15,1.34,1.32,1.61,1.07,1.0,1.46,1.24,2.7,1.6,8.5,2.9,0.0,1.27,1.54,1.83,2.27
Czech Republic First League,2023-04-26 12:30:00,29,Zlín,Bohemians 1905,2.78,3.52,2.42,1.06,8.0,1.29,3.5,1.82,1.88,1.38,2.8,1.6,2.26,1.57,1.32,1.36,1.14,1.86,1.65,1.51,3.16,2.24,7.9,1.86,1.21,1.35,1.7,2.09,2.69
Czech Republic First League,2023-04-26 12:30:00,29,Jablonec,Sigma Olomouc,2.36,3.54,2.87,1.06,8.0,1.29,3.5,1.82,1.88,1.39,2.8,1.68,2.1,1.28,1.25,1.63,1.43,1.43,1.67,1.51,3.18,1.67,8.0,2.8,1.18,1.32,1.68,1.98,2.6
Czech Republic First League,2023-04-26 12:30:00,29,Hradec Králové,Slovan Liberec,2.23,3.42,3.19,1.08,7.0,1.39,2.75,2.19,1.61,1.47,2.45,1.9,1.78,1.3,1.35,1.6,1.21,1.07,1.57,1.27,2.84,1.73,8.5,2.49,1.19,1.3,1.61,2.0,2.41
Greece Super League,2023-04-26 13:00:00,6,Aris,Olympiakos Piraeus,3.96,3.48,1.94,1.07,9.0,1.36,3.1,2.11,1.68,1.44,2.55,1.91,1.8,1.83,1.3,1.22,1.93,1.93,1.62,1.61,3.23,2.1,7.5,1.95,1.44,1.88,2.38,3.3,5.3
Egypt Egyptian Premier League,2023-04-26 13:00:00,27,Aswan FC,Al Masry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,1.31,1.36,1.29,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria Bundesliga,2023-04-26 13:30:00,5,Sturm Graz,Austria Wien,1.57,4.3,5.4,0.0,0.0,0.0,0.0,1.73,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,1.31,1.53,1.14,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2023-04-26 13:30:00,2,Mladost Lučani,Napredak,2.0,3.0,3.75,0.0,0.0,0.0,0.0,2.35,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.67,1.09,1.22,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2023-04-26 13:30:00,2,Partizan,Red Star Belgrade,3.6,3.3,1.91,1.03,8.0,1.33,2.91,1.95,1.75,1.46,2.55,1.84,1.82,1.71,1.3,1.28,1.73,2.73,2.02,2.15,4.17,1.29,8.0,5.5,1.5,1.87,2.45,0.0,0.0
