League,Date,Time,Rodada,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre
Japan J2 League,2023-09-30,01:00:00,37,Vegalta Sendai,Roasso Kumamoto,2.2,3.2,3.2,1.08,7.0,1.28,3.5,2.1,1.68,1.48,2.5,1.68,2.1,1.35,1.25,1.57,1.21,1.32,1.45,1.54,2.99
Japan J2 League,2023-09-30,01:00:00,37,Fujieda MYFC,Shimizu S-Pulse,5.0,3.75,1.63,1.0,11.0,1.22,4.0,1.72,2.05,1.25,3.75,1.57,2.3,2.5,1.2,1.12,1.18,1.47,1.45,1.68,3.13
Japan J1 League,2023-09-30,01:00:00,29,Consadole Sapporo,Kashiwa Reysol,1.77,3.57,3.92,1.02,10.0,1.18,4.5,1.62,2.17,1.3,3.25,1.55,2.4,1.25,1.2,1.83,1.0,1.07,1.81,1.11,2.92
South Korea K League 2,2023-09-30,01:30:00,34,Anyang,Seongnam,1.83,3.5,4.0,1.03,8.2,1.36,3.0,2.0,1.75,1.43,2.65,1.9,1.83,1.2,1.22,1.85,1.5,1.13,1.48,1.38,2.86
South Korea K League 1,2023-09-30,02:00:00,32,Pohang Steelers,Ulsan,2.5,3.3,2.65,1.06,9.0,1.28,3.5,1.95,1.8,1.4,2.75,1.7,2.1,1.35,1.25,1.57,2.18,1.94,1.73,1.69,3.42
South Korea K League 1,2023-09-30,02:00:00,32,Suwon,FC Seoul,3.1,3.5,2.1,1.03,13.0,1.22,3.8,1.8,1.95,1.3,3.2,1.57,2.25,1.78,1.3,1.3,1.0,1.38,1.46,1.43,2.89
Japan J2 League,2023-09-30,02:00:00,37,Ventforet Kofu,Mito Hollyhock,2.2,3.5,2.95,1.01,9.3,1.26,3.34,1.8,1.95,1.38,2.91,1.71,2.06,1.38,1.3,1.61,1.74,1.28,1.34,1.23,2.57
Japan J1 League,2023-09-30,03:00:00,29,Avispa Fukuoka,Kashima Antlers,2.68,3.13,2.45,1.09,6.0,1.51,2.39,2.1,1.75,1.59,2.24,2.1,1.67,1.52,1.3,1.38,1.8,1.53,1.41,1.35,2.76
South Korea K League 2,2023-09-30,04:00:00,34,Ansan Greeners,Gimpo Citizen,3.4,3.2,2.0,1.06,10.0,1.35,3.0,1.97,1.9,1.45,2.55,1.87,1.87,1.65,1.27,1.35,0.75,1.88,1.49,1.24,2.73
South Korea K League 1,2023-09-30,04:30:00,32,Jeonbuk Motors,Daegu,1.85,3.1,3.75,1.06,9.0,1.33,3.1,2.1,1.65,1.4,2.75,1.8,1.95,1.22,1.25,1.8,1.76,1.35,1.48,1.23,2.71
Japan J2 League,2023-09-30,06:00:00,37,Oita Trinita,Omiya Ardija,1.75,3.45,3.75,1.01,9.6,1.28,3.5,1.9,1.8,1.37,2.96,1.72,2.05,1.25,1.22,1.72,1.58,0.63,1.4,1.28,2.68
Japan J1 League,2023-09-30,06:00:00,29,Cerezo Osaka,Shonan Bellmare,1.69,3.65,3.8,1.03,9.0,1.25,3.6,1.79,1.91,1.42,2.65,1.73,2.0,1.18,1.22,2.05,1.67,0.93,1.29,1.31,2.6
South Korea K League 2,2023-09-30,06:30:00,34,Asan Mugunghwa,Seoul E-Land,2.1,3.1,3.3,1.08,8.0,1.42,2.6,2.38,1.55,1.52,2.35,2.0,1.75,1.3,1.28,1.65,1.6,1.19,1.29,1.26,2.55
China Chinese Super League,2023-09-30,06:30:00,27,Beijing Guoan,Dalian Yifang,1.52,4.5,5.0,1.03,9.0,1.18,4.5,1.67,2.14,1.3,3.34,1.68,2.1,1.1,1.17,2.4,2.0,0.21,1.55,1.21,2.76
South Korea K League 1,2023-09-30,07:00:00,32,Incheon United,Suwon Bluewings,1.9,3.1,3.55,1.05,8.0,1.33,3.0,2.08,1.66,1.43,2.63,1.85,1.85,1.25,1.3,1.88,1.47,0.81,1.49,1.28,2.77
Japan J1 League,2023-09-30,07:00:00,29,Sanfrecce Hiroshima,Nagoya Grampus,1.73,3.35,3.95,1.07,6.8,1.36,3.0,2.13,1.63,1.44,2.6,1.9,1.83,1.2,1.25,1.85,2.0,1.14,1.94,1.36,3.3
