League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Ecuador Primera Categoría Serie A,2023-04-24 21:00:00,7,SD Aucas,Cumbayá,1.44,3.9,6.5,1.03,14.0,1.29,3.4,1.75,1.87,1.4,2.75,2.0,1.73,1.08,1.18,2.3,2.0,0.33,1.56,0.88,2.44,1.31,9.9,4.15,1.29,1.53,1.98,2.55,3.5
Argentina Prim B Nacional,2023-04-24 21:10:00,13,San Martín Tucumán,Alvarado,1.6,3.2,5.75,1.09,7.6,1.44,2.4,2.62,1.37,1.55,2.3,2.45,1.48,1.13,1.24,2.2,2.0,0.6,1.17,1.05,2.22,1.31,9.5,4.45,1.34,1.64,2.08,2.72,3.74
Argentina Primera División,2023-04-24 21:30:00,13,Argentinos Juniors,Gimnasia La Plata,1.44,4.11,7.4,1.05,10.25,1.34,2.95,2.05,1.7,1.44,2.63,2.2,1.62,1.1,1.21,2.48,2.6,0.17,1.88,1.21,3.09,1.23,10.0,5.15,1.26,1.5,1.95,2.39,3.2
Paraguay Division Profesional,2023-04-24 21:30:00,14,Guaraní,Cerro Porteño,3.7,3.2,1.9,0.0,0.0,0.0,0.0,1.9,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.17,1.37,1.28,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile Primera División,2023-04-24 21:30:00,11,Ñublense,Audax Italiano,2.05,3.25,3.1,1.03,13.0,1.25,3.75,1.7,1.95,1.36,3.0,1.62,2.2,1.29,1.25,1.55,1.2,0.4,1.45,1.33,2.78,1.62,5.75,2.6,1.41,1.72,2.28,3.15,4.5
Colombia Categoria Primera A,2023-04-24 22:10:00,15,América de Cali,Deportivo Pereira,1.75,3.2,4.4,1.07,7.0,1.36,2.87,2.1,1.6,1.48,2.5,2.05,1.75,1.2,1.3,1.95,2.0,1.14,1.86,1.17,3.03,1.45,8.5,3.32,1.32,1.62,2.1,2.8,4.0
Peru Primera División,2023-04-24 22:30:00,13,Universitario,Sporting Cristal,2.15,3.25,3.0,1.04,12.0,1.25,3.75,1.73,1.95,1.38,3.1,1.68,2.15,1.36,1.25,1.66,2.5,1.0,1.7,1.43,3.13,1.67,8.0,2.5,1.24,1.46,1.8,2.32,3.08
South Korea K League 1,2023-04-25 07:30:00,9,Pohang Steelers,Suwon Bluewings,1.83,3.1,4.0,1.07,8.75,1.4,2.75,2.1,1.6,1.5,2.45,2.05,1.7,1.23,1.28,1.85,2.0,0.25,1.7,1.63,3.33,1.55,7.0,3.5,1.38,1.67,2.15,2.85,4.75
South Korea K League 1,2023-04-25 07:30:00,9,Incheon United,Ulsan,3.5,3.1,1.95,1.06,9.0,1.38,3.18,2.0,1.67,1.4,3.08,1.78,2.07,1.88,1.31,1.27,1.5,2.25,1.83,1.62,3.45,2.62,8.6,1.68,1.41,1.76,2.25,3.04,4.33
China Chinese Super League,2023-04-25 08:35:00,3,Meizhou Hakka,Wuhan Three Towns,4.76,3.82,1.72,1.05,9.0,1.29,3.3,1.9,1.9,1.36,2.88,1.91,1.91,2.15,1.29,1.17,0.0,0.0,1.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China Chinese Super League,2023-04-25 08:35:00,3,Qingdao Jonoon,Beijing Guoan,4.92,3.82,1.7,1.05,8.0,1.3,3.2,1.95,1.85,1.4,2.7,1.91,1.8,2.15,1.29,1.17,0.0,1.0,0.0,1.74,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China Chinese Super League,2023-04-25 08:35:00,3,Shandong Luneng,Hangzhou,1.68,3.5,4.6,1.06,8.0,1.3,3.3,1.94,1.71,1.36,3.0,1.91,1.91,1.17,1.26,2.16,1.0,0.0,2.82,1.21,4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2023-04-25 09:30:00,33,NAC Breda,Willem II,3.4,3.4,1.87,1.02,16.0,1.2,4.2,1.67,2.1,1.32,3.2,1.62,2.25,1.75,1.25,1.32,1.81,1.5,1.66,1.53,3.19,2.86,9.4,1.59,1.22,1.42,1.74,2.23,3.0
Netherlands Eredivisie,2023-04-25 10:00:00,30,Groningen,NEC,2.7,3.3,2.5,1.04,8.5,1.29,3.3,1.8,1.95,1.39,2.75,1.68,2.05,1.51,1.33,1.41,0.86,1.21,1.49,1.42,2.91,2.01,9.4,2.07,1.16,1.33,1.61,2.03,2.62
Egypt Egyptian Premier League,2023-04-25 11:00:00,27,Al Ittihad,Pyramids FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,1.46,1.54,1.46,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia Ligue 1,2023-04-25 11:00:00,4,ES Tunis,Etoile du Sahel,1.78,3.15,5.0,1.08,5.95,1.55,2.3,2.6,1.44,1.6,2.25,2.38,1.49,1.15,1.32,1.94,2.06,2.24,2.17,1.09,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic First League,2023-04-25 12:30:00,29,Teplice,Mladá Boleslav,2.9,3.2,2.16,1.04,16.0,1.2,4.57,1.74,2.02,1.32,3.25,1.55,2.35,1.6,1.3,1.4,1.43,1.14,1.5,1.67,3.17,2.95,6.25,1.48,0.0,1.24,1.51,1.82,2.2
Czech Republic First League,2023-04-25 12:30:00,29,Pardubice,Slovácko,2.93,3.2,2.14,1.07,10.25,1.33,3.35,2.04,1.8,1.42,2.65,1.82,1.88,1.72,1.3,1.32,1.21,1.36,1.35,1.36,2.71,2.76,8.5,1.65,0.0,1.25,1.53,1.84,2.24
Croatia Prva HNL,2023-04-25 13:00:00,31,Šibenik,Slaven Koprivnica,2.4,3.2,2.7,0.0,0.0,0.0,0.0,2.25,1.62,0.0,0.0,1.91,1.8,1.4,1.32,1.48,0.67,1.27,1.34,1.08,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
