League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
South Korea K League 1,2023-06-07,07:00:00,17,Gwangju,Suwon Bluewings,1.95,3.25,3.9,1.08,7.0,1.4,2.8,2.0,1.7,1.45,2.6,1.9,1.85,1.2,1.25,1.8,1.38,0.88,1.86,1.35,3.21,1.59,8.0,2.9,1.38,1.71,2.22,2.98,4.2
South Korea K League 1,2023-06-07,07:00:00,17,Jeonbuk Motors,Daegu,2.0,3.25,3.8,1.07,7.5,1.36,2.95,1.9,1.8,1.46,2.55,1.9,1.83,1.2,1.25,1.8,1.63,1.5,1.48,1.22,2.7,1.64,8.0,2.77,1.32,1.8,2.06,2.72,3.64
South Korea K League 1,2023-06-07,07:30:00,17,Gangwon,Daejeon Citizen,2.63,3.0,2.75,1.08,7.0,1.4,2.8,2.0,1.7,1.48,2.5,1.9,1.83,1.36,1.28,1.42,0.71,1.13,1.15,1.41,2.56,1.75,7.5,2.45,1.34,1.64,2.11,2.8,3.88
South Korea K League 1,2023-06-07,07:30:00,17,Incheon United,FC Seoul,2.88,3.1,2.4,1.08,7.0,1.4,2.8,2.0,1.7,1.48,2.5,1.9,1.83,1.47,1.28,1.33,1.0,1.25,1.74,1.28,3.02,1.95,7.5,2.1,1.25,1.49,1.86,2.39,3.18
Turkey Süper Lig,2023-06-07,10:00:00,38,Fenerbahçe,Gazişehir Gaziantep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.71,2.06,1.42,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey Süper Lig,2023-06-07,10:00:00,38,Hatayspor,Galatasaray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,2.24,1.57,2.27,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland Veikkausliiga,2023-06-07,12:00:00,11,Honka,Mariehamn,1.58,4.1,5.65,1.02,9.2,1.27,3.32,1.9,1.9,1.39,2.88,1.91,1.83,1.15,1.25,2.3,0.8,0.25,1.4,1.37,2.77,1.41,9.0,3.48,0.0,0.0,1.58,1.94,2.41
Finland Veikkausliiga,2023-06-07,12:00:00,10,KuPS,Oulu,1.82,3.48,4.58,1.08,7.25,1.42,2.65,2.35,1.53,1.46,2.5,2.15,1.61,1.19,1.29,1.98,2.0,2.2,1.58,1.41,2.99,1.41,9.0,3.48,0.0,1.54,1.9,2.36,0.0
Finland Veikkausliiga,2023-06-07,12:00:00,10,Inter Turku,KTP,1.64,4.1,5.05,1.03,14.25,1.22,4.08,1.77,2.05,1.34,3.1,1.78,1.99,1.16,1.23,2.29,2.33,1.0,1.9,1.17,3.07,1.37,9.5,3.8,0.0,0.0,0.0,0.0,0.0
Estonia Meistriliiga,2023-06-07,12:00:00,16,Tallinna Kalev,Trans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.32,1.15,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia Meistriliiga,2023-06-07,12:00:00,16,Tammeka,Harju Jalgpallikool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.71,1.15,1.02,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
