League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
USA MLS,2023-08-30,20:30:00,0,New York City,Montreal Impact,1.72,3.96,5.04,1.01,10.25,1.23,3.64,1.92,1.97,1.36,3.0,1.8,1.95,1.17,1.24,2.22,1.45,0.62,1.63,1.2,2.83,1.47,8.0,3.25,1.3,1.56,1.94,2.48,3.25
USA MLS,2023-08-30,20:30:00,0,New England Revolution,New York RB,2.1,3.64,3.6,1.03,13.0,1.22,4.0,1.88,2.0,1.33,3.25,1.7,2.05,1.22,1.22,2.0,2.5,0.64,1.55,1.49,3.04,1.63,7.5,2.7,1.29,1.54,1.92,2.43,3.2
USA MLS,2023-08-30,21:30:00,0,Austin,Seattle Sounders,2.1,3.74,3.51,1.04,13.0,1.28,3.6,1.75,1.95,1.36,3.0,1.7,2.05,1.33,1.25,1.75,1.75,1.25,1.52,1.22,2.74,1.65,7.5,2.63,1.29,1.55,1.93,2.45,3.25
USA MLS,2023-08-30,21:30:00,0,Chicago Fire,Vancouver Whitecaps,2.21,3.89,3.11,1.02,15.0,1.2,4.33,1.57,2.25,1.3,3.4,1.53,2.38,1.4,1.22,1.66,1.62,0.9,1.15,1.36,2.51,1.71,7.5,2.48,1.26,1.48,1.84,2.3,3.05
USA MLS,2023-08-30,21:30:00,0,Houston Dynamo,Columbus Crew,2.19,3.87,3.18,1.03,15.0,1.22,4.2,1.67,2.1,1.33,3.25,1.62,2.2,1.38,1.22,1.68,2.17,0.82,1.48,1.4,2.88,1.74,7.5,2.45,1.26,1.49,1.84,2.3,3.0
USA MLS,2023-08-30,21:30:00,0,Minnesota United,Colorado Rapids,1.69,4.19,4.98,1.04,12.0,1.28,3.6,1.85,1.85,1.36,3.0,1.91,1.91,1.16,1.2,2.3,1.18,0.75,1.68,1.13,2.81,1.47,8.0,3.25,1.29,1.54,1.92,2.43,3.2
USA MLS,2023-08-30,21:30:00,0,St. Louis City,FC Dallas,1.89,3.78,4.21,1.02,10.0,1.22,3.8,1.84,2.06,1.33,3.25,1.7,2.05,1.17,1.22,2.38,2.15,0.83,1.71,1.22,2.93,1.54,8.0,2.95,1.28,1.52,1.9,2.38,3.15
South America Copa Libertadores,2023-08-30,21:30:00,0,Palmeiras,Deportivo Pereira,1.18,7.32,14.63,1.03,12.0,1.22,3.9,1.7,2.05,1.32,3.1,2.45,1.47,1.03,1.12,4.2,2.44,1.33,2.22,1.06,3.28,1.19,12.0,6.75,1.27,1.5,1.85,2.32,3.0
South America Copa Libertadores,2023-08-30,21:30:00,0,Racing Club,Boca Juniors,2.74,3.03,2.92,1.09,6.83,1.5,2.45,2.38,1.55,1.55,2.25,2.1,1.63,1.42,1.37,1.44,1.89,1.78,1.64,1.18,2.82,1.84,7.5,2.28,1.43,1.76,2.25,2.95,4.1
USA MLS,2023-08-30,23:30:00,0,SJ Earthquakes,LA Galaxy,2.05,3.76,3.63,1.01,9.9,1.18,4.15,1.75,1.95,1.3,3.4,1.62,2.2,1.3,1.27,1.81,2.08,0.67,1.42,1.27,2.69,1.64,8.0,2.65,1.26,1.48,1.84,2.3,3.0
USA MLS,2023-08-30,23:30:00,0,Portland Timbers,Real Salt Lake,2.27,3.83,3.07,1.03,15.0,1.22,4.2,1.67,2.1,1.33,3.25,1.62,2.2,1.45,1.25,1.6,1.5,1.75,1.61,1.52,3.13,1.78,7.5,2.35,1.28,1.52,1.89,2.4,3.15
