League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre
France Ligue 2,2023-10-03,13:45:00,7,Bordeaux,Caen,2.81,2.09,3.86,2.31,3.35,3.06,1.42,2.75,1.03,8.5,1.3,3.08,1.91,1.8,1.81,1.93,1.33,1.31,1.65,2.0,2.0,1.84,1.18,3.02
Spain Segunda División,2023-10-03,14:00:00,9,AD Alcorcón,Albacete Balompié,3.82,1.9,3.2,2.96,3.2,2.49,1.51,2.35,1.1,6.5,1.43,2.6,2.3,1.53,1.98,1.73,1.53,1.34,1.39,0.25,0.0,1.28,1.59,2.87
Sweden Superettan,2023-10-03,14:00:00,25,Gefle,Örgryte,3.5,2.25,2.9,2.98,3.4,2.15,1.3,3.2,1.04,13.75,1.24,4.1,1.69,2.04,1.6,2.3,1.63,1.25,1.4,1.92,0.92,1.13,1.64,2.77
Sweden Superettan,2023-10-03,14:00:00,25,Helsingborg,Örebro,3.3,2.2,3.1,2.64,3.3,2.42,1.34,3.0,1.04,12.0,1.28,3.72,1.8,1.9,1.68,2.15,1.55,1.25,1.47,1.17,0.82,1.53,1.6,3.13
Sweden Superettan,2023-10-03,14:00:00,25,Landskrona,GIF Sundsvall,2.5,2.35,4.0,1.84,3.7,3.56,1.29,3.3,1.02,15.0,1.22,4.2,1.65,2.11,1.63,2.2,1.28,1.2,1.95,1.75,0.92,1.51,1.37,2.88
Sweden Superettan,2023-10-03,14:00:00,25,GAIS,Öster,2.75,2.25,3.75,1.97,3.4,3.41,1.33,3.1,1.03,13.5,1.24,4.07,1.67,2.07,1.66,2.2,1.33,1.22,1.78,1.92,1.83,1.98,1.63,3.61
Spain Segunda División,2023-10-03,14:00:00,9,Levante UD,Villarreal II,2.34,2.2,4.95,1.76,3.75,4.49,1.36,3.0,1.05,9.0,1.25,3.6,1.8,1.91,1.8,1.91,1.21,1.26,2.02,1.75,0.5,1.77,0.98,2.75
Netherlands Eerste Divisie,2023-10-03,15:00:00,7,Willem II,Oss,1.95,2.35,5.5,1.46,4.33,5.5,1.33,3.1,1.04,11.0,1.22,4.2,1.67,2.1,1.77,1.9,1.11,1.17,2.55,2.0,0.33,1.37,0.92,2.29
England Premier League,2023-10-03,15:30:00,2,Luton Town,Burnley,3.5,2.05,3.2,3.0,3.47,2.54,1.44,2.63,1.03,8.0,1.35,2.93,2.05,1.7,1.91,1.91,1.53,1.32,1.4,0.5,0.5,1.56,1.02,2.58
England EFL League Two,2023-10-03,15:45:00,11,Doncaster Rovers,Crawley Town,2.95,2.2,3.5,2.41,3.5,2.8,1.34,3.0,1.03,13.0,1.25,3.75,1.73,2.0,1.63,2.2,1.42,1.25,1.6,1.0,1.25,1.21,1.17,2.38
England EFL League Two,2023-10-03,15:45:00,11,Grimsby Town,Barrow,3.0,2.1,3.75,2.22,3.34,3.25,1.43,2.63,1.05,8.0,1.33,3.0,2.05,1.7,1.8,1.95,1.36,1.25,1.66,1.6,1.33,1.39,1.13,2.52
England EFL League Two,2023-10-03,15:45:00,11,Harrogate Town,AFC Wimbledon,3.3,2.15,2.9,2.82,3.44,2.42,1.38,2.85,1.04,12.0,1.25,3.5,1.91,1.8,1.65,2.1,1.55,1.28,1.4,1.5,2.2,1.46,1.57,3.03
England EFL League Two,2023-10-03,15:45:00,11,Mansfield Town,Wrexham,2.88,2.3,3.4,2.32,3.62,2.85,1.33,3.25,1.02,17.0,1.2,4.33,1.6,2.2,1.57,2.25,1.4,1.22,1.7,2.5,1.25,1.74,1.65,3.39
England EFL League One,2023-10-03,15:45:00,11,Bolton Wanderers,Stevenage,2.4,2.1,5.0,1.92,3.5,3.97,1.44,2.63,1.06,10.0,1.35,2.95,2.05,1.75,2.0,1.75,1.28,1.24,1.8,2.0,2.4,1.44,1.47,2.91
England EFL League Two,2023-10-03,15:45:00,11,Crewe Alexandra,Gillingham,3.3,2.1,3.3,2.63,3.34,2.63,1.4,2.75,1.05,10.0,1.33,3.25,2.0,1.73,1.78,1.95,1.5,1.25,1.5,2.2,1.8,1.3,1.04,2.34
England EFL League Two,2023-10-03,15:45:00,11,Tranmere Rovers,Bradford City,3.5,2.1,3.1,2.82,3.32,2.46,1.4,2.75,1.05,10.0,1.33,3.25,2.05,1.7,1.8,1.91,1.62,1.25,1.38,1.2,1.0,1.45,1.35,2.8
England EFL League Two,2023-10-03,15:45:00,11,Stockport County,Forest Green Rovers,2.15,2.35,5.5,1.61,4.15,5.1,1.3,3.2,1.03,15.0,1.22,3.9,1.67,2.1,1.78,2.0,1.15,1.18,2.35,1.6,1.75,1.55,1.26,2.81
England EFL League Two,2023-10-03,15:45:00,11,Sutton United,Salford City,2.9,2.2,3.1,2.49,3.54,2.65,1.33,3.0,1.02,10.0,1.25,3.6,1.75,1.95,1.62,2.2,1.44,1.29,1.5,0.8,1.2,1.3,1.17,2.47
England EFL League One,2023-10-03,15:45:00,11,Blackpool,Derby County,3.2,2.2,3.2,2.61,3.38,2.61,1.36,3.0,1.04,8.5,1.25,3.6,1.8,2.0,1.67,2.1,1.45,1.25,1.47,2.2,2.25,1.48,1.12,2.6
England EFL League Two,2023-10-03,15:45:00,11,Walsall,Milton Keynes Dons,3.25,2.2,3.25,2.74,3.44,2.46,1.4,2.75,1.04,12.0,1.3,3.5,1.85,1.85,1.67,2.1,1.52,1.25,1.5,1.75,1.4,1.27,1.26,2.53
England EFL League Two,2023-10-03,15:45:00,11,Newport County,Colchester United,2.63,2.3,3.75,2.12,3.6,3.23,1.33,3.25,1.03,9.0,1.25,3.6,1.8,1.91,1.62,2.2,1.33,1.22,1.78,1.6,0.75,1.23,1.33,2.56
England EFL League Two,2023-10-03,15:45:00,11,Notts County,Swindon Town,2.3,2.35,4.1,1.87,3.85,3.79,1.3,3.25,1.02,17.0,1.18,4.4,1.58,2.2,1.55,2.25,1.25,1.23,1.9,3.0,1.5,1.61,1.53,3.14
England EFL League Two,2023-10-03,15:45:00,11,Morecambe,Accrington Stanley,3.1,2.15,3.4,2.41,3.45,2.8,1.35,2.9,1.04,13.0,1.24,3.7,1.8,1.91,1.62,2.15,1.42,1.28,1.55,2.2,0.75,1.18,1.26,2.44
England EFL League One,2023-10-03,15:45:00,11,Burton Albion,Wigan Athletic,3.6,2.2,2.88,3.08,3.42,2.27,1.36,3.0,1.04,8.5,1.25,3.6,1.75,2.05,1.67,2.1,1.62,1.25,1.33,0.5,1.4,1.28,1.09,2.37
England EFL League One,2023-10-03,15:45:00,11,Oxford United,Shrewsbury Town,2.25,2.25,5.5,1.59,4.0,5.56,1.4,2.75,1.04,12.0,1.3,3.5,1.73,2.1,1.95,1.8,1.14,1.2,2.4,2.25,0.75,1.38,0.94,2.32
England EFL League One,2023-10-03,15:45:00,11,Cambridge United,Barnsley,3.6,2.25,2.88,2.68,3.48,2.49,1.36,3.0,1.05,10.0,1.29,3.8,1.8,2.0,1.67,2.1,1.52,1.27,1.45,2.0,2.5,1.26,1.47,2.73
England EFL League One,2023-10-03,15:45:00,11,Carlisle United,Peterborough United,4.0,2.2,2.6,3.63,3.5,2.01,1.36,3.0,1.05,7.8,1.25,3.5,1.75,2.05,1.75,2.0,1.77,1.25,1.25,1.0,1.4,1.38,1.74,3.12
England EFL League One,2023-10-03,15:45:00,11,Charlton Athletic,Exeter City,2.88,2.1,3.75,2.14,3.55,3.24,1.4,2.75,1.04,13.0,1.24,3.7,1.8,2.0,1.8,1.95,1.32,1.22,1.7,1.8,1.8,1.63,1.37,3.0
England EFL League One,2023-10-03,15:45:00,11,Cheltenham Town,Fleetwood Town,3.2,2.2,3.2,3.02,3.3,2.36,1.36,3.0,1.05,7.8,1.25,3.5,1.95,1.83,1.7,2.05,1.55,1.27,1.42,0.0,0.4,1.16,1.23,2.39
England EFL League One,2023-10-03,15:45:00,11,Bristol Rovers,Port Vale,2.75,2.2,4.0,2.01,3.58,3.56,1.4,2.75,1.05,7.8,1.25,3.5,1.87,1.91,1.8,1.95,1.25,1.25,1.77,1.25,1.6,1.41,1.19,2.6
England EFL League One,2023-10-03,15:45:00,11,Northampton Town,Reading,3.25,2.2,3.25,2.63,3.34,2.63,1.4,2.75,1.04,12.0,1.28,3.6,1.83,1.95,1.75,2.0,1.47,1.25,1.53,0.8,0.0,1.44,1.06,2.5
England EFL League One,2023-10-03,15:45:00,11,Leyton Orient,Lincoln City,3.25,2.1,3.25,2.66,3.22,2.66,1.44,2.63,1.05,11.0,1.36,3.1,2.15,1.67,1.8,1.95,1.38,1.25,1.66,1.5,1.0,1.1,1.04,2.14
