League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Bulgaria First League,2024-03-15,11:15:00,25,Beroe,Botev Vratsa,2.55,2.11,4.9,1.85,3.5,4.33,1.46,2.67,1.04,7.5,1.38,2.9,1.83,1.71,1.95,1.78,1.18,1.25,1.85,1.69,0.38,1.49,1.03,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania Liga I,2024-03-15,12:30:00,1,Universitatea Cluj,Botoşani,2.2,2.1,5.25,2.13,1.93,8.07,1.44,2.6,1.06,8.0,1.36,3.0,2.1,1.65,2.0,1.67,1.11,1.22,2.2,1.38,0.44,1.56,1.2,2.76,1.41,9.4,3.45,1.33,2.93,1.63,2.24,2.05,1.75,2.67,1.39,3.74,1.21
Croatia Prva HNL,2024-03-15,13:00:00,27,Osijek,Varaždin,2.1,2.3,5.0,1.57,4.0,5.5,1.35,2.95,1.05,9.0,1.25,3.75,1.8,1.95,1.85,1.9,1.1,1.18,2.35,1.73,0.92,1.84,1.34,3.18,1.45,8.5,3.33,1.32,3.1,1.61,2.17,2.07,1.67,2.75,1.4,3.5,1.25
Slovakia Super Liga,2024-03-15,13:30:00,2,Zemplín Michalovce,FK Košice,2.62,2.1,3.7,2.05,1.97,8.5,1.36,3.0,1.07,7.5,1.3,3.4,1.95,1.75,1.73,2.0,1.25,1.33,1.7,0.83,0.42,1.27,1.25,2.52,1.58,9.2,2.75,1.24,3.8,1.4,2.75,1.8,2.0,2.2,1.6,2.9,1.36
Bulgaria First League,2024-03-15,13:45:00,25,Cherno More,CSKA 1948 Sofia,2.11,2.11,6.8,1.73,2.82,5.72,1.46,2.6,1.04,7.8,1.35,2.84,2.25,1.57,2.21,1.59,1.1,1.24,2.41,2.85,1.38,1.76,1.46,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland Ekstraklasa,2024-03-15,14:00:00,25,Zagłębie Lubin,Stal Mielec,2.28,2.15,5.0,1.86,3.08,4.03,1.4,2.82,1.02,8.8,1.28,3.2,1.9,1.8,1.85,1.85,1.18,1.26,2.04,1.54,0.92,1.72,1.06,2.78,1.36,10.25,3.68,1.25,3.6,1.36,2.79,1.63,2.09,2.06,1.68,2.67,1.39
Austria 2. Liga,2024-03-15,14:10:00,20,First Vienna,Leoben,3.4,2.05,3.0,3.5,3.25,2.2,1.38,2.9,1.01,9.3,1.26,3.34,2.05,1.75,1.83,1.83,1.54,1.29,1.42,1.5,1.7,1.36,1.35,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2024-03-15,14:10:00,20,Amstetten,Admira,3.6,2.05,2.88,3.2,1.76,2.25,1.37,3.01,1.01,9.2,1.26,3.34,2.1,1.7,1.83,1.83,1.72,1.28,1.3,0.2,0.9,1.39,1.44,2.83,2.15,8.8,1.9,1.22,3.64,1.43,2.54,2.38,1.94,2.23,1.55,3.04,1.31
Austria 2. Liga,2024-03-15,14:10:00,20,Ried,Liefering,2.38,2.3,4.0,1.91,3.75,4.0,1.27,3.45,1.03,12.0,1.15,4.6,1.7,2.1,1.62,2.2,1.2,1.22,1.95,2.3,1.1,1.7,1.65,3.35,1.58,9.1,2.82,1.23,3.56,1.44,2.5,1.8,2.09,2.28,1.68,3.04,1.31
Austria 2. Liga,2024-03-15,14:10:00,20,Grazer AK,Lafnitz,1.91,2.5,5.5,1.45,4.5,7.0,1.32,3.29,1.03,10.0,1.18,4.1,1.6,2.3,1.8,1.91,1.07,1.17,2.91,2.3,1.1,1.88,1.22,3.1,0.0,0.0,0.0,0.0,0.0,1.3,3.08,2.1,2.25,1.92,1.79,2.45,1.46
