League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
South Korea K League 2,2023-05-29,04:00:00,15,Bucheon 1995,Gimpo Citizen,2.3,3.02,2.62,1.06,7.5,1.36,2.9,2.15,1.7,1.44,2.63,1.83,1.83,1.36,1.25,1.45,2.14,2.29,1.53,1.52,3.05,1.77,8.1,2.33,1.39,1.76,2.19,2.98,4.5
South Korea K League 1,2023-05-29,04:30:00,15,Pohang Steelers,Jeonbuk Motors,2.21,3.28,2.87,1.07,7.5,1.33,3.1,2.0,1.7,1.44,2.63,1.83,1.83,1.37,1.32,1.47,2.13,1.0,1.6,1.62,3.22,1.64,8.0,2.77,1.33,1.69,2.08,2.76,3.74
China Chinese Super League,2023-05-29,08:35:00,10,Changchun Yatai,Shanghai SIPG,4.6,3.45,1.55,1.04,13.75,1.26,3.9,1.95,1.75,1.35,3.0,1.88,1.82,2.45,1.17,1.09,1.4,2.67,1.53,1.33,2.86,3.36,9.9,1.44,1.23,1.51,1.82,2.24,3.04
Denmark Superliga,2023-05-29,09:00:00,9,Silkeborg,Midtjylland,3.0,3.6,1.98,1.02,14.5,1.22,4.3,1.7,2.0,1.33,3.25,1.62,2.2,1.83,1.22,1.32,1.38,1.81,1.62,1.53,3.15,2.2,8.0,1.83,1.2,1.37,1.65,2.07,2.75
Ukraine Ukrainian Premier League,2023-05-29,09:00:00,29,Metalist 1925 Kharkiv,Hirnyk,2.98,3.38,2.37,1.02,8.6,1.33,3.1,1.95,1.75,1.41,2.87,1.81,1.95,1.64,1.31,1.38,1.14,1.07,0.83,1.14,1.97,2.36,8.8,1.76,1.23,1.5,1.82,2.25,3.04
Ukraine Ukrainian Premier League,2023-05-29,09:00:00,29,Lviv,Inhulets,3.5,3.28,2.16,1.04,7.7,1.38,2.9,2.15,1.7,1.47,2.5,2.15,1.67,2.33,1.28,1.13,0.53,1.0,1.01,1.2,2.21,2.46,8.5,1.72,1.36,1.72,2.14,2.84,4.0
Ukraine Ukrainian Premier League,2023-05-29,09:00:00,29,Vorskla,Kolos Kovalivka,1.82,3.52,4.52,1.06,9.25,1.35,2.95,2.15,1.62,1.46,2.6,1.96,1.8,1.22,1.28,1.85,1.71,1.07,1.38,1.0,2.38,1.57,9.1,2.78,1.23,1.49,1.81,2.25,3.04
Ukraine Ukrainian Premier League,2023-05-29,09:00:00,29,Metal Kharkiv,Minai,2.85,3.05,2.65,1.07,8.5,1.38,2.8,1.9,1.8,1.48,2.45,1.9,1.82,1.48,1.28,1.38,0.79,1.27,1.06,0.99,2.05,1.98,8.7,2.06,1.24,1.52,1.85,2.3,3.14
Ukraine Ukrainian Premier League,2023-05-29,09:00:00,29,Dynamo Kyiv,Veres Rivne,1.36,5.05,8.3,0.0,0.0,0.0,0.0,1.6,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.2,1.54,1.2,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark Superliga,2023-05-29,09:00:00,9,Lyngby,AaB,2.68,3.48,2.21,1.03,12.5,1.27,3.7,1.77,2.05,1.36,3.0,1.67,2.1,1.62,1.3,1.28,1.13,0.81,1.39,1.46,2.85,2.1,8.0,1.91,1.18,1.38,1.67,2.1,2.8
