League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
USA USL Championship,2023-06-18,00:00:00,0,Sacramento Republic,Monterey Bay,1.49,3.9,5.25,1.01,9.7,1.25,3.75,1.84,1.94,1.33,3.25,1.8,1.95,1.12,1.18,2.2,2.38,1.57,1.5,1.25,2.75,1.45,7.9,3.65,1.3,1.61,2.0,2.51,3.5
Japan J2 League,2023-06-18,02:00:00,21,Renofa Yamaguchi,Vegalta Sendai,3.5,3.1,1.86,1.06,8.0,1.3,3.3,1.85,1.79,1.4,2.75,1.8,1.91,1.75,1.22,1.2,1.0,1.45,1.28,1.42,2.7,2.45,5.25,1.74,1.44,1.8,2.33,3.2,0.0
Japan J2 League,2023-06-18,04:00:00,21,Iwaki,JEF United,3.1,2.9,2.1,1.05,7.0,1.43,2.81,2.08,1.66,1.5,2.5,2.0,1.73,1.5,1.28,1.3,0.91,0.82,1.58,1.35,2.93,2.05,5.75,1.95,1.31,1.54,1.9,2.5,3.3
Japan J2 League,2023-06-18,06:00:00,21,Tokyo Verdy,ThespaKusatsu Gunma,1.68,3.25,4.15,1.08,7.0,1.42,2.7,2.17,1.61,1.5,2.5,2.2,1.62,1.11,1.25,2.1,1.45,1.09,1.36,1.23,2.59,1.3,6.5,4.0,1.31,1.51,1.93,2.5,3.3
Japan J2 League,2023-06-18,06:00:00,21,Tochigi,Machida Zelvia,3.25,2.8,2.1,1.12,5.5,1.54,2.35,2.68,1.41,1.62,2.2,2.38,1.53,1.72,1.35,1.18,1.8,2.0,1.29,1.07,2.36,2.25,5.0,1.83,1.63,1.93,2.9,3.8,0.0
Uruguay Primera División,2023-06-18,10:00:00,2,Racing,Plaza Colonia,2.0,2.9,3.2,1.05,7.3,1.39,2.71,2.3,1.57,1.44,2.62,1.96,1.8,1.27,1.3,1.67,0.89,0.63,1.05,1.17,2.22,1.45,8.5,3.2,1.27,1.51,1.83,2.42,3.28
Brazil Serie D,2023-06-18,11:00:00,9,CAP,Ferroviária,2.52,2.96,2.67,1.06,7.5,1.43,2.65,2.3,1.48,1.47,2.5,1.93,1.83,1.42,1.32,1.47,2.2,1.25,1.58,1.1,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay Segunda División,2023-06-18,12:30:00,7,Uruguay Montevideo FC,Rampla Juniors,2.45,3.0,2.75,1.06,8.5,1.37,2.75,2.23,1.58,1.51,2.3,1.93,1.83,1.39,1.34,1.48,1.29,1.71,1.44,1.49,2.93,0.0,0.0,0.0,0.0,1.49,1.9,2.45,3.35
Chile Segunda División,2023-06-18,13:00:00,9,Concepción,Fernández Vial,2.7,3.05,2.33,1.06,8.75,1.37,2.8,2.18,1.61,1.48,2.4,1.86,1.9,1.5,1.32,1.39,0.57,1.17,1.62,1.2,2.82,0.0,0.0,0.0,1.3,1.58,2.0,2.7,3.75
Argentina Prim B Nacional,2023-06-18,13:10:00,21,Patronato,Defensores Unidos,1.77,3.35,3.9,1.05,7.1,1.41,2.64,2.25,1.57,1.49,2.4,2.2,1.6,1.15,1.29,2.1,1.5,0.7,1.76,1.01,2.77,1.38,9.7,3.76,1.33,1.57,1.94,2.43,3.74
