League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Colombia Categoria Primera B,2023-05-01 21:30:00,15,Patriotas Boyacá,Cortuluá,1.62,3.5,5.0,1.05,8.25,1.4,2.8,2.09,1.72,1.46,2.55,2.15,1.66,1.12,1.22,2.1,2.25,1.5,1.4,1.62,3.02,1.38,9.0,3.54,1.46,1.68,2.15,2.91,0.0
South Korea K League 2,2023-05-02 07:00:00,11,Jeonnam Dragons,Busan I'Park,2.47,3.35,2.53,1.08,8.25,1.42,2.7,2.18,1.56,1.5,2.4,1.95,1.78,1.32,1.32,1.62,1.14,1.5,1.62,1.67,3.29,1.8,5.5,2.3,1.37,1.69,2.11,2.93,4.3
South Korea K League 2,2023-05-02 07:00:00,11,Cheonan City,Anyang,4.8,3.8,1.6,1.06,8.0,1.3,3.3,2.0,1.86,1.39,2.8,1.91,1.8,2.1,1.29,1.15,0.17,2.0,1.17,1.97,3.14,3.24,8.6,1.44,1.38,1.75,2.27,3.1,5.1
South Korea K League 2,2023-05-02 07:30:00,11,Bucheon 1995,Asan Mugunghwa,2.17,3.1,3.17,1.08,8.25,1.42,2.7,2.25,1.58,1.5,2.4,1.95,1.78,1.28,1.28,1.6,1.8,0.67,1.47,1.12,2.59,1.8,5.5,2.3,1.4,1.78,2.24,3.04,4.3
Bulgaria First League,2023-05-02 11:45:00,29,Botev Vratsa,Lokomotiv Sofia 1929,2.48,2.98,3.01,1.06,7.5,1.32,3.1,2.03,1.7,1.43,2.6,1.75,2.03,1.42,1.32,1.51,1.47,0.87,1.48,1.19,2.67,1.89,9.1,2.2,1.2,1.4,1.72,2.16,2.84
Serbia SuperLiga,2023-05-02 12:00:00,3,Javor Ivanjica,Mladost Novi Sad,2.18,2.84,2.78,1.08,7.0,1.36,2.95,2.1,1.68,1.48,2.5,1.85,1.9,1.3,1.28,1.57,1.0,0.88,1.33,1.23,2.56,1.92,5.8,2.52,1.45,1.8,2.37,3.2,4.8
Egypt Egyptian Premier League,2023-05-02 13:00:00,27,Ghazl El Mehalla,Smouha SC,3.3,3.1,2.15,1.09,5.75,1.44,2.51,2.3,1.57,1.61,2.23,1.98,1.78,1.44,1.43,1.29,1.36,1.62,1.42,1.19,2.61,2.13,8.9,1.91,1.18,1.37,1.71,2.12,2.75
Bulgaria First League,2023-05-02 14:00:00,29,Slavia Sofia,Lokomotiv Plovdiv,2.07,3.05,3.04,1.07,7.5,1.5,2.45,2.5,1.49,1.5,2.5,1.95,1.81,1.29,1.32,1.45,1.93,1.21,1.52,1.34,2.86,1.91,8.4,2.22,1.4,1.75,2.18,2.95,4.1
Romania Liga I,2023-05-02 14:00:00,6,UTA Arad,Hermannstadt,1.87,2.87,3.26,1.11,6.0,1.52,2.48,2.4,1.53,1.53,2.38,2.2,1.62,1.2,1.28,1.65,1.29,1.5,1.63,1.28,2.91,1.63,8.4,2.77,1.51,1.91,2.52,3.48,5.3
Spain La Liga,2023-05-02 14:30:00,33,FC Barcelona,CA Osasuna,1.22,6.14,11.34,1.03,15.0,1.22,4.33,1.72,2.15,1.32,3.3,2.36,1.56,1.05,1.14,4.26,2.63,1.19,2.11,1.28,3.39,1.22,11.0,5.8,1.29,1.53,1.88,2.35,3.05
Spain La Liga,2023-05-02 14:30:00,33,Almería,Elche CF,1.89,3.51,4.06,1.03,15.0,1.22,4.33,2.03,1.79,1.33,3.3,1.7,2.15,1.18,1.2,2.3,1.63,0.38,1.42,0.99,2.41,1.5,8.0,3.05,1.29,1.53,1.89,2.4,3.15
Slovenia PrvaLiga,2023-05-02 15:15:00,34,Maribor,Mura,1.49,3.61,4.75,1.04,11.5,1.22,3.9,1.81,1.92,1.31,3.1,1.75,1.95,1.16,1.17,2.35,1.88,1.19,1.86,1.55,3.41,1.41,9.8,3.4,1.23,1.38,1.68,2.09,2.85
Egypt Egyptian Premier League,2023-05-02 15:30:00,27,El Daklyeh FC,ENPPI,2.81,2.78,2.68,1.09,6.5,1.42,2.65,2.38,1.52,1.53,2.38,2.1,1.67,1.47,1.37,1.43,0.85,1.38,1.22,1.16,2.38,1.93,8.3,2.14,1.38,1.7,2.17,2.93,0.0
