League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Chile Primera División,2023-04-23 21:00:00,11,Unión Española,Coquimbo Unido,2.3,3.32,2.54,1.03,12.0,1.25,3.75,1.71,2.07,1.34,3.0,1.66,2.2,1.38,1.27,1.62,1.67,1.5,1.54,1.61,3.15,1.76,5.75,2.35,1.2,1.38,1.63,1.95,2.6
Paraguay Division Profesional,2023-04-23 21:30:00,14,Nacional Asunción,General Caballero JLM,1.81,3.42,4.54,0.0,0.0,0.0,0.0,1.9,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.57,1.36,1.21,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venezuela Primera División,2023-04-23 21:30:00,11,Monagas,Academia Puerto Cabello,2.73,3.04,2.64,1.05,11.25,1.26,3.48,2.15,1.7,1.38,2.8,1.65,2.1,1.45,1.3,1.4,2.17,2.17,1.75,1.61,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico Liga MX,2023-04-23 22:05:00,16,Santos Laguna,Querétaro,1.64,3.82,4.6,1.03,12.5,1.19,4.2,1.6,2.2,1.29,3.5,1.62,2.2,1.19,1.23,2.15,1.94,0.65,1.96,1.32,3.28,1.41,9.5,3.46,1.13,1.26,1.49,1.93,2.4
Colombia Categoria Primera A,2023-04-23 22:20:00,15,Boyacá Chicó,Deportes Tolima,2.8,2.88,2.45,1.08,7.5,1.5,2.55,2.45,1.5,1.5,2.5,1.94,1.83,1.52,1.38,1.42,2.5,0.63,1.67,1.45,3.12,1.82,7.5,2.4,1.4,1.74,2.23,2.98,4.7
Australia A-League,2023-04-24 06:00:00,25,Brisbane Roar,Sydney FC,2.9,3.7,2.34,1.03,12.5,1.22,4.35,1.61,2.18,1.33,3.25,1.62,2.2,1.6,1.25,1.42,1.31,1.54,1.51,1.9,3.41,2.2,8.0,1.83,1.2,1.41,1.74,2.19,2.84
Ukraine Ukrainian Premier League,2023-04-24 07:00:00,22,Dnipro-1,Rukh Vynnyky,1.3,4.4,6.5,1.04,11.0,1.24,3.6,1.75,1.85,1.35,3.05,2.15,1.6,1.06,1.17,3.3,2.5,0.73,1.85,1.17,3.02,1.29,10.25,4.3,1.29,1.53,1.95,2.51,3.42
Ukraine Ukrainian Premier League,2023-04-24 09:00:00,22,Oleksandria,Inhulets,1.68,3.21,4.1,1.02,10.5,1.3,3.08,1.95,1.65,1.4,2.8,1.84,1.92,1.24,1.32,1.75,1.92,1.0,1.52,1.13,2.65,1.43,7.0,3.88,1.2,1.38,1.67,2.12,2.85
Turkey Süper Lig,2023-04-24 11:00:00,31,Giresunspor,İstanbul Başakşehir,2.7,3.4,2.41,1.05,9.5,1.28,3.4,1.78,1.93,1.37,2.96,1.67,2.1,1.57,1.35,1.33,1.07,1.33,1.82,1.58,3.4,2.09,8.9,1.99,1.25,1.47,1.83,2.4,3.4
Egypt Egyptian Premier League,2023-04-24 11:00:00,27,El Daklyeh FC,ENPPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,1.38,1.22,1.16,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania Liga I,2023-04-24 11:30:00,5,Universitatea Cluj,Mioveni,1.56,3.6,4.95,1.08,7.0,1.4,2.8,2.24,1.58,1.5,2.5,2.5,1.5,1.06,1.2,2.3,1.67,0.56,1.84,1.21,3.05,1.37,7.5,4.1,1.75,2.27,3.08,4.8,5.2
Bulgaria First League,2023-04-24 11:30:00,27,Spartak Varna,Septemvri Sofia,2.0,3.08,3.08,1.06,7.5,1.38,2.9,2.13,1.67,1.48,2.5,1.87,1.89,1.3,1.31,1.73,0.86,0.79,1.44,1.27,2.71,3.11,7.6,1.57,1.38,1.65,2.1,2.7,3.8
Finland Veikkausliiga,2023-04-24 12:00:00,4,Haka,Honka,1.63,3.3,5.2,1.07,7.5,1.36,3.0,1.94,1.94,1.44,2.63,1.91,1.91,1.51,1.32,1.42,1.0,1.33,1.1,1.15,2.25,2.06,9.5,1.99,1.12,1.3,1.44,2.0,2.32
Egypt Egyptian Premier League,2023-04-24 13:00:00,27,Haras El Hodood,El Geish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.5,1.07,1.2,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark Superliga,2023-04-24 14:00:00,4,OB,Lyngby,1.92,3.65,3.3,1.03,12.5,1.27,3.7,1.84,2.04,1.36,3.0,1.67,2.1,1.3,1.27,1.75,1.36,0.69,1.35,1.48,2.83,1.81,9.4,2.33,1.13,1.55,1.55,1.9,2.39
Poland Ekstraklasa,2023-04-24 14:00:00,29,Radomiak Radom,Lech Poznań,3.3,3.3,2.1,1.06,8.0,1.33,3.25,2.1,1.74,1.4,2.75,1.8,1.95,1.8,1.32,1.17,1.07,1.73,1.64,1.81,3.45,3.1,7.5,1.56,1.32,1.58,2.02,2.7,3.8
Bulgaria First League,2023-04-24 14:00:00,27,Slavia Sofia,Botev Plovdiv,1.98,3.15,3.45,1.06,8.0,1.33,3.25,1.93,1.85,1.48,2.64,1.8,1.91,1.29,1.3,1.7,1.93,0.57,1.53,1.4,2.93,1.82,7.5,2.46,1.36,1.68,2.09,2.8,0.0
Portugal LigaPro,2023-04-24 14:00:00,29,Benfica II,CD Trofense,2.13,3.25,2.92,1.04,10.0,1.22,4.0,1.75,2.07,1.33,3.25,1.62,2.2,1.36,1.27,1.62,1.4,0.73,1.71,1.3,3.01,1.67,9.1,2.53,1.17,1.35,1.69,2.06,2.67
Portugal LigaPro,2023-04-24 14:00:00,29,Sporting Covilhã,CD Mafra,3.1,3.15,2.09,1.06,8.25,1.33,3.1,2.03,1.78,1.44,2.81,1.82,1.94,1.65,1.25,1.33,0.8,1.14,1.38,1.45,2.83,2.13,9.1,1.9,1.14,1.29,1.59,1.94,2.37
Turkey Süper Lig,2023-04-24 14:00:00,31,Antalyaspor,Sivasspor,2.18,3.4,3.0,1.06,9.0,1.29,3.25,1.93,1.95,1.4,2.75,1.7,2.05,1.28,1.32,1.7,1.53,1.19,1.82,1.47,3.29,1.65,6.5,2.95,1.3,1.55,1.98,2.7,3.8
Turkey Süper Lig,2023-04-24 14:00:00,31,Fenerbahçe,İstanbulspor,1.22,6.2,10.0,1.02,23.0,1.11,6.09,1.36,2.99,1.22,4.0,1.83,1.93,1.06,1.18,3.7,2.13,0.93,2.07,1.4,3.47,1.05,15.0,11.0,1.26,1.5,1.87,2.39,3.2
