League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Austria 2. Liga,2023-08-22,13:30:00,2,Horn,Liefering,2.89,3.81,2.27,1.02,12.0,1.2,4.2,1.62,2.2,1.25,3.6,1.44,2.63,1.66,1.2,1.35,3.0,3.0,1.71,1.5,3.21,2.1,5.75,2.0,1.22,1.35,2.2,2.07,2.64
Germany 3. Liga,2023-08-22,14:00:00,3,Preußen Münster,Ingolstadt,2.3,3.4,2.8,1.05,9.0,1.22,4.0,1.71,1.94,1.33,3.05,1.6,2.25,1.36,1.22,1.57,1.0,0.0,1.8,1.32,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany 3. Liga,2023-08-22,14:00:00,3,Dynamo Dresden,Waldhof Mannheim,1.65,3.8,4.33,1.04,10.0,1.22,4.0,1.67,2.0,1.33,3.05,1.68,2.1,1.16,1.2,1.95,3.0,0.0,1.6,1.39,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany 3. Liga,2023-08-22,14:00:00,3,Ulm,Arminia Bielefeld,3.2,3.4,2.05,1.05,9.0,1.25,3.75,1.7,1.95,1.35,2.95,1.62,2.2,1.68,1.22,1.35,1.0,0.0,1.28,1.16,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany 3. Liga,2023-08-22,14:00:00,3,Hallescher FC,MSV Duisburg,2.38,3.5,2.6,1.05,9.0,1.22,4.0,1.7,1.95,1.33,3.05,1.6,2.25,1.38,1.22,1.55,3.0,1.0,1.02,1.61,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany 3. Liga,2023-08-22,14:00:00,3,1860 München,VfB Lübeck,1.62,3.75,4.75,1.05,9.0,1.25,3.75,1.7,1.85,1.35,2.95,1.78,1.95,1.14,1.2,2.0,3.0,1.0,1.22,0.5,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe UEFA Champions League,2023-08-22,16:00:00,0,Raków Częstochowa,København,2.8,2.94,2.31,1.07,9.5,1.38,3.1,2.09,1.63,1.47,2.7,1.87,1.87,1.41,1.33,1.55,2.67,2.0,1.54,1.51,3.05,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0
Europe UEFA Champions League,2023-08-22,16:00:00,0,Rangers,PSV,2.28,3.09,2.72,1.0,10.5,1.21,3.82,1.83,1.78,1.33,3.16,1.59,2.27,1.53,1.29,1.47,2.0,3.0,2.19,2.17,4.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe UEFA Champions League,2023-08-22,16:00:00,0,Royal Antwerp FC,AEK Athens,2.09,3.6,3.65,1.03,10.5,1.25,3.8,1.93,1.93,1.37,2.8,1.74,2.06,1.35,1.29,1.65,0.0,2.0,0.0,1.58,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie B,2023-08-22,19:00:00,25,Mirassol,Juventude,2.11,2.67,3.55,1.12,5.5,1.53,2.35,2.61,1.4,1.58,2.2,2.2,1.58,1.28,1.36,1.65,1.83,1.67,1.7,1.26,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America Copa Libertadores,2023-08-22,19:00:00,0,Bolívar,Internacional,1.84,3.19,4.12,1.05,10.0,1.33,3.23,1.96,1.75,1.44,2.63,1.95,1.8,1.22,1.28,1.93,1.88,1.88,2.15,1.24,3.39,1.34,10.5,3.88,0.0,1.3,1.53,1.94,2.5
