IDMercado_MO,IDMercado_OU,IDMercado_BTTS,IDMercado_CS,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
1.216619849,1.216619833,1.216619848,1.216619858,South Korean K League 1,2023-08-05,07:30:00,Daegu FC,Ulsan Hyundai Horang-i,3.85,3.55,2.02,1.99,1.97,1.8,2.1,15.0,10.5,13.5,24.0,16.0,8.8,11.5,23.0,29.0,17.5,19.5,40.0,75.0,50.0,60.0,110.0,50.0,15.5
1.216539941,1.216539986,1.216540025,1.216539950,South Korean K League 2,2023-08-05,07:30:00,Busan IPark,Cheonan City,1.49,4.3,7.0,1.96,2.0,2.04,1.82,16.0,24.0,65.0,240.0,7.8,11.0,30.0,120.0,9.2,10.5,29.0,130.0,14.0,18.5,42.0,180.0,9.2,180.0
1.216546740,1.216546785,1.216546824,1.216546749,South Korean K League 2,2023-08-05,08:00:00,Gimpo Citizen,FC Anyang,3.85,3.2,2.14,2.32,1.64,2.0,1.83,10.0,8.2,13.0,30.0,12.5,7.8,12.0,29.0,28.0,18.0,24.0,55.0,90.0,65.0,85.0,170.0,80.0,26.0
1.216547087,1.216547097,1.216547086,1.216547096,German Bundesliga 2,2023-08-05,08:00:00,Holstein Kiel,Greuther Furth,2.46,3.95,2.8,1.63,2.42,1.57,2.56,21.0,16.5,24.0,44.0,17.5,10.0,14.0,29.0,21.0,12.5,17.0,36.0,38.0,26.0,34.0,65.0,15.5,18.5
1.216722122,1.216722185,1.216722224,1.216722149,Chinese League 1,2023-08-05,08:00:00,Yanbian Longding,Dantong Hantong,2.08,3.05,3.9,2.34,1.6,2.0,1.82,10.0,12.5,29.0,1.01,7.8,7.4,18.5,65.0,13.0,11.5,24.0,1.01,28.0,30.0,60.0,1.01,26.0,1.01
1.216555938,1.216555948,1.216555937,1.216555947,German Bundesliga 2,2023-08-05,08:00:00,St Pauli,Fortuna Dusseldorf,1.95,3.9,4.1,1.75,2.2,1.69,2.28,20.0,21.0,38.0,90.0,13.0,9.8,19.5,55.0,15.5,12.0,21.0,60.0,27.0,22.0,36.0,95.0,13.0,44.0
1.216722281,1.216722365,1.216722404,1.216722328,Chinese League 1,2023-08-05,08:00:00,Shenyang Urban FC,Suzhou Dongwu,2.98,2.92,2.32,1.45,1.13,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.216722500,1.216722545,1.216722584,1.216722509,Estonian Esiliiga,2023-08-05,08:00:00,FC Elva,FC Tallinn,2.76,4.2,2.22,1.36,3.1,1.41,2.84,36.0,24.0,24.0,34.0,26.0,15.0,15.0,24.0,29.0,16.5,16.0,25.0,46.0,29.0,28.0,44.0,13.0,9.6
1.216547195,1.216547205,1.216547194,1.216547204,German Bundesliga 2,2023-08-05,08:00:00,Elversberg,Hansa Rostock,2.22,3.85,3.35,1.78,2.14,1.67,2.32,17.5,17.0,25.0,60.0,13.5,8.8,14.5,36.0,15.5,11.5,18.5,46.0,32.0,22.0,34.0,80.0,15.5,29.0
1.216466110,1.216466155,1.216466194,1.216466119,Swedish Superettan,2023-08-05,08:00:00,AFC Eskilstuna,Osters,4.0,4.0,1.91,1.76,2.1,1.68,2.2,18.5,11.5,13.5,23.0,18.5,9.6,11.0,19.5,34.0,17.5,19.0,34.0,85.0,48.0,55.0,90.0,44.0,11.5
1.216721960,1.216722005,1.216722044,1.216721969,Chinese League 1,2023-08-05,08:30:00,Shanghai Jiading,Wuxi Wugou,1.59,3.65,7.2,2.3,1.59,2.26,1.58,11.0,21.0,70.0,1.01,6.8,10.0,36.0,1.01,8.8,12.0,36.0,1.01,16.5,24.0,65.0,1.01,15.0,1.01
1.216721870,1.216721915,1.216721954,1.216721879,Chinese League 1,2023-08-05,08:30:00,Jinan Xingzhou,Hebei KungFu,2.44,2.9,3.0,2.38,1.5,1.9,1.79,990.0,990.0,25.0,1.01,990.0,990.0,990.0,1.01,990.0,990.0,26.0,1.01,1.01,42.0,1.01,1.01,42.0,1.01
1.216722050,1.216722095,1.216722140,1.216722059,Chinese League 2,2023-08-05,08:30:00,Yunnan Yukun,Hainan Star,1.24,5.7,13.5,1.63,2.24,2.2,1.61,25.0,1.01,1.01,1.01,10.0,16.5,1.01,1.01,7.8,13.0,1.01,1.01,10.5,16.0,55.0,1.01,5.3,1.01
1.215680620,1.215680630,1.215680619,1.215680629,Scottish Premiership,2023-08-05,08:30:00,Celtic,Ross Co,1.12,12.5,30.0,1.31,3.85,2.2,1.75,60.0,140.0,400.0,1.01,14.0,32.0,130.0,580.0,9.4,14.5,70.0,360.0,8.8,13.5,46.0,280.0,2.42,630.0
1.216543179,1.216543224,1.216543263,1.216543188,Chinese Super League,2023-08-05,08:35:00,Cangzhou Mighty Lions,Shenzhen FC,1.13,12.0,23.0,1.45,3.0,2.7,1.55,44.0,80.0,300.0,1.01,12.0,32.0,110.0,1.01,7.8,17.0,80.0,1.01,8.0,16.0,65.0,1.01,3.1,1.01
