IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
1.215191490,South Korean K League 1,2023-06-24,07:30:00,Ulsan Hyundai Horang-i,Daegu FC,1.56,3.9,5.7,1.79,2.1,1.92,1.98,1.01,1.01,1.01,1.01,1.01,11.0,1.01,1.01,1.01,1.01,24.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215192121,South Korean K League 2,2023-06-24,08:00:00,Gimcheon Sangmu,Cheonan City,1.17,1.06,1.04,1.59,2.28,1.01,1.01,1.01,1.01,1.01,1.01,8.2,1.01,1.01,1.01,7.6,11.0,48.0,1.01,1.01,16.0,1.01,1.01,1.01,1.01
1.215120474,Norwegian 1st Division,2023-06-24,10:00:00,Ranheim IL,Mjondalen,1.95,3.9,3.55,1.52,2.56,1.47,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215458458,Uruguayan Segunda Division,2023-06-24,10:00:00,Rampla Juniors,Progreso,2.94,2.96,2.14,2.32,1.65,1.01,1.01,1.01,1.01,1.01,1.01,1.01,8.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215458548,Uruguayan Segunda Division,2023-06-24,10:00:00,IA Potencia,Bella Vista,2.34,2.96,3.0,2.28,1.67,1.01,1.01,11.0,12.0,25.0,1.01,9.4,8.0,1.01,1.01,15.5,13.5,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215120564,Norwegian 1st Division,2023-06-24,10:00:00,Hodd,Bryne,2.3,3.35,3.2,1.91,1.93,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215461055,Brazilian Serie D,2023-06-24,11:00:00,Nova Iguacu,Resende,3.05,2.98,2.5,1.45,1.07,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215412183,Icelandic 1 Deild,2023-06-24,11:00:00,Fjolnir,IF Vestri,1.5,4.6,5.2,1.38,2.86,1.01,2.34,34.0,1.01,1.01,1.01,15.5,14.0,1.01,1.01,13.5,12.0,1.01,1.01,18.5,16.0,28.0,1.01,6.0,1.01
1.215198801,Brazilian Serie B,2023-06-24,11:00:00,Botafogo SP,Vila Nova,3.0,3.05,2.84,2.6,1.51,2.0,1.76,9.0,9.0,1.01,1.01,9.4,1.01,1.01,1.01,20.0,1.01,27.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215412093,Icelandic 1 Deild,2023-06-24,11:00:00,Njardvik,Thor,2.28,1.01,2.5,1.51,2.52,1.42,2.78,27.0,19.0,24.0,1.01,1.01,11.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,13.5,15.5
1.215418227,Argentinian Primera B Nacional,2023-06-24,12:10:00,Villa Dalmine,Chacarita,5.3,3.15,1.68,2.26,1.59,2.34,1.57,1.01,6.8,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215315438,Uruguayan Primera Division,2023-06-24,12:30:00,River Plate (Uru),Defensor Sporting,1.38,1.35,2.3,2.12,1.78,1.85,1.94,1.01,1.01,1.01,1.01,1.01,8.2,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215040467,Norwegian Eliteserien,2023-06-24,13:00:00,Viking,Brann,2.86,4.2,2.38,1.46,3.0,1.43,3.05,34.0,21.0,22.0,36.0,23.0,12.0,12.5,21.0,26.0,13.5,14.0,25.0,48.0,25.0,28.0,46.0,13.5,120.0
1.215463203,Brazilian Serie D,2023-06-24,15:00:00,Athletic Club,Vitoria ES,1.62,3.6,1.02,1.33,1.05,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215463113,Brazilian Serie D,2023-06-24,15:00:00,Santo Andre,Portuguesa RJ,2.84,2.86,2.8,1.52,1.05,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215120654,Norwegian 1st Division,2023-06-24,15:00:00,Sogndal,Fredrikstad,2.36,3.15,3.3,2.06,1.77,1.01,2.04,1.01,1.01,1.01,1.01,1.01,8.4,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215463293,Uruguayan Segunda Division,2023-06-24,15:00:00,Club Oriental de La Paz,Miramar Misiones,2.7,3.0,2.7,1.34,1.09,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215315908,Uruguayan Primera Division,2023-06-24,15:00:00,Plaza Colonia,Centro Atletico Fenix,2.86,3.25,2.56,2.26,1.69,1.89,1.92,10.5,10.0,1.01,1.01,11.0,7.6,1.01,1.01,19.5,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215418407,Argentinian Primera B Nacional,2023-06-24,15:00:00,Deportivo Madryn,Tristan Suarez,2.16,3.05,3.8,2.2,1.58,2.02,1.75,10.0,13.0,1.01,1.01,8.6,8.2,1.01,1.01,14.5,13.5,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215463023,Brazilian Serie D,2023-06-24,15:00:00,Hercilio Luz,Concordia CA,1.77,3.1,1.02,1.53,1.05,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215418317,Argentinian Primera B Nacional,2023-06-24,15:00:00,Almagro BA,Defensores de Belgrano,2.56,2.76,3.45,2.88,1.36,2.58,1.48,6.8,10.0,1.01,1.01,7.6,8.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215418497,Argentinian Primera B Nacional,2023-06-24,15:10:00,Agropecuario,Almirante Brown,1.99,2.64,4.5,2.48,1.5,2.26,1.6,9.2,14.0,1.01,1.01,7.4,8.6,25.0,1.01,12.0,13.0,30.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215464076,Brazilian Serie D,2023-06-24,15:30:00,Ceilandia Esporte Clube,Brasiliense,2.1,3.0,3.5,2.24,1.69,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215463986,Brazilian Serie D,2023-06-24,15:30:00,Real Noroeste,Democrata GV,2.92,2.96,2.44,2.26,1.68,1.86,1.8,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215418587,Argentinian Primera B Nacional,2023-06-24,15:30:00,San Telmo,Estudiantes Rio Cuarto,2.54,2.64,3.15,2.4,1.56,1.97,1.8,9.4,10.0,1.01,1.01,9.4,7.6,1.01,1.01,18.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215191107,Brazilian Serie B,2023-06-24,16:00:00,Avai,Londrina,1.92,3.5,4.8,2.28,1.66,1.98,1.78,11.0,1.01,1.01,1.01,7.6,8.2,1.01,1.01,11.0,11.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215245594,Brazilian Serie A,2023-06-24,16:00:00,Athletico-PR,Corinthians,2.08,3.3,4.4,2.42,1.62,2.14,1.78,1.01,12.5,29.0,110.0,7.2,7.6,18.5,70.0,11.0,11.5,24.0,95.0,25.0,28.0,60.0,190.0,24.0,100.0
1.215396068,Brazilian Serie C,2023-06-24,16:00:00,Manaus FC,Confianca,2.1,3.05,3.8,2.64,1.52,1.01,1.01,9.8,1.01,1.01,1.01,8.0,8.4,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215444273,Bolivian Liga de Futbol Profesional,2023-06-24,16:00:00,Nacional Potosi,The Strongest,2.36,3.75,2.8,1.01,1.29,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215418677,Argentinian Primera B Nacional,2023-06-24,16:10:00,Independiente Rivadavia,Chaco For Ever,1.64,3.25,2.32,2.22,1.63,2.22,1.62,11.0,1.01,1.01,1.01,7.0,9.0,1.01,1.01,9.0,10.5,1.01,1.01,1.01,22.0,1.01,1.01,1.01,1.01
1.215418767,Argentinian Primera B Nacional,2023-06-24,16:30:00,San Martin de San Juan,Patronato,2.06,3.05,3.9,2.34,1.53,2.08,1.7,9.0,1.01,1.01,1.01,7.2,1.01,1.01,1.01,12.0,12.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215396158,Brazilian Serie C,2023-06-24,16:30:00,Remo,Figueirense,1.95,3.0,3.9,2.7,1.5,2.1,1.01,9.4,1.01,1.01,1.01,7.4,8.8,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215381711,Argentinian Primera Division,2023-06-24,17:00:00,Union Santa Fe,CA Independiente,2.38,3.15,3.5,2.52,1.54,2.1,1.8,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215391911,Venezuelan Primera Division,2023-06-24,17:00:00,Rayo Zuliano,Universidad de Venezuela,2.18,1.01,3.4,1.39,1.07,1.91,1.91,11.0,14.5,32.0,1.01,10.5,7.6,19.5,1.01,16.0,13.5,1.01,1.01,36.0,32.0,1.01,1.01,27.0,1.01
1.215465166,Brazilian Serie D,2023-06-24,17:00:00,Operario MS,Cascavel PR,2.86,2.9,2.64,2.66,1.52,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215465441,Brazilian Serie D,2023-06-24,17:00:00,Camboriu,Independente FSJ,2.64,2.88,2.9,1.55,1.02,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215189148,Brazilian Serie B,2023-06-24,17:00:00,Chapecoense,Criciuma,2.8,3.05,3.0,2.54,1.52,1.99,1.77,9.6,10.5,23.0,1.01,9.6,8.0,17.0,1.01,18.5,15.0,27.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215465531,Brazilian Serie D,2023-06-24,17:00:00,Sao Raimundo,Nacional AM,2.84,3.1,2.5,1.35,1.05,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215396248,Brazilian Serie C,2023-06-24,17:00:00,Brusque FC,Floresta EC,1.7,3.2,5.4,2.82,1.47,1.01,1.01,1.01,1.01,1.01,1.01,5.9,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.215465351,Brazilian Serie D,2023-06-24,17:15:00,XV de Piracicaba,Inter Limeira,2.04,3.1,3.4,2.06,1.66,1.85,1.84,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
