ID_Evento,IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
32891786,1.222807156,Friendlies International,2024-01-01,02:00:00,Japan,Thailand,1.06,15.0,50.0,1.39,2.76,3.35,1.27,50.0,1.01,1.01,1.01,12.5,50.0,1.01,1.01,7.8,24.0,1.01,1.01,7.0,26.0,1.01,1.01,2.94,1.01
32886280,1.222722453,Australian A-League Men,2024-01-01,03:00:00,Western Sydney Wanderers,Macarthur FC,1.82,4.4,4.3,1.5,2.66,1.57,2.58,26.0,26.0,40.0,95.0,15.0,11.0,17.5,44.0,14.5,10.5,16.5,44.0,20.0,17.0,24.0,65.0,7.8,32.0
32904586,1.223037651,Saudi 1st Division,2024-01-01,09:25:00,Al-Kholood Club,Al Safa,1.01,1.03,1.01,1.01,1.01,1.77,2.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32897278,1.222911790,English Championship,2024-01-01,09:30:00,Sunderland,Preston,1.65,4.2,6.0,1.9,1.94,1.98,1.91,15.0,21.0,48.0,180.0,8.6,9.4,23.0,90.0,9.6,10.0,23.0,95.0,15.5,18.5,40.0,140.0,10.5,120.0
32904592,1.223037322,Saudi 1st Division,2024-01-01,09:45:00,Al-Ain,Jeddah Club,1.01,1.03,1.01,1.01,1.01,1.76,2.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32898073,1.222925685,English National League South,2024-01-01,10:00:00,Hampton and Richmond,Slough Town,2.78,3.75,2.46,1.75,2.06,1.64,2.28,17.5,14.0,18.5,980.0,980.0,8.8,12.0,27.0,22.0,13.0,16.5,38.0,1.01,32.0,42.0,980.0,980.0,980.0
32900193,1.222960506,English National League North,2024-01-01,10:00:00,Brackley Town,Banbury Utd,1.66,3.9,5.7,1.89,1.82,1.9,1.81,15.5,18.5,46.0,1.01,9.0,10.5,23.0,1.01,11.0,11.5,27.0,1.01,18.5,21.0,46.0,1.01,12.0,1.01
32899872,1.222954367,Egyptian Premier,2024-01-01,11:00:00,El Daklyeh,Al Ittihad (EGY),3.7,3.0,1.96,2.16,1.55,1.91,1.72,11.5,8.8,13.5,30.0,15.0,8.8,13.0,32.0,36.0,22.0,27.0,60.0,1.01,80.0,100.0,1.01,110.0,25.0
32904593,1.223037311,Saudi 1st Division,2024-01-01,11:55:00,Al Faisaly ( KSA ),Al Najma Club,1.01,1.03,1.01,1.01,1.01,1.77,2.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32898909,1.222934867,English League 2,2024-01-01,12:00:00,Colchester,Gillingham,2.82,3.5,2.58,1.89,1.94,1.69,2.08,16.0,13.0,19.5,42.0,13.5,9.0,13.5,32.0,22.0,14.5,19.5,44.0,50.0,34.0,48.0,100.0,28.0,24.0
32898808,1.222931978,English National League,2024-01-01,12:00:00,Chesterfield,Solihull Moors,1.31,6.0,9.6,1.45,2.6,1.85,1.86,32.0,46.0,120.0,1.01,12.5,16.5,44.0,1.01,10.5,12.0,32.0,1.01,12.0,15.5,36.0,1.01,4.6,1.01
32898814,1.222932159,English National League,2024-01-01,12:00:00,Oxford City,Dorking Wanderers,2.04,3.8,3.15,1.55,2.34,1.56,2.32,24.0,21.0,29.0,60.0,15.5,11.5,16.5,38.0,17.5,12.5,17.5,40.0,28.0,23.0,30.0,70.0,12.0,25.0
32898815,1.222932633,English National League,2024-01-01,12:00:00,Wealdstone,Maidenhead,1.99,3.2,3.25,1.77,1.87,1.64,2.0,17.5,16.5,29.0,75.0,12.5,9.8,17.5,46.0,16.5,13.0,21.0,60.0,34.0,27.0,42.0,110.0,19.0,42.0
