IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
1.216137563,Japanese J League 2,2023-07-24,07:00:00,Kumamoto,Okayama,2.5,3.25,3.0,2.06,1.79,1.86,2.04,12.5,12.5,21.0,55.0,10.5,7.8,14.5,40.0,16.5,12.5,19.5,55.0,36.0,30.0,48.0,120.0,26.0,38.0
1.216213003,South Korean K League 2,2023-07-24,07:00:00,Gimpo Citizen,Ansan Greeners FC,1.75,3.75,4.9,2.06,1.79,1.96,1.87,13.5,17.5,40.0,130.0,8.0,9.0,22.0,80.0,11.0,10.5,24.0,95.0,1.01,22.0,44.0,160.0,14.0,110.0
1.216211168,South Korean K League 2,2023-07-24,07:30:00,Busan IPark,FC Anyang,2.92,3.3,2.58,2.18,1.79,1.86,2.0,13.5,12.0,19.5,48.0,13.0,8.8,14.5,38.0,22.0,15.5,23.0,60.0,60.0,42.0,65.0,1.01,42.0,34.0
1.215750181,Romanian Liga I,2023-07-24,12:30:00,Botosani,ACS Petrolul 52,2.32,3.2,3.45,2.34,1.63,1.94,1.87,11.0,12.0,24.0,70.0,9.0,7.6,16.0,50.0,14.0,12.0,22.0,75.0,36.0,34.0,60.0,160.0,32.0,60.0
1.216211259,Czech 2 Liga,2023-07-24,12:30:00,FC Zbrojovka Brno,FC Sellier & Bellot Vlasim,1.8,3.9,4.4,1.75,2.06,1.73,2.12,17.5,19.5,38.0,1.01,10.5,9.6,19.5,1.01,12.0,10.5,19.0,60.0,21.0,19.5,32.0,1.01,12.0,55.0
1.215878637,Polish I Liga,2023-07-24,13:00:00,Stal Rzeszow,Odra Opole,2.38,3.4,2.96,1.9,1.93,1.73,2.14,15.0,14.0,22.0,50.0,12.0,8.6,14.5,36.0,17.0,12.5,18.0,48.0,34.0,27.0,40.0,95.0,21.0,32.0
1.216166521,Bulgarian A League,2023-07-24,13:00:00,Botev Vratsa,Slavia Sofia,3.85,3.3,2.04,2.2,1.69,1.92,1.93,13.5,9.8,14.5,29.0,15.5,9.0,12.5,29.0,32.0,20.0,24.0,55.0,95.0,65.0,85.0,1.01,80.0,23.0
1.215772915,Polish Ekstraklasa,2023-07-24,14:00:00,Korona Kielce,Slask Wroclaw,2.66,3.4,2.84,2.04,1.81,1.83,2.08,15.0,13.5,22.0,55.0,12.5,9.2,15.5,40.0,20.0,14.5,22.0,55.0,46.0,36.0,55.0,130.0,30.0,34.0
1.216023058,Swedish Allsvenskan,2023-07-24,14:00:00,Sirius,Mjallby,2.18,3.5,3.6,2.0,1.86,1.8,2.08,14.0,14.0,26.0,70.0,10.5,8.6,15.5,44.0,14.5,12.0,19.5,55.0,29.0,25.0,42.0,110.0,18.0,44.0
1.215780767,Danish Superliga,2023-07-24,14:00:00,FC Nordsjaelland,Viborg,2.5,3.65,2.94,1.75,2.2,1.63,2.4,18.5,17.0,23.0,55.0,14.5,9.0,14.0,34.0,19.5,13.0,18.0,44.0,42.0,29.0,40.0,85.0,19.5,25.0
1.216023511,Swedish Superettan,2023-07-24,14:00:00,GAIS,Vasteras SK,1.99,3.8,3.8,1.72,2.14,1.69,2.24,18.0,18.0,30.0,70.0,11.5,9.2,16.5,44.0,14.0,11.0,18.0,50.0,24.0,21.0,34.0,85.0,12.5,38.0
1.216023691,Swedish Superettan,2023-07-24,14:00:00,Helsingborgs,Trelleborgs,2.06,3.5,3.7,1.95,1.9,1.84,1.99,15.5,17.0,32.0,85.0,11.0,9.4,19.5,60.0,15.0,12.5,23.0,70.0,28.0,27.0,46.0,130.0,18.5,60.0
1.216189882,Lithuanian A Lyga,2023-07-24,14:00:00,Panevezys,Fk Siauliai,1.98,3.35,4.0,2.32,1.69,1.96,1.84,12.5,14.5,32.0,1.01,8.0,8.6,19.5,1.01,12.5,11.0,25.0,1.01,25.0,26.0,1.01,1.01,21.0,1.01
1.215957850,Norwegian Eliteserien,2023-07-24,14:00:00,Viking,Aalesunds,1.34,6.4,9.4,1.46,2.92,1.81,2.12,34.0,44.0,95.0,290.0,13.5,16.5,38.0,1.01,11.0,11.5,26.0,90.0,12.5,14.5,28.0,100.0,4.2,110.0
1.216076794,Icelandic Urvalsdeild,2023-07-24,15:00:00,Keflavik,KA Akureyri,2.82,3.4,2.38,1.69,2.22,1.63,2.36,21.0,15.5,21.0,40.0,17.5,10.5,13.5,28.0,26.0,15.5,19.0,40.0,55.0,36.0,44.0,85.0,26.0,18.5
1.216185754,Peruvian Primera Division,2023-07-24,15:00:00,Binacional,Deportivo Municipal,1.47,5.0,7.4,1.75,2.16,1.9,1.92,21.0,27.0,75.0,1.01,10.0,12.5,30.0,120.0,9.8,12.0,29.0,110.0,14.5,17.5,44.0,1.01,7.6,1.01
1.216344769,Brazilian U20,2023-07-24,15:00:00,Pacajus EC U20,AE Tiradentes U20,1.89,3.5,3.6,1.64,2.22,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
1.216166611,Bulgarian A League,2023-07-24,15:15:00,Beroe Stara Za,Arda,3.85,3.1,2.1,2.2,1.65,1.96,1.94,12.5,9.4,14.0,32.0,15.0,9.0,13.0,30.0,34.0,20.0,25.0,1.01,1.01,1.01,1.01,1.01,1.01,24.0
