IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
1.214833134,South Korean K League 1,2023-06-06,04:30:00,Suwon FC,Ulsan Hyundai Horang-i,5.8,4.5,1.59,1.61,2.42,1.7,2.24,25.0,13.0,12.5,17.0,30.0,12.5,11.0,17.0,55.0,26.0,21.0,30.0,150.0,75.0,70.0,90.0,65.0,7.2
1.214836565,South Korean K League 1,2023-06-06,06:00:00,Pohang Steelers,Jeju Utd,2.1,3.5,3.85,2.06,1.78,1.87,2.06,12.5,14.0,29.0,85.0,9.4,8.2,17.0,55.0,13.5,11.5,21.0,70.0,28.0,25.0,44.0,130.0,19.5,60.0
1.214796387,Swedish Superettan,2023-06-06,10:00:00,Orgryte,Landskrona,2.16,3.6,3.55,1.86,2.0,1.75,2.14,15.5,15.5,26.0,65.0,11.5,8.6,16.0,42.0,15.0,12.0,18.0,55.0,27.0,24.0,38.0,95.0,16.5,40.0
1.214796297,Swedish Superettan,2023-06-06,10:00:00,Helsingborgs,Jonkopings Sodra,2.56,3.55,2.9,1.95,1.9,1.75,2.12,14.0,12.5,21.0,46.0,11.5,8.2,14.0,34.0,17.5,12.5,18.0,1.01,38.0,30.0,44.0,100.0,24.0,30.0
1.214783501,Swedish Superettan,2023-06-06,10:00:00,Sundsvall,GAIS,3.8,3.55,2.02,1.84,2.02,1.73,2.16,16.5,11.5,15.0,26.0,17.5,9.4,12.0,24.0,30.0,18.0,19.5,38.0,75.0,48.0,60.0,100.0,46.0,15.5
1.214892684,Turkish Super League,2023-06-06,11:00:00,Fatih Karagumruk Istanbul,Kasimpasa,2.14,4.3,3.05,1.4,3.2,1.4,3.3,38.0,30.0,36.0,60.0,24.0,13.5,16.5,32.0,24.0,12.5,15.0,32.0,34.0,21.0,24.0,46.0,7.8,13.5
1.214892468,Turkish Super League,2023-06-06,11:00:00,Sivasspor,Kayserispor,1.77,4.3,4.8,1.61,2.44,1.65,2.38,23.0,24.0,42.0,100.0,12.5,10.5,19.5,55.0,13.5,10.5,17.5,55.0,19.0,16.5,26.0,75.0,8.0,42.0
1.214933953,Egyptian Premier,2023-06-06,13:00:00,Pharco FC,Pyramids,5.5,3.2,1.8,2.54,1.52,2.28,1.66,10.5,6.8,10.5,22.0,16.0,8.4,11.5,30.0,46.0,27.0,36.0,75.0,200.0,130.0,170.0,1.01,1.01,24.0
1.214899233,Egyptian Premier,2023-06-06,13:00:00,El Daklyeh,Haras El Hodood,2.02,2.94,4.5,2.5,1.51,2.14,1.79,1.01,15.0,40.0,150.0,7.8,8.2,25.0,100.0,13.0,13.0,30.0,140.0,29.0,34.0,75.0,260.0,29.0,170.0
1.214901554,Bulgarian A League,2023-06-06,13:30:00,Slavia Sofia,Lokomotiv Sofia,1.56,3.8,6.4,2.3,1.61,2.42,1.6,11.0,18.0,60.0,1.01,6.4,10.0,32.0,1.01,8.4,11.0,38.0,1.01,15.5,22.0,65.0,1.01,14.5,1.01
1.214899750,Bulgarian A League,2023-06-06,13:30:00,Botev Plovdiv,Arda,21.0,8.6,1.12,1.48,2.44,2.92,1.46,28.0,10.5,7.8,6.8,65.0,29.0,15.0,21.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,3.6
1.214892576,Turkish Super League,2023-06-06,14:00:00,Basaksehir,Trabzonspor,2.26,3.8,3.2,1.71,2.22,1.65,2.36,19.0,17.0,24.0,55.0,13.5,9.4,14.5,34.0,16.0,11.5,16.0,40.0,55.0,27.0,38.0,70.0,15.5,26.0
