ID_Evento,IDMercado,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_Goleada_H,CS_Goleada_A
32785477,1.220984660,Croatian 2 HNL,2023-11-13,10:00:00,NK Jarun,Cibalia Vinkovci,1.04,1.01,1.04,1.01,1.08,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32782866,1.220655263,Romanian Liga II,2023-11-13,12:30:00,CSA Steaua Bucuresti,Csikszereda,1.04,1.01,1.04,1.01,1.04,1.91,1.83,13.5,9.6,12.5,24.0,18.0,9.4,12.0,25.0,38.0,22.0,25.0,50.0,130.0,75.0,90.0,150.0,95.0,18.5
32776213,1.220655083,Polish Ekstraklasa,2023-11-13,15:00:00,Ruch Chorzow,Radomiak Radom,2.56,3.05,2.32,1.83,1.78,1.76,1.96,14.0,14.5,26.0,65.0,11.0,8.6,16.5,46.0,16.0,12.5,21.0,65.0,32.0,29.0,46.0,120.0,22.0,48.0
32779992,1.220844756,Danish 1st Division,2023-11-13,15:00:00,Hobro,Hillerod Fodbold,2.3,3.45,3.0,1.92,1.88,1.72,2.12,17.0,17.5,34.0,90.0,11.0,9.2,18.0,50.0,13.0,11.0,19.5,60.0,24.0,21.0,36.0,95.0,12.5,48.0
32782659,1.220657908,Romanian Liga I,2023-11-13,15:30:00,UTA Arad,Otelul Galati,2.56,2.8,2.8,2.36,1.53,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32788074,1.220907632,Argentinian Primera B Nacional,2023-11-13,15:30:00,Quilmes,Deportivo Riestra,1.05,1.07,1.07,1.01,1.04,1.01,1.01,980.0,980.0,1.01,1.01,980.0,1.01,1.01,1.01,980.0,980.0,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32781022,1.220817227,Italian Serie C,2023-11-13,16:30:00,AZ Picerno ASD,Potenza,2.46,3.05,3.25,1.01,1.06,1.85,1.8,10.5,11.5,24.0,980.0,9.6,8.0,17.0,980.0,17.0,14.5,24.0,980.0,980.0,42.0,980.0,980.0,38.0,980.0
32791963,1.220945222,English National League South,2023-11-13,16:45:00,Aveley,Chelmsford,3.25,3.55,2.2,1.01,1.04,1.83,2.0,13.5,10.5,14.5,36.0,13.5,8.4,980.0,26.0,29.0,15.0,20.0,42.0,80.0,44.0,980.0,120.0,46.0,25.0
32781023,1.220817227,Italian Serie C,2023-11-13,16:45:00,Pro Vercelli,Novara,2.46,3.05,3.25,1.01,1.07,1.85,1.8,10.5,11.5,24.0,980.0,9.6,8.0,17.0,980.0,17.0,14.5,24.0,980.0,980.0,42.0,980.0,980.0,38.0,980.0
32783712,1.220971860,Italian Serie C,2023-11-13,16:45:00,Benevento,FC Giugliano,1.76,2.9,1.68,1.01,1.06,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32781024,1.220971860,Italian Serie C,2023-11-13,16:45:00,Juve Stabia,Foggia,1.76,2.9,1.68,1.01,1.06,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32786540,1.220792880,Northern Irish Premiership,2023-11-13,16:45:00,Coleraine,Glentoran,1.04,1.01,1.04,1.01,1.07,1.59,1.01,980.0,980.0,980.0,1.01,980.0,980.0,980.0,1.01,1.01,980.0,1.01,1.01,1.01,1.01,1.01,1.01,980.0,980.0
32781049,1.220842132,Italian Serie C,2023-11-13,16:45:00,Pescara,Rimini,1.04,1.01,1.04,1.01,1.06,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01
32781299,1.220772890,Italian Serie C,2023-11-13,16:45:00,Lucchese,Entella,1.41,4.5,10.0,1.01,1.07,2.48,1.51,12.5,32.0,980.0,1.01,6.6,12.5,980.0,1.01,7.2,12.0,980.0,980.0,12.5,22.0,980.0,1.01,10.0,1.01
32781089,1.220802268,Spanish Segunda Division,2023-11-13,17:00:00,Oviedo,FC Cartagena,1.75,3.35,5.5,2.46,1.54,2.22,1.67,13.5,25.0,80.0,370.0,6.8,10.5,36.0,180.0,7.4,10.0,32.0,170.0,12.0,17.0,48.0,230.0,10.5,270.0
32781080,1.220772620,French National,2023-11-13,17:00:00,Le Mans,Chateauroux,1.03,1.08,1.08,1.01,1.16,1.88,1.86,10.5,11.5,22.0,60.0,9.0,7.2,15.0,46.0,14.5,12.0,20.0,65.0,34.0,30.0,50.0,140.0,27.0,50.0
