League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_Under55_FT_Back,Odd_Under55_FT_Lay,Odd_Over55_FT_Back,Odd_Over55_FT_Lay,Odd_Under65_FT_Back,Odd_Under65_FT_Lay,Odd_Over65_FT_Back,Odd_Over65_FT_Lay,Odd_Under75_FT_Back,Odd_Under75_FT_Lay,Odd_Over75_FT_Back,Odd_Over75_FT_Lay,Odd_Under85_FT_Back,Odd_Under85_FT_Lay,Odd_Over85_FT_Back,Odd_Over85_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Mexican Ascenso MX,2024-03-08,00:05:00,Tapatio,Alebrijes De Oaxaca,1.59,1.65,6.0,6.6,4.2,4.6,2.44,980.0,1.39,1.5,1.48,1.57,2.74,3.1,1.12,1.17,7.0,980.0,4.1,980.0,1.04,1.09,4.1,4.6,1.28,1.33,2.06,2.22,1.82,1.94,1.41,1.48,3.1,3.45,1.13,1.23,5.3,8.8,1.05,1.23,5.3,26.0,1.01,1.07,5.3,100.0,1.01,1.07,7.6,970.0,1.01,1.07,7.6,1000.0,1.89,2.02,1.98,2.12,13.5,18.5,17.5,24.0,6.0,980.0,6.4,980.0,7.4,9.8,8.2,11.0,19.0,980.0,6.2,980.0,8.0,11.0,8.2,11.0,18.0,980.0,6.2,980.0,12.5,17.0,13.5,18.5,5.8,980.0,6.4,980.0,4.0,9.6,6.4,980.0,6.8,1000.0,33069389,35601788.0,13625306.0,58805.0,1.225537037,1.225537040,1.225537042,1.225537035,1.225537041,1.225537085,1.225537082,1.225537086,1.225537083,1.225537045,1.225537043,1.225537036,1.225537034,1.225537121,1.225537046
Indonesian Liga 1,2024-03-08,05:00:00,Persik Kediri,RANS Nusantara FC,1.58,1.67,5.6,7.6,4.3,4.9,3.0,980.0,1.28,1.49,1.54,1.79,2.28,55.0,1.12,1.22,5.5,980.0,16.5,26.0,1.04,1.07,4.3,5.2,1.24,1.31,2.16,2.46,1.69,1.87,1.45,1.57,2.76,3.25,1.16,1.57,2.76,7.2,1.06,1.29,2.76,18.0,1.02,1.05,4.4,55.0,1.01,1.05,9.2,970.0,1.01,1.05,9.2,1000.0,1.81,1.95,2.06,2.24,13.5,980.0,16.5,980.0,4.0,980.0,4.2,980.0,7.4,12.0,7.8,13.0,16.5,980.0,4.1,980.0,7.6,12.5,7.6,12.5,15.5,980.0,4.1,980.0,11.5,19.0,12.0,20.0,3.9,980.0,4.1,980.0,2.98,9.6,4.1,980.0,4.3,1000.0,33079488,2373015.0,52729394.0,58805.0,1.225699057,1.225699060,1.225699062,1.225699055,1.225699061,1.225699105,1.225699102,1.225699106,1.225699103,1.225699065,1.225699063,1.225699056,1.225699054,1.225699141,1.225699066
Indonesian Liga 1,2024-03-08,05:00:00,PSM Makassar,Pss Sleman,1.6,1.69,5.9,7.8,4.0,4.5,2.44,980.0,1.19,1.55,1.42,1.52,2.48,6.6,1.1,1.15,8.0,980.0,11.5,18.0,1.06,1.1,3.6,4.3,1.3,1.39,1.89,2.02,1.99,2.14,1.34,1.4,3.5,3.95,1.11,1.4,3.5,10.5,1.04,1.3,3.5,36.0,1.01,1.05,4.3,110.0,1.01,1.05,8.6,1000.0,1.01,1.05,8.6,1000.0,2.02,2.18,1.85,1.97,11.5,980.0,5.4,980.0,6.2,980.0,6.8,1000.0,6.4,8.4,7.8,10.5,5.7,980.0,6.6,980.0,7.4,9.8,8.4,11.5,5.7,980.0,6.6,980.0,5.0,980.0,5.2,980.0,6.0,980.0,6.8,1000.0,4.3,11.0,6.4,980.0,6.8,1000.0,33079298,9433230.0,13082110.0,58805.0,1.225698316,1.225698319,1.225698321,1.225698314,1.225698320,1.225698364,1.225698361,1.225698365,1.225698362,1.225698324,1.225698322,1.225698315,1.225698313,1.225698400,1.225698325
Vietnamese V-League 2,2024-03-08,05:00:00,Tuan Tu Phu Tho,Dong Nai,1.9,980.0,1.33,3.0,1.76,980.0,2.4,980.0,1.18,1.72,1.02,1000.0,1.01,1000.0,1.07,1.12,9.8,15.5,1.28,980.0,1.03,4.6,1.28,3.1,1.47,4.6,1.28,3.1,1.48,4.6,1.06,980.0,1.48,26.0,1.05,980.0,1.48,55.0,1.03,980.0,1.48,980.0,1.01,980.0,1.48,1000.0,1.01,980.0,1.48,1000.0,1.01,3.05,1.48,1000.0,1.1,1000.0,1.1,1000.0,1.49,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,33087169,26963343.0,9094955.0,58805.0,1.225840172,1.225840175,1.225840177,1.225840170,1.225840176,1.225840220,1.225840217,1.225840221,1.225840218,1.225840180,1.225840178,1.225840171,1.225840169,1.225840256,1.225840181
Vietnamese V-League 2,2024-03-08,05:00:00,Hue FC,Pho Hien FC,1.51,980.0,1.5,980.0,1.5,980.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.04,1000.0,1.01,26.0,1.28,990.0,1.05,1.17,1.28,2.6,1.62,4.6,1.28,2.6,1.63,4.6,1.06,36.0,1.63,26.0,1.05,11.0,1.63,55.0,1.03,980.0,1.63,980.0,1.01,980.0,1.63,1000.0,1.01,2.6,1.63,1000.0,1.01,2.6,1.63,1000.0,1.1,1000.0,1.1,1000.0,1.49,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,33087162,7317750.0,18744257.0,58805.0,1.225840481,1.225840484,1.225840486,1.225840479,1.225840485,1.225840529,1.225840526,1.225840530,1.225840527,1.225840489,1.225840487,1.225840480,1.225840478,1.225840565,1.225840490
Australian A-League Men,2024-03-08,05:45:00,Western Sydney Wanderers,Western United,1.74,1.76,4.7,4.8,4.5,4.7,3.45,5.2,1.24,1.41,1.64,1.85,2.18,2.56,1.19,1.23,5.4,6.4,22.0,36.0,1.03,1.05,5.8,7.2,1.16,1.21,2.76,2.88,1.53,1.57,1.7,1.75,2.34,2.44,1.27,1.34,4.0,4.6,1.1,1.16,4.0,11.0,1.03,1.06,18.0,34.0,1.01,1.03,19.0,970.0,1.01,1.03,19.0,1000.0,1.6,1.63,2.6,2.66,23.0,30.0,23.0,26.0,30.0,42.0,18.5,120.0,12.5,13.5,10.0,11.0,17.5,18.5,15.0,48.0,12.5,13.5,9.6,10.5,15.5,16.5,40.0,46.0,17.5,19.0,14.0,15.5,22.0,24.0,42.0,65.0,6.4,7.0,28.0,34.0,32.0,980.0,33062986,6480414.0,24301731.0,58805.0,1.225572810,1.225572896,1.225572897,1.225572898,1.225572812,1.225572813,1.225572814,1.225572815,1.225572816,1.225572817,1.225572818,1.225572819,1.225572820,1.225572889,1.225572811
Israeli Liga Alef,2024-03-08,06:00:00,Hapoel Bnei Zalafa,Hapoel Raanana,1.12,480.0,1.12,870.0,1.28,950.0,2.42,6.6,1.18,1.71,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.02,1000.0,1.02,1000.0,1.04,1000.0,1.05,1000.0,1.01,1000.0,1.05,1000.0,1.01,1000.0,1.04,1000.0,1.1,1000.0,1.02,1000.0,1.1,1000.0,1.01,1000.0,1.01,1000.0,1.01,10.5,1.11,1000.0,1.01,10.0,1.12,1000.0,1.1,1000.0,1.1,1000.0,1.49,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,33087084,20614135.0,5281185.0,58805.0,1.225835860,1.225835863,1.225835865,1.225835858,1.225835864,1.225835908,1.225835905,1.225835909,1.225835906,1.225835868,1.225835866,1.225835859,1.225835857,1.225835944,1.225835869
Israeli Liga Alef,2024-03-08,06:00:00,Maccabi Kiryat Ata-Bialik,MS Tira,3.2,4.8,1.99,2.64,1.6,350.0,2.84,3.35,1.43,1.55,1.32,1.5,1.03,1000.0,1.07,1.12,8.6,15.5,1.02,36.0,1.07,1.12,1.83,18.0,1.35,2.22,1.3,3.35,1.43,4.6,1.23,1.33,2.88,13.5,1.07,1.33,1.1,15.5,1.02,1.06,1.1,50.0,1.01,1.05,7.6,1000.0,1.01,1.05,7.6,1000.0,1.01,1.05,7.6,1000.0,1.11,8.6,1.13,9.6,1.38,980.0,1.59,980.0,1.15,16.0,1.12,1000.0,1.12,980.0,1.55,980.0,1.12,980.0,1.12,1000.0,1.12,1000.0,1.12,980.0,1.1,980.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,33087064,64164663.0,11739935.0,58805.0,1.225836040,1.225836043,1.225836045,1.225836038,1.225836044,1.225836088,1.225836085,1.225836089,1.225836086,1.225836048,1.225836046,1.225836039,1.225836037,1.225836124,1.225836049
Vietnamese V-League 2,2024-03-08,07:00:00,SHB Da Nang,Ba Ria Vung Tau FC,1.01,1000.0,1.18,870.0,1.27,950.0,1.01,1000.0,1.01,1000.0,1.02,1000.0,1.01,1000.0,1.11,1000.0,1.01,10.5,1.28,1000.0,1.02,1.07,1.28,1000.0,1.02,4.6,1.28,1000.0,1.03,4.6,1.07,110.0,1.03,21.0,1.05,110.0,1.1,55.0,1.02,1.11,1.1,110.0,1.01,1.11,1.8,1000.0,1.01,1.11,1.11,1000.0,1.01,1.11,1.8,1000.0,1.1,1000.0,1.1,1000.0,1.49,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33087163,14755165.0,18395424.0,58805.0,1.225840269,1.225840272,1.225840275,1.225840267,1.225840274,1.225840344,1.225840330,1.225840345,1.225840337,1.225840278,1.225840276,1.225840268,1.225840265,1.225840398,1.225840279
Vietnamese V-League,2024-03-08,07:00:00,Hong Linh Ha Tinh,Hai Phong,1.11,1000.0,1.15,870.0,1.27,950.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,12.5,110.0,1.02,1.09,1.28,55.0,1.02,4.6,1.28,55.0,1.03,4.6,1.07,55.0,1.03,18.0,1.05,110.0,1.1,55.0,1.03,36.0,1.1,110.0,1.01,36.0,1.1,1000.0,1.01,36.0,1.1,1000.0,1.01,11.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.49,1000.0,2.3,1000.0,2.66,1000.0,3.55,1000.0,3.0,1000.0,3.95,1000.0,5.2,1000.0,7.4,1000.0,3.8,1000.0,3.0,1000.0,4.0,1000.0,8.6,1000.0,3.6,1000.0,4.3,1000.0,7.2,1000.0,20.0,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33087146,22917352.0,9109500.0,58805.0,1.225839969,1.225839972,1.225839974,1.225839967,1.225839973,1.225840017,1.225840014,1.225840018,1.225840015,1.225839977,1.225839975,1.225839968,1.225839966,1.225840053,1.225839978
