League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under15_HT_Back,Odd_Under15_HT_Lay,Odd_Over15_HT_Back,Odd_Over15_HT_Lay,Odd_Under25_HT_Back,Odd_Under25_HT_Lay,Odd_Over25_HT_Back,Odd_Over25_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_Under35_FT_Back,Odd_Under35_FT_Lay,Odd_Over35_FT_Back,Odd_Over35_FT_Lay,Odd_Under45_FT_Back,Odd_Under45_FT_Lay,Odd_Over45_FT_Back,Odd_Over45_FT_Lay,Odd_Under55_FT_Back,Odd_Under55_FT_Lay,Odd_Over55_FT_Back,Odd_Over55_FT_Lay,Odd_Under65_FT_Back,Odd_Under65_FT_Lay,Odd_Over65_FT_Back,Odd_Over65_FT_Lay,Odd_Under75_FT_Back,Odd_Under75_FT_Lay,Odd_Over75_FT_Back,Odd_Over75_FT_Lay,Odd_Under85_FT_Back,Odd_Under85_FT_Lay,Odd_Over85_FT_Back,Odd_Over85_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_First_Half_Goals_05,IDMercado_First_Half_Goals_15,IDMercado_First_Half_Goals_25,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals,IDMercado_Over/Under_25_Goals,IDMercado_Over/Under_35_Goals,IDMercado_Over/Under_45_Goals,IDMercado_Over/Under_55_Goals,IDMercado_Over/Under_65_Goals,IDMercado_Over/Under_75_Goals,IDMercado_Over/Under_85_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Mexican Women's Matches,2024-02-09,00:10:00,FC Juarez (W),Mazatlan FC(W),1.12,1.16,21.0,1000.0,9.6,18.5,5.7,7.6,1.15,1.21,1.01,1000.0,1.01,1000.0,1.01,1.44,1.01,4.2,3.85,110.0,1.01,1.35,3.85,110.0,1.01,1.35,3.85,5.0,1.25,1.35,2.14,2.56,1.64,1.87,1.51,1.7,2.42,2.94,1.23,1.32,4.1,5.4,1.02,1.32,4.1,55.0,1.02,1.32,4.1,55.0,1.01,1.32,4.1,1000.0,2.12,2.52,1.65,1.89,1.08,1000.0,1.08,1000.0,1.07,1000.0,1.07,1000.0,1.67,18.5,1.25,34.0,1.09,1000.0,1.07,1000.0,4.8,12.0,1.52,17.0,1.07,1000.0,1.07,1000.0,4.4,9.8,1.67,17.0,1.14,48.0,1.07,1000.0,1.89,2.46,1.07,1000.0,1.07,1000.0,32999398,25062045.0,35560884.0,58805.0,1.224504187,1.224504190,1.224504192,1.224504185,1.224504191,1.224504235,1.224504232,1.224504236,1.224504233,1.224504195,1.224504193,1.224504186,1.224504184,1.224504271,1.224504196
Australian A-League Men,2024-02-09,05:45:00,Adelaide United,Perth Glory,1.75,1.76,4.4,4.5,4.9,5.0,4.9,5.6,1.22,1.26,1.83,2.04,1.97,2.22,1.26,1.36,3.8,4.9,27.0,55.0,1.02,1.04,7.8,11.0,1.1,1.15,3.5,4.1,1.33,1.4,2.06,2.22,1.83,1.95,1.42,1.58,2.72,3.35,1.17,1.58,2.72,7.8,1.06,1.58,2.72,21.0,1.02,1.58,2.72,50.0,1.01,1.58,2.72,1000.0,1.42,1.51,2.96,3.4,34.0,42.0,30.0,38.0,38.0,50.0,13.0,90.0,18.0,21.0,12.0,15.0,18.0,20.0,36.0,40.0,15.5,17.5,10.5,12.0,14.0,15.0,29.0,36.0,19.5,22.0,14.0,16.0,18.0,19.5,40.0,44.0,4.8,5.3,15.0,21.0,13.0,190.0,32977216,571273.0,370132.0,58805.0,1.224158399,1.224158485,1.224158486,1.224158487,1.224158401,1.224158402,1.224158403,1.224158404,1.224158405,1.224158406,1.224158407,1.224158408,1.224158409,1.224158478,1.224158400
Azerbaijan 1st Division,2024-02-09,07:00:00,Zaqatala,Qaradag Lokbatan,1.01,1000.0,1.01,1000.0,1.01,950.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.05,55.0,1.02,1.12,1.05,110.0,1.02,26.0,1.05,110.0,1.02,26.0,1.05,110.0,1.02,36.0,1.04,110.0,1.02,110.0,1.03,110.0,1.02,110.0,1.01,110.0,1.02,1000.0,1.01,110.0,1.02,1000.0,1.01,110.0,1.02,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33003974,15282695.0,12175964.0,58805.0,1.224580532,1.224580536,1.224580538,1.224580530,1.224580537,1.224580584,1.224580581,1.224580585,1.224580582,1.224580542,1.224580539,1.224580531,1.224580529,1.224580621,1.224580543
Friendly Matches,2024-02-09,08:00:00,Rosenborg,Aalesunds,1.04,1000.0,1.04,1000.0,1.01,950.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.08,1000.0,1.01,18.0,1.08,1000.0,1.01,18.0,1.08,1000.0,1.01,18.0,1.08,1000.0,1.01,21.0,1.05,1000.0,1.01,110.0,1.03,1000.0,1.01,110.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,2.88,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,33003955,55224.0,3038746.0,58805.0,1.224580345,1.224580348,1.224580350,1.224580343,1.224580349,1.224580393,1.224580390,1.224580394,1.224580391,1.224580353,1.224580351,1.224580344,1.224580342,1.224580429,1.224580354
Thai League 1,2024-02-09,09:00:00,Muangthong Utd,Bangkok Utd,1.05,1000.0,1.05,1000.0,1.01,950.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,13.5,110.0,1.02,1.08,1.27,55.0,1.02,12.5,1.27,55.0,1.02,4.6,1.08,55.0,1.02,18.0,1.05,55.0,1.02,36.0,1.03,55.0,1.02,110.0,1.01,55.0,1.02,1000.0,1.01,55.0,1.02,1000.0,1.01,55.0,1.02,1000.0,1.01,1000.0,1.01,1000.0,1.43,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,5.0,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,1.05,1000.0,33000156,5394931.0,9282747.0,58805.0,1.224513642,1.224513645,1.224513647,1.224513640,1.224513646,1.224513692,1.224513689,1.224513693,1.224513690,1.224513650,1.224513648,1.224513641,1.224513639,1.224513728,1.224513651
Indian I-League,2024-02-09,10:30:00,Inter Kashi,Gokulam FC,1.04,110.0,1.04,110.0,1.01,950.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.11,1.16,1.01,9.8,1.27,110.0,1.01,4.6,1.27,110.0,1.01,4.6,1.27,1000.0,1.01,4.6,1.2,1000.0,1.01,6.6,1.09,1000.0,1.01,15.5,1.03,1000.0,1.01,110.0,1.01,1000.0,1.01,1000.0,1.01,110.0,3.0,1000.0,1.01,110.0,3.0,1000.0,1.01,1000.0,1.01,1000.0,1.1,1000.0,1.1,11.5,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,9.2,1.1,12.0,5.0,1000.0,3.15,1000.0,1.1,1000.0,1.1,1000.0,8.4,1000.0,1.1,1000.0,5.1,1000.0,1.1,1000.0,11.0,1000.0,1.1,1000.0,1.1,1000.0,1.38,1000.0,32999585,62395850.0,16193894.0,58805.0,1.224506103,1.224506106,1.224506108,1.224506101,1.224506107,1.224506151,1.224506148,1.224506152,1.224506149,1.224506111,1.224506109,1.224506102,1.224506100,1.224506187,1.224506112
Indian Super League,2024-02-09,11:00:00,Odisha,FC Goa,2.7,2.92,2.44,2.66,3.85,4.6,3.15,4.7,1.27,1.47,1.49,1000.0,2.2,1000.0,1.16,1.23,5.3,8.2,2.34,1000.0,1.01,1.07,2.34,1000.0,1.01,1.75,2.34,2.88,1.53,1.75,1.43,1.75,2.32,3.3,1.16,1.75,2.32,8.8,1.06,1.75,2.32,21.0,1.01,1.75,2.32,1000.0,1.01,1.75,2.32,1000.0,1.01,1.75,2.32,1000.0,1.63,1.69,2.44,2.58,3.7,24.0,3.5,18.0,3.65,23.0,3.95,40.0,3.7,19.0,3.3,12.0,3.4,15.0,3.8,30.0,3.7,25.0,3.4,16.5,3.55,19.0,3.9,38.0,3.95,48.0,3.85,34.0,3.95,42.0,4.1,1000.0,3.6,22.0,3.5,18.0,4.3,1000.0,32997982,26603171.0,8900343.0,58805.0,1.224481591,1.224481594,1.224481596,1.224481589,1.224481595,1.224481639,1.224481636,1.224481640,1.224481637,1.224481599,1.224481597,1.224481590,1.224481588,1.224481675,1.224481600
Algerian Ligue 1,2024-02-09,11:30:00,ES Ben Aknoun,MC Alger,1.05,1000.0,1.28,990.0,1.05,950.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.27,21.0,1.07,4.6,1.27,21.0,1.07,13.5,1.27,21.0,1.07,4.6,1.08,21.0,1.07,18.0,1.05,21.0,1.07,110.0,1.01,21.0,1.07,1000.0,1.01,21.0,1.07,1000.0,1.01,21.0,1.07,1000.0,1.01,21.0,1.07,1000.0,1.1,1000.0,1.1,1000.0,1.39,1000.0,2.28,1000.0,2.4,1000.0,3.6,1000.0,2.98,1000.0,3.25,1000.0,3.3,1000.0,7.0,1000.0,2.82,1000.0,3.0,1000.0,6.8,1000.0,12.0,1000.0,3.55,1000.0,5.6,1000.0,9.4,1000.0,18.5,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,32993264,16541697.0,5177434.0,58805.0,1.224388978,1.224388981,1.224388983,1.224388976,1.224388982,1.224389026,1.224389023,1.224389027,1.224389024,1.224388986,1.224388984,1.224388977,1.224388975,1.224389062,1.224388987
Serbian Super League,2024-02-09,11:30:00,Radnik Surdulica,Cukaricki,1.62,1000.0,1.59,270.0,1.62,950.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,10.5,36.0,1.03,1.11,1.27,36.0,1.03,4.6,1.27,36.0,1.03,4.6,1.07,36.0,1.03,18.0,1.05,1.18,6.6,110.0,1.02,1.18,1.03,1000.0,1.01,1.18,1.03,1000.0,1.01,1.18,6.6,1000.0,1.01,1.18,6.6,1000.0,1.01,1000.0,1.01,1000.0,1.48,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,3.5,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,32999979,8860947.0,2503611.0,58805.0,1.224511596,1.224511599,1.224511601,1.224511594,1.224511600,1.224511644,1.224511641,1.224511645,1.224511642,1.224511604,1.224511602,1.224511595,1.224511593,1.224511680,1.224511605
Algerian Ligue 1,2024-02-09,11:45:00,MC Oran,ASO Chlef,1.17,230.0,1.91,990.0,1.82,950.0,2.22,2.52,1.66,1.82,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.27,9.4,1.12,1.22,1.27,9.4,1.12,12.5,1.27,9.4,1.12,4.6,1.08,9.4,1.12,15.5,1.05,9.4,1.12,55.0,1.02,9.4,1.12,1000.0,1.01,9.4,1.12,1000.0,1.01,9.4,1.12,1000.0,1.01,9.4,1.12,1000.0,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,3.05,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.1,1000.0,32993289,8306133.0,6488669.0,58805.0,1.224389068,1.224389071,1.224389073,1.224389066,1.224389072,1.224389116,1.224389113,1.224389117,1.224389114,1.224389076,1.224389074,1.224389067,1.224389065,1.224389152,1.224389077
