Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
21My0g1C,21/08/2023,00:10,MEXICO - LIGA MX,Club America,Atlas,APERTURA ,2.2,3.4,3.3,1.36,3.0,1.05,11.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,1.67,2.1,2.15,1.68,1.35,3.1,11.0,11.0,17.0,34.0,8.5,6.5,12.0,23.0,11.0,9.0,13.0,29.0,21.0,17.0,23.0,41.0,151.0
GpKP2eHg,21/08/2023,00:10,MEXICO - LIGA MX,Necaxa,U.A.N.L.- Tigres,APERTURA ,3.5,3.25,2.2,1.44,2.63,1.07,9.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,1.95,1.8,3.3,1.33,1.65,2.2,8.5,7.0,10.0,21.0,9.0,6.0,9.5,19.0,17.0,12.0,15.0,34.0,34.0,29.0,41.0,51.0,351.0
6P3vAeG9,21/08/2023,07:00,SOUTH KOREA - K LEAGUE 2,Seongnam,Bucheon FC 1995,ROUND 27,2.25,3.2,3.0,1.44,2.63,1.06,10.0,1.33,3.25,2.1,1.7,3.75,1.25,8.0,1.08,1.83,1.83,2.3,1.6,1.38,3.0,8.5,9.0,15.0,34.0,7.5,6.0,11.0,26.0,11.0,9.5,15.0,34.0,21.0,21.0,29.0,51.0,301.0
KS7r9FVF,21/08/2023,07:30,SOUTH KOREA - K LEAGUE 2,Gyeongnam,Cheonan City,ROUND 27,1.67,3.8,4.2,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.73,2.0,1.68,2.15,1.21,4.25,13.0,13.0,23.0,51.0,8.0,8.0,15.0,34.0,8.5,8.5,15.0,34.0,13.0,13.0,23.0,41.0,201.0
G0pBhyp0,21/08/2023,08:30,THAILAND - THAI LEAGUE 1,Chonburi,Khonkaen Utd.,ROUND 2,1.5,4.3,5.87,1.32,3.2,1.01,11.6,1.19,3.98,1.7,2.15,2.6,1.41,4.7,1.14,1.77,2.0,,,,,10.0,15.0,31.0,81.0,6.0,6.5,15.0,46.0,6.0,6.0,13.0,46.0,8.5,9.5,18.0,61.0,201.0
GlKTCJOd,21/08/2023,11:00,UZBEKISTAN - SUPER LEAGUE,Andijan,Olympic,ROUND 17,2.53,2.94,3.0,1.55,2.3,1.07,6.25,1.43,2.54,2.4,1.53,4.3,1.16,8.6,1.02,1.95,1.81,,,,,,,,,,,,,,,,,,,,,
vVJiYjKj,21/08/2023,12:00,NORTH MACEDONIA - 1. MFL,Struga,Brera Strumica,ROUND 3,2.08,3.2,3.51,1.47,2.5,1.06,7.2,1.39,2.67,2.28,1.61,4.1,1.18,8.8,1.03,1.94,1.82,,,,,7.0,9.0,15.0,36.0,6.0,5.5,11.0,29.0,8.5,7.5,13.0,41.0,15.0,15.0,26.0,76.0,101.0
O4Oqz2nN,21/08/2023,12:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Tuzla City,FK Sarajevo,ROUND 4,2.41,3.2,2.84,1.41,2.69,1.03,8.9,1.28,3.2,1.96,1.82,3.2,1.28,6.8,1.07,1.71,2.08,,,,,8.0,8.0,12.0,23.0,7.0,5.0,8.5,18.0,9.5,7.5,10.0,23.0,19.0,15.0,23.0,41.0,201.0
dbzR8bpS,21/08/2023,12:00,FINLAND - VEIKKAUSLIIGA,KTP,Haka,-,2.63,3.3,2.4,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.62,2.2,2.68,1.45,1.55,2.38,13.0,10.0,13.0,23.0,11.0,6.5,9.5,19.0,15.0,10.0,12.0,23.0,29.0,21.0,26.0,41.0,151.0
8QVjnIjJ,21/08/2023,12:30,ROMANIA - LIGA 1,Sepsi Sf. Gheorghe,FC Hermannstadt,ROUND 6,2.05,3.25,3.8,1.5,2.5,1.08,8.0,1.44,2.63,2.35,1.57,4.5,1.18,10.0,1.06,2.0,1.73,2.05,1.8,1.28,3.55,7.5,9.0,17.0,41.0,6.0,6.5,13.0,34.0,8.5,9.5,19.0,41.0,17.0,19.0,34.0,67.0,201.0
