Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,AH_Neg05_H,AH_Pos05_A,AH_Pos05_H,AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
W2H2eWMH,21/07/2023,07:30,SOUTH KOREA - K LEAGUE 1,Ulsan Hyundai,Jeju Utd,ROUND 24,1.65,4.0,4.75,1.03,15.0,1.18,4.5,1.6,2.3,2.5,1.5,4.33,1.2,1.62,2.2,1.63,2.25,1.18,4.65,15.0,17.0,26.0,51.0,9.0,8.0,15.0,34.0,9.0,8.5,13.0,34.0,13.0,12.0,21.0,41.0,151.0
ObuWw4ip,21/07/2023,07:30,SOUTH KOREA - K LEAGUE 1,Pohang,Jeonbuk,ROUND 24,2.15,3.3,3.2,1.05,11.0,1.29,3.5,1.95,1.85,3.25,1.33,6.5,1.11,1.73,2.0,2.15,1.68,1.35,3.1,10.0,10.0,17.0,34.0,8.0,6.5,12.0,26.0,11.0,9.0,13.0,34.0,21.0,17.0,26.0,51.0,201.0
Y1O5G7Fh,21/07/2023,08:35,CHINA - SUPER LEAGUE,Henan Songshan Longmen,Nantong Zhiyun,ROUND 18,2.2,3.25,3.5,1.07,9.0,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,1.95,1.8,2.1,1.7,1.3,3.45,8.0,9.0,17.0,41.0,7.0,6.0,13.0,29.0,9.5,9.5,15.0,41.0,21.0,19.0,34.0,51.0,351.0
ChN9FRUb,21/07/2023,08:35,CHINA - SUPER LEAGUE,Shanghai Port,Cangzhou,ROUND 18,1.3,5.0,11.0,1.03,15.0,1.2,4.33,1.65,2.2,2.63,1.44,4.5,1.18,1.95,1.8,1.3,3.45,,,13.0,26.0,51.0,126.0,7.5,9.5,29.0,67.0,6.5,8.5,21.0,67.0,8.5,11.0,26.0,51.0,301.0
fHCEEop5,21/07/2023,08:35,CHINA - SUPER LEAGUE,Tianjin Jinmen Tiger,Shenzhen,ROUND 18,1.18,7.5,13.0,1.02,19.0,1.14,5.5,1.5,2.5,2.2,1.62,3.75,1.25,2.25,1.57,1.18,4.65,,,17.0,29.0,51.0,201.0,8.0,15.0,34.0,101.0,6.0,10.0,29.0,81.0,6.5,11.0,34.0,101.0,501.0
xpjbtjOS,21/07/2023,12:30,ROMANIA - LIGA 1,Sepsi Sf. Gheorghe,U Craiova 1948,ROUND 2,1.8,3.5,3.8,1.06,10.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,1.91,1.8,1.85,2.0,1.25,3.8,9.5,10.0,21.0,41.0,6.5,7.0,13.0,34.0,8.0,9.0,17.0,41.0,15.0,15.0,29.0,51.0,351.0
n1vI5YWs,21/07/2023,13:00,BULGARIA - PARVA LIGA,CSKA 1948 Sofia,Pirin Blagoevgrad,ROUND 2,1.22,6.5,13.0,1.03,15.0,1.22,4.0,1.7,2.1,2.75,1.4,5.0,1.17,2.63,1.44,1.21,4.25,,,12.0,23.0,51.0,201.0,6.0,12.0,34.0,101.0,5.5,10.0,34.0,81.0,6.5,13.0,41.0,126.0,201.0
EwR7QQRA,21/07/2023,13:00,POLAND - EKSTRAKLASA,Warta Poznan,Pogon Szczecin,ROUND 1,3.75,3.6,1.85,1.06,10.0,1.33,3.25,2.05,1.75,3.5,1.29,8.0,1.08,1.95,1.8,3.55,1.28,1.95,1.9,10.0,7.0,8.5,15.0,10.0,7.0,8.5,15.0,19.0,13.0,17.0,29.0,41.0,34.0,41.0,51.0,351.0
WnVOnvM6,21/07/2023,13:00,LITHUANIA - A LYGA,Zalgiris,Suduva,ROUND 23,1.38,4.2,8.6,1.01,9.7,1.25,3.42,1.88,1.9,3.08,1.3,5.8,1.09,1.97,1.79,,,,,10.0,18.0,46.0,151.0,5.5,8.0,21.0,71.0,5.0,6.5,15.0,76.0,7.0,9.0,21.0,101.0,201.0
b3GI3kNQ,21/07/2023,14:00,DENMARK - 1ST DIVISION,Hillerod,Koge,ROUND 1,2.15,3.75,3.1,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.62,2.2,2.15,1.68,1.4,2.85,15.0,12.0,17.0,34.0,9.5,7.0,11.0,23.0,12.0,9.0,13.0,26.0,21.0,17.0,23.0,41.0,151.0
WtpM4V7K,21/07/2023,14:00,DENMARK - 1ST DIVISION,Vendsyssel,Sonderjyske,ROUND 1,2.9,3.6,2.3,1.03,15.0,1.17,5.0,1.6,2.3,2.5,1.5,4.33,1.2,1.5,2.5,2.85,1.4,1.63,2.25,15.0,11.0,13.0,23.0,13.0,7.0,9.5,17.0,17.0,11.0,11.0,21.0,29.0,21.0,23.0,34.0,101.0
OY781cMh,21/07/2023,14:00,DENMARK - SUPERLIGA,Midtjylland,Hvidovre IF,ROUND 1,1.29,5.0,12.0,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,2.05,1.7,1.28,3.55,,,12.0,26.0,51.0,151.0,7.0,9.5,34.0,81.0,6.0,9.0,21.0,67.0,8.0,11.0,29.0,67.0,401.0
80ni6so0,21/07/2023,14:00,SWEDEN - ALLSVENSKAN,Brommapojkarna,Hammarby,ROUND 16,2.88,3.5,2.4,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.57,2.25,,,1.65,2.35,13.0,10.0,13.0,23.0,11.0,6.5,9.5,17.0,15.0,11.0,12.0,23.0,29.0,21.0,26.0,41.0,151.0
Qw4RicF2,21/07/2023,14:30,SWITZERLAND - CHALLENGE LEAGUE,Xamax,Schaffhausen,ROUND 1,2.13,3.7,3.15,13.5,1.04,1.17,4.2,1.65,2.24,2.5,1.44,4.4,1.16,1.54,2.41,,,,,13.0,11.0,15.0,29.0,9.5,6.5,9.0,17.0,11.0,8.0,9.5,19.0,17.0,13.0,15.0,31.0,101.0
4U2VjHU8,21/07/2023,14:30,SWITZERLAND - CHALLENGE LEAGUE,Thun,Stade Nyonnais,ROUND 1,1.59,4.33,5.1,1.03,12.9,1.15,4.55,1.53,2.28,2.43,1.56,4.0,1.19,1.62,2.23,,,,,13.0,15.0,29.0,67.0,7.5,7.5,13.0,36.0,7.5,6.5,12.0,34.0,11.0,9.5,15.0,46.0,101.0
Yms237Yf,21/07/2023,15:00,PERU - LIGA 1,Union Comercio,Cesar Vallejo,CLAUSURA ,2.55,3.3,2.8,1.04,13.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.53,2.38,2.7,1.47,1.53,2.55,13.0,12.0,15.0,29.0,11.0,6.5,11.0,21.0,15.0,10.0,11.0,26.0,23.0,19.0,23.0,34.0,126.0
EXFxHDml,21/07/2023,15:00,URUGUAY - PRIMERA DIVISION,Fenix,Liverpool M.,TORNEO INTERMEDIO ,3.1,3.25,2.15,1.05,11.0,1.29,3.5,1.95,1.85,3.25,1.33,6.5,1.11,1.73,2.0,3.0,1.38,1.65,2.2,11.0,8.5,11.0,21.0,10.0,6.5,9.0,17.0,17.0,12.0,13.0,26.0,34.0,23.0,34.0,41.0,201.0
EafEXMv8,21/07/2023,15:00,CROATIA - HNL,D. Zagreb,Hajduk Split,ROUND 1,1.67,3.6,4.5,1.05,11.0,1.29,3.5,1.95,1.85,3.4,1.3,6.5,1.11,1.91,1.8,1.68,2.15,1.2,4.4,10.0,12.0,23.0,51.0,6.5,7.0,15.0,41.0,7.5,8.5,17.0,41.0,13.0,15.0,29.0,51.0,301.0
